# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:02:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2025-06-16,AAPL,AAPL250616C00200000,200.0,SIM,3:00 PM,0.1547,3:05 PM,0.1102,-0.0444,-4.44,False,
Monday,2025-06-23,AAPL,AAPL250623C00202500,202.5,SIM,3:00 PM,0.3394,3:05 PM,0.2959,-0.0435,-4.35,False,
Monday,2025-06-30,AAPL,AAPL250630C00202500,202.5,SIM,3:00 PM,0.5742,3:05 PM,0.7391,0.165,16.5,True,
Monday,2025-07-07,AAPL,AAPL250707C00210000,210.0,SIM,3:00 PM,0.6833,3:05 PM,0.5261,-0.1572,-15.72,False,
Monday,2025-07-14,AAPL,AAPL250714C00210000,210.0,SIM,3:00 PM,0.4467,3:05 PM,0.3041,-0.1425,-14.25,False,
Monday,2025-07-21,AAPL,AAPL250721C00212500,212.5,SIM,3:00 PM,1.0271,3:05 PM,0.9631,-0.064,-6.4,False,
Monday,2025-07-28,AAPL,AAPL250728C00212500,212.5,SIM,3:00 PM,1.141,3:05 PM,1.1117,-0.0293,-2.93,False,
Monday,2025-08-04,AAPL,AAPL250804C00202500,202.5,SIM,3:00 PM,0.8124,3:05 PM,0.5989,-0.2134,-21.34,False,
Monday,2025-08-11,AAPL,AAPL250811C00227500,227.5,SIM,3:00 PM,0.7808,3:05 PM,0.6221,-0.1587,-15.87,False,
Monday,2025-08-18,AAPL,AAPL250818C00232500,232.5,SIM,3:00 PM,0.3846,3:05 PM,0.3853,0.0006,0.06,True,
Monday,2025-08-25,AAPL,AAPL250825C00227500,227.5,SIM,3:00 PM,0.8189,3:05 PM,0.8325,0.0136,1.36,True,
Monday,2025-09-08,AAPL,AAPL250908C00237500,237.5,SIM,3:00 PM,0.5254,3:05 PM,0.5378,0.0123,1.23,True,
Monday,2025-09-15,AAPL,AAPL250915C00235000,235.0,SIM,3:00 PM,1.5047,3:05 PM,1.5553,0.0505,5.05,True,
