# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:12:02  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2025-06-16,AAPL,AAPL250616C00200000,200.0,SIM,3:05 PM,0.1102,3:15 PM,0.0691,-0.0412,-4.12,False,
Monday,2025-06-23,AAPL,AAPL250623C00202500,202.5,SIM,3:05 PM,0.2959,3:15 PM,0.1981,-0.0978,-9.78,False,
Monday,2025-06-30,AAPL,AAPL250630C00202500,202.5,SIM,3:05 PM,0.7391,3:15 PM,2.9409,2.2018,220.18,True,
Monday,2025-07-07,AAPL,AAPL250707C00210000,210.0,SIM,3:05 PM,0.5261,3:15 PM,0.5012,-0.025,-2.5,False,
Monday,2025-07-14,AAPL,AAPL250714C00210000,210.0,SIM,3:05 PM,0.3041,3:15 PM,0.3198,0.0156,1.56,True,
Monday,2025-07-21,AAPL,AAPL250721C00212500,212.5,SIM,3:05 PM,0.9631,3:15 PM,0.7994,-0.1637,-16.37,False,
Monday,2025-07-28,AAPL,AAPL250728C00212500,212.5,SIM,3:05 PM,1.1117,3:15 PM,1.1144,0.0027,0.27,True,
Monday,2025-08-04,AAPL,AAPL250804C00202500,202.5,SIM,3:05 PM,0.5989,3:15 PM,0.9231,0.3242,32.42,True,
Monday,2025-08-11,AAPL,AAPL250811C00227500,227.5,SIM,3:05 PM,0.6221,3:15 PM,0.7417,0.1196,11.96,True,
Monday,2025-08-18,AAPL,AAPL250818C00232500,232.5,SIM,3:05 PM,0.3853,3:15 PM,0.2459,-0.1393,-13.93,False,
Monday,2025-08-25,AAPL,AAPL250825C00227500,227.5,SIM,3:05 PM,0.8325,3:15 PM,0.7766,-0.0559,-5.59,False,
Monday,2025-09-08,AAPL,AAPL250908C00237500,237.5,SIM,3:05 PM,0.5378,3:15 PM,0.4379,-0.0999,-9.99,False,
