# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-06-13,AAPL,AAPL250613C00195000,195.0,REAL,3:45 PM,0.97,3:49 PM,1.19,0.22,22.0,True,
2025-06-16,AAPL,AAPL250616C00200000,200.0,SIM,3:45 PM,0.0086,3:50 PM,0.0011,-0.0076,-0.76,False,
2025-06-18,AAPL,AAPL250618C00195000,195.0,SIM,3:45 PM,1.1944,3:50 PM,1.5985,0.4041,40.41,True,
2025-06-20,AAPL,AAPL250620C00200000,200.0,REAL,3:45 PM,0.26,3:50 PM,0.38,0.12,12.0,True,
2025-06-23,AAPL,AAPL250623C00202500,202.5,SIM,3:45 PM,0.0357,3:50 PM,0.0265,-0.0092,-0.92,False,
2025-06-25,AAPL,AAPL250625C00200000,200.0,SIM,3:45 PM,1.1526,3:50 PM,1.3199,0.1673,16.73,True,
2025-06-27,AAPL,AAPL250627C00200000,200.0,REAL,3:45 PM,1.05,3:50 PM,0.85,-0.2,-20.0,False,
2025-06-30,AAPL,AAPL250630C00202500,202.5,SIM,3:45 PM,3.9815,3:50 PM,3.591,-0.3905,-39.05,False,
2025-07-02,AAPL,AAPL250702C00212500,212.5,SIM,3:45 PM,0.1848,3:50 PM,0.1548,-0.03,-3.0,False,
2025-07-07,AAPL,AAPL250707C00210000,210.0,SIM,3:45 PM,0.1398,3:50 PM,0.2272,0.0873,8.73,True,
2025-07-09,AAPL,AAPL250709C00210000,210.0,SIM,3:45 PM,0.5394,3:50 PM,0.4739,-0.0656,-6.56,False,
2025-07-11,AAPL,AAPL250711C00210000,210.0,REAL,3:45 PM,1.16,3:50 PM,1.08,-0.08,-8.0,False,
2025-07-14,AAPL,AAPL250714C00210000,210.0,SIM,3:45 PM,0.0233,3:50 PM,0.0117,-0.0116,-1.16,False,
2025-07-16,AAPL,AAPL250716C00210000,210.0,SIM,3:45 PM,0.6888,3:50 PM,0.553,-0.1358,-13.58,False,
2025-07-18,AAPL,AAPL250718C00210000,210.0,REAL,3:45 PM,1.03,3:50 PM,1.19,0.16,16.0,True,
2025-07-21,AAPL,AAPL250721C00212500,212.5,SIM,3:45 PM,0.2799,3:50 PM,0.2285,-0.0514,-5.14,False,
