# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 100 calendar days
# Generated 2026-06-12 12:40:22  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2026-03-06,AAPL,AAPL260306C00257500,257.5,REAL,3:40 PM,0.2,3:50 PM,0.04,-0.16,-16.0,False,
Friday,2026-03-13,AAPL,AAPL260313C00250000,250.0,REAL,3:40 PM,0.33,3:50 PM,0.4,0.07,7.0,True,
Friday,2026-03-20,AAPL,AAPL260320C00250000,250.0,REAL,3:40 PM,0.08,3:50 PM,0.07,-0.01,-1.0,False,
Friday,2026-03-27,AAPL,AAPL260327C00247500,247.5,REAL,3:40 PM,0.89,3:50 PM,0.98,0.09,9.0,True,
Friday,2026-04-10,AAPL,AAPL260410C00260000,260.0,REAL,3:40 PM,0.05,3:50 PM,0.23,0.18,18.0,True,
Friday,2026-04-17,AAPL,AAPL260417C00270000,270.0,REAL,3:40 PM,0.39,3:50 PM,0.25,-0.14,-14.0,False,
Friday,2026-04-24,AAPL,AAPL260424C00270000,270.0,REAL,3:40 PM,0.38,3:50 PM,0.96,0.58,58.0,True,
Friday,2026-05-01,AAPL,AAPL260501C00280000,280.0,REAL,3:40 PM,0.5,3:50 PM,0.69,0.19,19.0,True,
Friday,2026-05-08,AAPL,AAPL260508C00292500,292.5,REAL,3:40 PM,1.11,3:50 PM,1.4,0.29,29.0,True,
Friday,2026-05-15,AAPL,AAPL260515C00302500,302.5,REAL,3:40 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
Friday,2026-05-22,AAPL,AAPL260522C00310000,310.0,REAL,3:40 PM,0.03,3:50 PM,0.04,0.01,1.0,True,
Friday,2026-05-29,AAPL,AAPL260529C00310000,310.0,REAL,3:40 PM,1.81,3:50 PM,2.84,1.03,103.0,True,
Friday,2026-06-05,AAPL,AAPL260605C00310000,310.0,REAL,3:40 PM,0.07,3:50 PM,0.05,-0.02,-2.0,False,
Friday,2026-03-06,NVDA,NVDA260306C00180000,180.0,REAL,3:00 PM,0.43,3:05 PM,0.46,0.03,3.0,True,
Friday,2026-03-13,NVDA,NVDA260313C00180000,180.0,REAL,3:00 PM,1.01,3:05 PM,0.93,-0.08,-8.0,False,
Friday,2026-03-20,NVDA,NVDA260320C00175000,175.0,REAL,3:00 PM,0.11,3:05 PM,0.06,-0.05,-5.0,False,
Friday,2026-03-27,NVDA,NVDA260327C00165000,165.0,REAL,3:00 PM,2.5,3:05 PM,2.48,-0.02,-2.0,False,
Friday,2026-04-10,NVDA,NVDA260410C00190000,190.0,REAL,3:00 PM,0.03,3:05 PM,0.05,0.02,2.0,True,
Friday,2026-04-17,NVDA,NVDA260417C00200000,200.0,REAL,3:00 PM,0.94,3:05 PM,0.84,-0.1,-10.0,False,
Friday,2026-04-24,NVDA,NVDA260424C00207500,207.5,REAL,3:00 PM,0.89,3:05 PM,0.85,-0.04,-4.0,False,
Friday,2026-05-01,NVDA,NVDA260501C00200000,200.0,REAL,3:00 PM,0.03,3:05 PM,0.04,0.01,1.0,True,
Friday,2026-05-08,NVDA,NVDA260508C00215000,215.0,REAL,3:00 PM,0.44,3:05 PM,0.5,0.06,6.0,True,
