"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:06:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2026-01-30,AAPL,AAPL260130P00257500,257.5,REAL,3:05 PM,0.32,3:34 PM,0.01,-0.31,4,128.0,-124.0,False,
Friday,2026-02-06,AAPL,AAPL260206P00277500,277.5,REAL,3:05 PM,0.13,3:35 PM,0.15,0.02,8,104.0,16.0,True,
Friday,2026-02-13,AAPL,AAPL260213P00257500,257.5,REAL,3:05 PM,0.18,3:35 PM,1.95,1.77,6,108.0,1062.0,True,
Friday,2026-02-20,AAPL,AAPL260220P00265000,265.0,REAL,3:05 PM,0.76,3:35 PM,1.79,1.03,2,152.0,206.0,True,
Friday,2026-02-27,AAPL,AAPL260227P00265000,265.0,REAL,3:05 PM,0.27,3:35 PM,0.25,-0.02,4,108.0,-8.0,False,
Friday,2026-03-06,AAPL,AAPL260306P00257500,257.5,REAL,3:05 PM,0.49,3:35 PM,0.82,0.33,3,147.0,99.0,True,
Friday,2026-03-13,AAPL,AAPL260313P00250000,250.0,REAL,3:05 PM,0.19,3:35 PM,0.21,0.02,6,114.0,12.0,True,
Friday,2026-03-20,AAPL,AAPL260320P00250000,250.0,REAL,3:05 PM,1.77,3:35 PM,2.86,1.09,1,177.0,109.0,True,
Friday,2026-03-27,AAPL,AAPL260327P00247500,247.5,REAL,3:05 PM,0.14,3:35 PM,0.09,-0.05,8,112.0,-40.0,False,
Friday,2026-04-10,AAPL,AAPL260410P00260000,260.0,REAL,3:05 PM,0.35,3:35 PM,0.65,0.3,3,105.0,90.0,True,
Friday,2026-04-17,AAPL,AAPL260417P00270000,270.0,REAL,3:05 PM,0.43,3:35 PM,0.16,-0.27,3,129.0,-81.0,False,
Friday,2026-04-24,AAPL,AAPL260424P00270000,270.0,REAL,3:05 PM,0.29,3:35 PM,0.19,-0.1,4,116.0,-40.0,False,
Friday,2026-05-01,AAPL,AAPL260501P00280000,280.0,REAL,3:05 PM,0.21,3:35 PM,0.25,0.04,5,105.0,20.0,True,
Friday,2026-05-08,AAPL,AAPL260508P00292500,292.5,REAL,3:05 PM,0.33,3:35 PM,0.07,-0.26,4,132.0,-104.0,False,
Friday,2026-05-15,AAPL,AAPL260515P00302500,302.5,REAL,3:05 PM,1.45,3:35 PM,2.31,0.86,1,145.0,86.0,True,
Friday,2026-05-22,AAPL,AAPL260522P00310000,310.0,REAL,3:05 PM,0.87,3:35 PM,0.98,0.11,2,174.0,22.0,True,
Friday,2026-05-29,AAPL,AAPL260529P00310000,310.0,REAL,3:05 PM,0.11,3:35 PM,0.04,-0.07,10,110.0,-70.0,False,
Friday,2026-06-05,AAPL,AAPL260605P00310000,310.0,REAL,3:05 PM,1.13,3:35 PM,1.5,0.37,1,113.0,37.0,True,
Friday,2026-06-12,AAPL,AAPL260612P00290000,290.0,REAL,3:05 PM,0.13,3:35 PM,0.17,0.04,8,104.0,32.0,True,
Friday,2026-01-30,NVDA,NVDA260130P00190000,190.0,REAL,3:15 PM,0.26,3:50 PM,0.02,-0.24,4,104.0,-96.0,False,
Friday,2026-02-06,NVDA,NVDA260206P00185000,185.0,REAL,3:15 PM,0.2,3:50 PM,0.03,-0.17,5,100.0,-85.0,False,
Friday,2026-02-13,NVDA,NVDA260213P00185000,185.0,REAL,3:15 PM,2.4,3:50 PM,2.69,0.29,1,240.0,29.0,True,
Friday,2026-02-20,NVDA,NVDA260220P00190000,190.0,REAL,3:15 PM,0.47,3:50 PM,0.37,-0.1,3,141.0,-30.0,False,
Friday,2026-02-27,NVDA,NVDA260227P00180000,180.0,REAL,3:15 PM,1.1,3:50 PM,2.66,1.56,1,110.0,156.0,True,
Friday,2026-03-06,NVDA,NVDA260306P00180000,180.0,REAL,3:15 PM,1.42,3:50 PM,1.88,0.46,1,142.0,46.0,True,
Friday,2026-03-13,NVDA,NVDA260313P00180000,180.0,REAL,3:15 PM,0.09,3:50 PM,0.18,0.09,12,108.0,108.0,True,
Friday,2026-03-20,NVDA,NVDA260320P00175000,175.0,REAL,3:15 PM,1.77,3:50 PM,2.74,0.97,1,177.0,97.0,True,
Friday,2026-03-27,NVDA,NVDA260327P00165000,165.0,REAL,3:15 PM,0.02,3:50 PM,0.01,-0.01,50,100.0,-50.0,False,
Friday,2026-04-10,NVDA,NVDA260410P00190000,190.0,REAL,3:15 PM,0.84,3:50 PM,1.54,0.7,2,168.0,140.0,True,
Friday,2026-04-17,NVDA,NVDA260417P00200000,200.0,REAL,3:15 PM,0.03,3:50 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2026-04-24,NVDA,NVDA260424P00207500,207.5,REAL,3:15 PM,0.03,3:50 PM,0.17,0.14,34,102.0,476.0,True,
Friday,2026-05-01,NVDA,NVDA260501P00200000,200.0,REAL,3:15 PM,0.97,3:50 PM,1.19,0.22,2,194.0,44.0,True,
Friday,2026-05-08,NVDA,NVDA260508P00215000,215.0,REAL,3:15 PM,0.11,3:50 PM,0.04,-0.07,10,110.0,-70.0,False,
Friday,2026-05-15,NVDA,NVDA260515P00230000,230.0,REAL,3:15 PM,2.02,3:50 PM,3.7,1.68,1,202.0,168.0,True,
Friday,2026-05-22,NVDA,NVDA260522P00215000,215.0,REAL,3:15 PM,0.4,3:50 PM,0.06,-0.34,3,120.0,-102.0,False,
Friday,2026-05-29,NVDA,NVDA260529P00217500,217.5,REAL,3:15 PM,0.46,3:50 PM,3.52,3.06,3,138.0,918.0,True,
Friday,2026-06-05,NVDA,NVDA260605P00205000,205.0,REAL,3:15 PM,0.7,3:50 PM,0.18,-0.52,2,140.0,-104.0,False,
Friday,2026-06-12,NVDA,NVDA260612P00205000,205.0,REAL,3:15 PM,0.38,3:50 PM,0.61,0.23,3,114.0,69.0,True,
Friday,2026-01-30,TSLA,TSLA260130P00432500,432.5,REAL,3:50 PM,0.19,3:55 PM,1.0,0.81,6,114.0,486.0,True,
Friday,2026-02-06,TSLA,TSLA260206P00412500,412.5,REAL,3:50 PM,0.09,3:55 PM,1.82,1.73,12,108.0,2076.0,True,
