# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:59:35  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2025-06-13,AAPL,AAPL250613C00195000,195.0,REAL,3:35 PM,1.38,3:45 PM,0.97,-0.41,-41.0,False,
Friday,2025-06-20,AAPL,AAPL250620C00200000,200.0,REAL,3:35 PM,0.25,3:45 PM,0.26,0.01,1.0,True,
Friday,2025-06-27,AAPL,AAPL250627C00200000,200.0,REAL,3:35 PM,1.11,3:45 PM,1.05,-0.06,-6.0,False,
Friday,2025-07-11,AAPL,AAPL250711C00210000,210.0,REAL,3:35 PM,1.15,3:45 PM,1.16,0.01,1.0,True,
Friday,2025-07-18,AAPL,AAPL250718C00210000,210.0,REAL,3:35 PM,0.95,3:45 PM,1.03,0.08,8.0,True,
Friday,2025-07-25,AAPL,AAPL250725C00215000,215.0,REAL,3:35 PM,0.01,3:45 PM,0.01,0.0,0.0,False,
Friday,2025-08-01,AAPL,AAPL250801C00202500,202.5,REAL,3:35 PM,0.62,3:45 PM,0.33,-0.29,-29.0,False,
Friday,2025-08-08,AAPL,AAPL250808C00230000,230.0,REAL,3:35 PM,0.1,3:45 PM,0.19,0.09,9.0,True,
Friday,2025-08-15,AAPL,AAPL250815C00230000,230.0,REAL,3:35 PM,1.41,3:45 PM,1.75,0.34,34.0,True,
Friday,2025-08-22,AAPL,AAPL250822C00227500,227.5,REAL,3:35 PM,0.45,3:45 PM,0.54,0.09,9.0,True,
Friday,2025-08-29,AAPL,AAPL250829C00232500,232.5,REAL,3:35 PM,0.33,3:45 PM,0.48,0.15,15.0,True,
Friday,2025-09-05,AAPL,AAPL250905C00240000,240.0,REAL,3:35 PM,0.2,3:45 PM,0.15,-0.05,-5.0,False,
Friday,2025-09-12,AAPL,AAPL250912C00235000,235.0,REAL,3:35 PM,0.01,3:45 PM,0.02,0.01,1.0,True,
Friday,2025-09-19,AAPL,AAPL250919C00245000,245.0,REAL,3:35 PM,0.85,3:45 PM,0.55,-0.3,-30.0,False,
Friday,2025-09-26,AAPL,AAPL250926C00255000,255.0,REAL,3:35 PM,0.36,3:45 PM,0.34,-0.02,-2.0,False,
Friday,2025-10-03,AAPL,AAPL251003C00257500,257.5,REAL,3:35 PM,0.53,3:45 PM,0.62,0.09,9.0,True,
Friday,2025-10-10,AAPL,AAPL251010C00247500,247.5,REAL,3:35 PM,0.07,3:45 PM,0.15,0.08,8.0,True,
Friday,2025-10-17,AAPL,AAPL251017C00252500,252.5,REAL,3:35 PM,0.54,3:45 PM,0.68,0.14,14.0,True,
Friday,2025-10-24,AAPL,AAPL251024C00262500,262.5,REAL,3:35 PM,1.0,3:45 PM,0.82,-0.18,-18.0,False,
Friday,2025-10-31,AAPL,AAPL251031C00272500,272.5,REAL,3:35 PM,0.29,3:45 PM,0.13,-0.16,-16.0,False,
Friday,2025-11-07,AAPL,AAPL251107C00267500,267.5,REAL,3:35 PM,0.8,3:45 PM,0.96,0.16,16.0,True,
Friday,2025-11-14,AAPL,AAPL251114C00275000,275.0,REAL,3:35 PM,0.02,3:45 PM,0.02,0.0,0.0,False,
Friday,2025-11-21,AAPL,AAPL251121C00272500,272.5,REAL,3:35 PM,0.23,3:45 PM,0.07,-0.16,-16.0,False,
Friday,2025-12-05,AAPL,AAPL251205C00280000,280.0,REAL,3:35 PM,0.01,3:45 PM,0.01,0.0,0.0,False,
Friday,2025-12-12,AAPL,AAPL251212C00277500,277.5,REAL,3:35 PM,0.35,3:45 PM,0.4,0.05,5.0,True,
Friday,2025-12-19,AAPL,AAPL251219C00272500,272.5,REAL,3:35 PM,0.08,3:45 PM,0.13,0.05,5.0,True,
Friday,2025-12-26,AAPL,AAPL251226C00275000,275.0,REAL,3:35 PM,0.01,3:45 PM,0.01,0.0,0.0,False,
Friday,2026-01-02,AAPL,AAPL260102C00270000,270.0,REAL,3:35 PM,0.64,3:45 PM,0.75,0.11,11.0,True,
Friday,2026-01-09,AAPL,AAPL260109C00260000,260.0,REAL,3:35 PM,0.16,3:45 PM,0.11,-0.05,-5.0,False,
Friday,2026-01-16,AAPL,AAPL260116C00257500,257.5,REAL,3:35 PM,0.02,3:45 PM,0.01,-0.01,-1.0,False,
Friday,2026-01-23,AAPL,AAPL260123C00247500,247.5,REAL,3:35 PM,0.72,3:45 PM,1.19,0.47,47.0,True,
Friday,2026-01-30,AAPL,AAPL260130C00257500,257.5,REAL,3:35 PM,3.0,3:45 PM,3.77,0.77,77.0,True,
Friday,2026-02-06,AAPL,AAPL260206C00277500,277.5,REAL,3:35 PM,0.55,3:45 PM,0.8,0.25,25.0,True,
Friday,2026-02-13,AAPL,AAPL260213C00257500,257.5,REAL,3:35 PM,0.04,3:45 PM,0.02,-0.02,-2.0,False,
Friday,2026-02-20,AAPL,AAPL260220C00265000,265.0,REAL,3:35 PM,0.01,3:45 PM,0.02,0.01,1.0,True,
Friday,2026-02-27,AAPL,AAPL260227C00265000,265.0,REAL,3:35 PM,0.65,3:45 PM,0.34,-0.31,-31.0,False,
Friday,2026-03-06,AAPL,AAPL260306C00257500,257.5,REAL,3:35 PM,0.12,3:45 PM,0.07,-0.05,-5.0,False,
Friday,2026-03-13,AAPL,AAPL260313C00250000,250.0,REAL,3:35 PM,0.47,3:45 PM,0.22,-0.25,-25.0,False,
Friday,2026-03-20,AAPL,AAPL260320C00250000,250.0,REAL,3:35 PM,0.1,3:45 PM,0.09,-0.01,-1.0,False,
Friday,2026-03-27,AAPL,AAPL260327C00247500,247.5,REAL,3:35 PM,1.19,3:45 PM,1.02,-0.17,-17.0,False,
Friday,2026-04-10,AAPL,AAPL260410C00260000,260.0,REAL,3:35 PM,0.07,3:45 PM,0.11,0.04,4.0,True,
Friday,2026-04-17,AAPL,AAPL260417C00270000,270.0,REAL,3:35 PM,0.33,3:45 PM,0.48,0.15,15.0,True,
Friday,2026-04-24,AAPL,AAPL260424C00270000,270.0,REAL,3:35 PM,0.28,3:45 PM,0.58,0.3,30.0,True,
Friday,2026-05-01,AAPL,AAPL260501C00280000,280.0,REAL,3:35 PM,0.4,3:45 PM,0.49,0.09,9.0,True,
Friday,2026-05-08,AAPL,AAPL260508C00292500,292.5,REAL,3:35 PM,1.09,3:45 PM,1.23,0.14,14.0,True,
Friday,2026-05-15,AAPL,AAPL260515C00302500,302.5,REAL,3:35 PM,0.01,3:45 PM,0.01,0.0,0.0,False,
Friday,2026-05-22,AAPL,AAPL260522C00310000,310.0,REAL,3:35 PM,0.04,3:45 PM,0.02,-0.02,-2.0,False,
Friday,2026-05-29,AAPL,AAPL260529C00310000,310.0,REAL,3:35 PM,1.7,3:45 PM,1.81,0.11,11.0,True,
Friday,2026-06-05,AAPL,AAPL260605C00310000,310.0,REAL,3:35 PM,0.11,3:45 PM,0.05,-0.06,-6.0,False,
Friday,2025-06-13,NVDA,NVDA250613C00140000,140.0,REAL,3:00 PM,1.74,3:05 PM,1.8,0.06,6.0,True,
Friday,2025-06-20,NVDA,NVDA250620C00145000,145.0,REAL,3:00 PM,0.03,3:05 PM,0.02,-0.01,-1.0,False,
Friday,2025-06-27,NVDA,NVDA250627C00155000,155.0,REAL,3:00 PM,0.86,3:05 PM,1.06,0.2,20.0,True,
Friday,2025-07-11,NVDA,NVDA250711C00165000,165.0,REAL,3:00 PM,0.51,3:05 PM,0.3,-0.21,-21.0,False,
Friday,2025-07-18,NVDA,NVDA250718C00170000,170.0,REAL,3:00 PM,1.95,3:05 PM,2.1,0.15,15.0,True,
Friday,2025-07-25,NVDA,NVDA250725C00175000,175.0,REAL,3:00 PM,0.03,3:05 PM,0.02,-0.01,-1.0,False,
Friday,2025-08-01,NVDA,NVDA250801C00175000,175.0,REAL,3:00 PM,0.07,3:05 PM,0.05,-0.02,-2.0,False,
Friday,2025-08-08,NVDA,NVDA250808C00185000,185.0,REAL,3:00 PM,0.03,3:05 PM,0.03,0.0,0.0,False,
Friday,2025-08-15,NVDA,NVDA250815C00180000,180.0,REAL,3:00 PM,0.17,3:05 PM,0.14,-0.03,-3.0,False,
Friday,2025-08-22,NVDA,NVDA250822C00180000,180.0,REAL,3:00 PM,0.02,3:05 PM,0.02,0.0,0.0,False,
Friday,2025-08-29,NVDA,NVDA250829C00175000,175.0,REAL,3:00 PM,0.08,3:05 PM,0.05,-0.03,-3.0,False,
Friday,2025-09-05,NVDA,NVDA250905C00165000,165.0,REAL,3:00 PM,1.33,3:05 PM,1.77,0.44,44.0,True,
Friday,2025-09-12,NVDA,NVDA250912C00180000,180.0,REAL,3:00 PM,0.01,3:05 PM,0.01,0.0,0.0,False,
Friday,2025-09-19,NVDA,NVDA250919C00175000,175.0,REAL,3:00 PM,1.16,3:05 PM,1.2,0.04,4.0,True,
Friday,2025-09-26,NVDA,NVDA250926C00175000,175.0,REAL,3:00 PM,2.37,3:05 PM,2.43,0.06,6.0,True,
Friday,2025-10-03,NVDA,NVDA251003C00190000,190.0,REAL,3:00 PM,0.03,3:05 PM,0.03,0.0,0.0,False,
Friday,2025-10-10,NVDA,NVDA251010C00185000,185.0,REAL,3:00 PM,2.4,3:05 PM,2.6,0.2,20.0,True,
Friday,2025-10-17,NVDA,NVDA251017C00185000,185.0,REAL,3:00 PM,0.05,3:05 PM,0.04,-0.01,-1.0,False,
Friday,2025-10-24,NVDA,NVDA251024C00185000,185.0,REAL,3:00 PM,0.98,3:05 PM,1.29,0.31,31.0,True,
Friday,2025-10-31,NVDA,NVDA251031C00202500,202.5,REAL,3:00 PM,1.28,3:05 PM,1.29,0.01,1.0,True,
Friday,2025-11-07,NVDA,NVDA251107C00185000,185.0,REAL,3:00 PM,2.16,3:05 PM,2.29,0.13,13.0,True,
Friday,2025-11-14,NVDA,NVDA251114C00190000,190.0,REAL,3:00 PM,0.88,3:05 PM,0.94,0.06,6.0,True,
Friday,2025-11-21,NVDA,NVDA251121C00180000,180.0,REAL,3:00 PM,1.71,3:05 PM,1.27,-0.44,-44.0,False,
Friday,2025-12-05,NVDA,NVDA251205C00180000,180.0,REAL,3:00 PM,1.86,3:05 PM,1.85,-0.01,-1.0,False,
Friday,2025-12-12,NVDA,NVDA251212C00175000,175.0,REAL,3:00 PM,1.37,3:05 PM,1.54,0.17,17.0,True,
Friday,2025-12-19,NVDA,NVDA251219C00180000,180.0,REAL,3:00 PM,0.72,3:05 PM,0.8,0.08,8.0,True,
Friday,2025-12-26,NVDA,NVDA251226C00190000,190.0,REAL,3:00 PM,1.99,3:05 PM,1.66,-0.33,-33.0,False,
Friday,2026-01-02,NVDA,NVDA260102C00190000,190.0,REAL,3:00 PM,0.05,3:05 PM,0.05,0.0,0.0,False,
Friday,2026-01-09,NVDA,NVDA260109C00185000,185.0,REAL,3:00 PM,0.84,3:05 PM,0.95,0.11,11.0,True,
Friday,2026-01-16,NVDA,NVDA260116C00190000,190.0,REAL,3:00 PM,0.02,3:05 PM,0.01,-0.01,-1.0,False,
Friday,2026-01-23,NVDA,NVDA260123C00190000,190.0,REAL,3:00 PM,0.01,3:05 PM,0.01,0.0,0.0,False,
Friday,2026-01-30,NVDA,NVDA260130C00190000,190.0,REAL,3:00 PM,1.18,3:05 PM,0.95,-0.23,-23.0,False,
