"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 140 calendar days
# Generated 2026-06-14 18:55:29  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Monday,2026-01-26,AAPL,AAPL260126P00255000,255.0,SIM,3:05 PM,0.3917,3:10 PM,0.347,-0.0447,3,117.51,-13.41,False,
Monday,2026-02-02,AAPL,AAPL260202P00267500,267.5,REAL,3:05 PM,0.09,3:10 PM,0.14,0.05,12,108.0,60.0,True,
Monday,2026-02-09,AAPL,AAPL260209P00272500,272.5,REAL,3:05 PM,0.08,3:10 PM,0.06,-0.02,13,104.0,-26.0,False,
Monday,2026-02-23,AAPL,AAPL260223P00267500,267.5,REAL,3:05 PM,1.17,3:10 PM,1.16,-0.01,1,117.0,-1.0,False,
Monday,2026-03-02,AAPL,AAPL260302P00265000,265.0,REAL,3:05 PM,0.13,3:10 PM,0.9,0.77,8,104.0,616.0,True,
Monday,2026-03-09,AAPL,AAPL260309P00257500,257.5,REAL,3:05 PM,0.54,3:10 PM,0.52,-0.02,2,108.0,-4.0,False,
Monday,2026-03-16,AAPL,AAPL260316P00252500,252.5,REAL,3:05 PM,0.35,3:10 PM,0.22,-0.13,3,105.0,-39.0,False,
Monday,2026-03-23,AAPL,AAPL260323P00252500,252.5,REAL,3:05 PM,0.44,3:10 PM,0.66,0.22,3,132.0,66.0,True,
Monday,2026-03-30,AAPL,AAPL260330P00247500,247.5,REAL,3:05 PM,0.86,3:10 PM,1.26,0.4,2,172.0,80.0,True,
Monday,2026-04-06,AAPL,AAPL260406P00260000,260.0,REAL,3:05 PM,1.0,3:10 PM,1.36,0.36,1,100.0,36.0,True,
Monday,2026-04-13,AAPL,AAPL260413P00257500,257.5,REAL,3:05 PM,0.09,3:10 PM,0.1,0.01,12,108.0,12.0,True,
Monday,2026-04-20,AAPL,AAPL260420P00272500,272.5,REAL,3:05 PM,0.12,3:10 PM,0.12,0.0,9,108.0,0.0,False,
Monday,2026-04-27,AAPL,AAPL260427P00267500,267.5,REAL,3:05 PM,1.17,3:10 PM,1.02,-0.15,1,117.0,-15.0,False,
Monday,2026-05-04,AAPL,AAPL260504P00277500,277.5,REAL,3:05 PM,0.97,3:10 PM,0.79,-0.18,2,194.0,-36.0,False,
Monday,2026-05-11,AAPL,AAPL260511P00292500,292.5,REAL,3:05 PM,1.46,3:10 PM,1.17,-0.29,1,146.0,-29.0,False,
Monday,2026-05-18,AAPL,AAPL260518P00297500,297.5,REAL,3:05 PM,0.67,3:10 PM,0.75,0.08,2,134.0,16.0,True,
Monday,2026-06-01,AAPL,AAPL260601P00307500,307.5,REAL,3:05 PM,0.35,3:10 PM,0.2,-0.15,3,105.0,-45.0,False,
Monday,2026-06-08,AAPL,AAPL260608P00305000,305.0,REAL,3:05 PM,1.25,3:10 PM,1.68,0.43,1,125.0,43.0,True,
Monday,2026-01-26,NVDA,NVDA260126P00185000,185.0,SIM,3:10 PM,0.1787,3:25 PM,0.1099,-0.0688,6,107.23,-41.3,False,
Monday,2026-02-02,NVDA,NVDA260202P00185000,185.0,REAL,3:10 PM,0.03,3:25 PM,0.04,0.01,34,102.0,34.0,True,
Monday,2026-02-09,NVDA,NVDA260209P00190000,190.0,REAL,3:10 PM,0.1,3:25 PM,0.35,0.25,10,100.0,250.0,True,
Monday,2026-02-23,NVDA,NVDA260223P00190000,190.0,REAL,3:10 PM,0.23,3:25 PM,0.06,-0.17,5,115.0,-85.0,False,
Monday,2026-03-02,NVDA,NVDA260302P00180000,180.0,REAL,3:10 PM,0.09,3:25 PM,0.04,-0.05,12,108.0,-60.0,False,
Monday,2026-03-09,NVDA,NVDA260309P00180000,180.0,REAL,3:10 PM,0.49,3:25 PM,0.06,-0.43,3,147.0,-129.0,False,
Monday,2026-03-16,NVDA,NVDA260316P00185000,185.0,REAL,3:10 PM,0.36,3:25 PM,2.76,2.4,3,108.0,720.0,True,
