"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-14 19:03:22  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Wednesday,2026-02-04,AAPL,AAPL260204P00275000,275.0,REAL,3:15 PM,0.23,3:25 PM,0.04,-0.19,5,115.0,-95.0,False,
Wednesday,2026-02-11,AAPL,AAPL260211P00277500,277.5,REAL,3:15 PM,1.3,3:25 PM,2.25,0.95,1,130.0,95.0,True,
Wednesday,2026-02-18,AAPL,AAPL260218P00265000,265.0,REAL,3:15 PM,1.6,3:25 PM,1.32,-0.28,1,160.0,-28.0,False,
Wednesday,2026-02-25,AAPL,AAPL260225P00272500,272.5,REAL,3:15 PM,0.07,3:25 PM,0.07,0.0,15,105.0,0.0,False,
Wednesday,2026-03-04,AAPL,AAPL260304P00262500,262.5,REAL,3:15 PM,0.29,3:25 PM,0.28,-0.01,4,116.0,-4.0,False,
Wednesday,2026-03-11,AAPL,AAPL260311P00260000,260.0,REAL,3:15 PM,0.38,3:25 PM,0.21,-0.17,3,114.0,-51.0,False,
Wednesday,2026-03-18,AAPL,AAPL260318P00250000,250.0,REAL,3:15 PM,0.33,3:25 PM,0.5,0.17,4,132.0,68.0,True,
Wednesday,2026-03-25,AAPL,AAPL260325P00252500,252.5,REAL,3:15 PM,0.15,3:25 PM,0.15,0.0,7,105.0,0.0,False,
Wednesday,2026-04-01,AAPL,AAPL260401P00255000,255.0,REAL,3:15 PM,0.3,3:25 PM,0.17,-0.13,4,120.0,-52.0,False,
Wednesday,2026-04-08,AAPL,AAPL260408P00257500,257.5,REAL,3:15 PM,0.24,3:25 PM,0.2,-0.04,5,120.0,-20.0,False,
Wednesday,2026-04-15,AAPL,AAPL260415P00265000,265.0,REAL,3:15 PM,0.14,3:25 PM,0.11,-0.03,8,112.0,-24.0,False,
Wednesday,2026-04-22,AAPL,AAPL260422P00272500,272.5,REAL,3:15 PM,0.4,3:25 PM,0.21,-0.19,3,120.0,-57.0,False,
Wednesday,2026-04-29,AAPL,AAPL260429P00270000,270.0,REAL,3:15 PM,0.3,3:25 PM,0.3,0.0,4,120.0,0.0,False,
Wednesday,2026-05-06,AAPL,AAPL260506P00287500,287.5,REAL,3:14 PM,0.29,3:25 PM,0.32,0.03,4,116.0,12.0,True,
Wednesday,2026-05-13,AAPL,AAPL260513P00300000,300.0,REAL,3:15 PM,1.07,3:25 PM,1.34,0.27,1,107.0,27.0,True,
Wednesday,2026-05-20,AAPL,AAPL260520P00302500,302.5,REAL,3:15 PM,0.49,3:25 PM,0.82,0.33,3,147.0,99.0,True,
Wednesday,2026-05-27,AAPL,AAPL260527P00310000,310.0,REAL,3:15 PM,0.12,3:25 PM,0.35,0.23,9,108.0,207.0,True,
Wednesday,2026-06-03,AAPL,AAPL260603P00310000,310.0,REAL,3:15 PM,0.38,3:25 PM,0.19,-0.19,3,114.0,-57.0,False,
Wednesday,2026-06-10,AAPL,AAPL260610P00292500,292.5,REAL,3:15 PM,0.43,3:25 PM,0.9,0.47,3,129.0,141.0,True,
Wednesday,2026-02-04,NVDA,NVDA260204P00175000,175.0,REAL,3:45 PM,0.3,3:50 PM,0.31,0.01,4,120.0,4.0,True,
Wednesday,2026-02-11,NVDA,NVDA260211P00190000,190.0,REAL,3:45 PM,0.02,3:50 PM,0.04,0.02,50,100.0,100.0,True,
Wednesday,2026-02-18,NVDA,NVDA260218P00185000,185.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
Wednesday,2026-02-25,NVDA,NVDA260225P00195000,195.0,SIM,3:45 PM,0.0017,3:50 PM,0.0013,-0.0003,605,100.15,-20.78,False,
Wednesday,2026-03-04,NVDA,NVDA260304P00185000,185.0,REAL,3:45 PM,1.97,3:50 PM,2.3,0.33,1,197.0,33.0,True,
Wednesday,2026-03-11,NVDA,NVDA260311P00185000,185.0,REAL,3:45 PM,0.04,3:50 PM,0.04,0.0,25,100.0,0.0,False,
Wednesday,2026-03-18,NVDA,NVDA260318P00180000,180.0,REAL,3:45 PM,0.05,3:50 PM,0.07,0.02,20,100.0,40.0,True,
Wednesday,2026-03-25,NVDA,NVDA260325P00180000,180.0,REAL,3:45 PM,1.35,3:50 PM,1.07,-0.28,1,135.0,-28.0,False,
Wednesday,2026-04-01,NVDA,NVDA260401P00175000,175.0,REAL,3:45 PM,0.02,3:50 PM,0.05,0.03,50,100.0,150.0,True,
Wednesday,2026-04-08,NVDA,NVDA260408P00180000,180.0,REAL,3:45 PM,0.01,3:50 PM,0.02,0.01,100,100.0,100.0,True,
Wednesday,2026-04-15,NVDA,NVDA260415P00195000,195.0,REAL,3:45 PM,0.01,3:50 PM,0.01,0.0,100,100.0,0.0,False,
Wednesday,2026-04-22,NVDA,NVDA260422P00202500,202.5,REAL,3:45 PM,0.85,3:50 PM,0.55,-0.3,2,170.0,-60.0,False,
Wednesday,2026-04-29,NVDA,NVDA260429P00210000,210.0,REAL,3:45 PM,1.59,3:50 PM,1.82,0.23,1,159.0,23.0,True,
Wednesday,2026-05-06,NVDA,NVDA260506P00207500,207.5,REAL,3:45 PM,0.3,3:50 PM,0.41,0.11,4,120.0,44.0,True,
Wednesday,2026-05-13,NVDA,NVDA260513P00227500,227.5,REAL,3:45 PM,1.32,3:50 PM,1.96,0.64,1,132.0,64.0,True,
Wednesday,2026-05-20,NVDA,NVDA260520P00222500,222.5,SIM,3:45 PM,0.1036,3:50 PM,0.09,-0.0135,10,103.57,-13.53,False,
Wednesday,2026-05-27,NVDA,NVDA260527P00212500,212.5,REAL,3:45 PM,0.09,3:50 PM,0.15,0.06,12,108.0,72.0,True,
Wednesday,2026-06-03,NVDA,NVDA260603P00215000,215.0,REAL,3:45 PM,0.16,3:50 PM,0.35,0.19,7,112.0,133.0,True,
Wednesday,2026-06-10,NVDA,NVDA260610P00200000,200.0,REAL,3:45 PM,0.12,3:50 PM,0.04,-0.08,9,108.0,-72.0,False,
Wednesday,2026-02-04,TSLA,TSLA260204P00407500,407.5,REAL,3:45 PM,0.78,3:55 PM,2.17,1.39,2,156.0,278.0,True,
Wednesday,2026-02-11,TSLA,TSLA260211P00427500,427.5,REAL,3:45 PM,0.71,3:55 PM,0.07,-0.64,2,142.0,-128.0,False,
Wednesday,2026-02-18,TSLA,TSLA260218P00410000,410.0,REAL,3:45 PM,0.08,3:55 PM,0.02,-0.06,13,104.0,-78.0,False,
Wednesday,2026-02-25,TSLA,TSLA260225P00415000,415.0,REAL,3:45 PM,0.44,3:55 PM,0.09,-0.35,3,132.0,-105.0,False,
Wednesday,2026-03-04,TSLA,TSLA260304P00405000,405.0,REAL,3:45 PM,0.02,3:55 PM,0.37,0.35,50,100.0,1750.0,True,
Wednesday,2026-03-11,TSLA,TSLA260311P00407500,407.5,REAL,3:45 PM,0.38,3:55 PM,0.5,0.12,3,114.0,36.0,True,
Wednesday,2026-03-18,TSLA,TSLA260318P00395000,395.0,REAL,3:45 PM,1.87,3:55 PM,2.38,0.51,1,187.0,51.0,True,
Wednesday,2026-03-25,TSLA,TSLA260325P00385000,385.0,REAL,3:45 PM,0.36,3:55 PM,0.16,-0.2,3,108.0,-60.0,False,
