# Backtest method: MAX RELIABILITY (win_rate only)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:09:24  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-06-13,AAPL,AAPL250613C00195000,195.0,REAL,3:10 PM,1.5,3:15 PM,1.34,-0.16,-16.0,False,
2025-06-16,AAPL,AAPL250616C00200000,200.0,SIM,3:10 PM,0.0509,3:15 PM,0.0691,0.0182,1.82,True,
2025-06-18,AAPL,AAPL250618C00195000,195.0,SIM,3:10 PM,0.8323,3:15 PM,1.1516,0.3193,31.93,True,
2025-06-20,AAPL,AAPL250620C00200000,200.0,REAL,3:10 PM,0.33,3:15 PM,0.25,-0.08,-8.0,False,
2025-06-23,AAPL,AAPL250623C00202500,202.5,SIM,3:10 PM,0.2305,3:15 PM,0.1981,-0.0324,-3.24,False,
2025-06-25,AAPL,AAPL250625C00200000,200.0,SIM,3:10 PM,1.4876,3:15 PM,1.4564,-0.0312,-3.12,False,
2025-06-27,AAPL,AAPL250627C00200000,200.0,REAL,3:10 PM,1.2,3:15 PM,1.45,0.25,25.0,True,
2025-06-30,AAPL,AAPL250630C00202500,202.5,SIM,3:10 PM,1.5251,3:15 PM,2.9409,1.4157,141.57,True,
2025-07-02,AAPL,AAPL250702C00212500,212.5,SIM,3:10 PM,0.6471,3:15 PM,0.5624,-0.0847,-8.47,False,
2025-07-07,AAPL,AAPL250707C00210000,210.0,SIM,3:10 PM,0.5176,3:15 PM,0.5012,-0.0164,-1.64,False,
2025-07-09,AAPL,AAPL250709C00210000,210.0,SIM,3:10 PM,0.5176,3:15 PM,0.5666,0.0491,4.91,True,
2025-07-11,AAPL,AAPL250711C00210000,210.0,REAL,3:10 PM,1.05,3:15 PM,1.1,0.05,5.0,True,
2025-07-14,AAPL,AAPL250714C00210000,210.0,SIM,3:10 PM,0.2467,3:15 PM,0.3198,0.0731,7.31,True,
2025-07-16,AAPL,AAPL250716C00210000,210.0,SIM,3:10 PM,0.843,3:15 PM,0.7805,-0.0625,-6.25,False,
