"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 730 calendar days
# Trading window = 2-4PM ET
# Generated 2026-06-18 01:13:15  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2024-06-21,AAPL,AAPL240621C00210000,210.0,REAL,3:40 PM,0.64,3:55 PM,0.06,-0.58,2,128.0,-116.0,False,
Friday,2024-06-28,AAPL,AAPL240628C00215000,215.0,REAL,3:40 PM,0.01,3:55 PM,0.01,0.0,100,100.0,0.0,False,
Friday,2024-07-05,AAPL,AAPL240705C00225000,225.0,REAL,3:40 PM,0.6,3:55 PM,1.2,0.6,2,120.0,120.0,True,
Friday,2024-07-12,AAPL,AAPL240712C00232500,232.5,REAL,3:40 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Friday,2024-07-19,AAPL,AAPL240719C00225000,225.0,REAL,3:40 PM,0.04,3:55 PM,0.02,-0.02,25,100.0,-50.0,False,
Friday,2024-07-26,AAPL,AAPL240726C00217500,217.5,REAL,3:40 PM,0.58,3:55 PM,0.07,-0.51,2,116.0,-102.0,False,
Friday,2024-08-02,AAPL,AAPL240802C00225000,225.0,REAL,3:40 PM,0.01,3:55 PM,0.01,0.0,100,100.0,0.0,False,
Friday,2024-08-09,AAPL,AAPL240809C00215000,215.0,REAL,3:40 PM,1.43,3:55 PM,0.78,-0.65,1,143.0,-65.0,False,
Friday,2024-08-16,AAPL,AAPL240816C00225000,225.0,REAL,3:40 PM,1.15,3:55 PM,1.15,0.0,1,115.0,0.0,False,
Friday,2024-08-23,AAPL,AAPL240823C00225000,225.0,REAL,3:40 PM,1.85,3:55 PM,1.75,-0.1,1,185.0,-10.0,False,
Friday,2024-08-30,AAPL,AAPL240830C00227500,227.5,REAL,3:40 PM,1.19,3:55 PM,1.52,0.33,1,119.0,33.0,True,
Friday,2024-09-06,AAPL,AAPL240906C00220000,220.0,REAL,3:40 PM,1.21,3:55 PM,0.64,-0.57,1,121.0,-57.0,False,
Friday,2024-09-13,AAPL,AAPL240913C00222500,222.5,REAL,3:40 PM,0.16,3:55 PM,0.11,-0.05,7,112.0,-35.0,False,
Friday,2024-09-20,AAPL,AAPL240920C00230000,230.0,REAL,3:40 PM,3.0,3:55 PM,0.7,-2.3,1,300.0,-230.0,False,
Friday,2024-09-27,AAPL,AAPL240927C00227500,227.5,REAL,3:40 PM,0.28,3:55 PM,0.45,0.17,4,112.0,68.0,True,
Friday,2024-10-04,AAPL,AAPL241004C00225000,225.0,REAL,3:40 PM,1.19,3:55 PM,1.73,0.54,1,119.0,54.0,True,
Friday,2024-10-11,AAPL,AAPL241011C00227500,227.5,REAL,3:40 PM,1.18,3:55 PM,0.29,-0.89,1,118.0,-89.0,False,
Friday,2024-10-18,AAPL,AAPL241018C00235000,235.0,REAL,3:40 PM,0.23,3:55 PM,0.17,-0.06,5,115.0,-30.0,False,
Friday,2024-10-25,AAPL,AAPL241025C00232500,232.5,REAL,3:40 PM,0.01,3:55 PM,0.01,0.0,100,100.0,0.0,False,
Friday,2024-11-01,AAPL,AAPL241101C00222500,222.5,REAL,3:40 PM,0.23,3:55 PM,0.68,0.45,5,115.0,225.0,True,
Friday,2024-11-08,AAPL,AAPL241108C00227500,227.5,REAL,3:40 PM,0.05,3:55 PM,0.02,-0.03,20,100.0,-60.0,False,
