"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-15 00:51:14  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Monday,2026-02-02,AAPL,AAPL260202C00267500,267.5,REAL,3:15 PM,1.13,3:55 PM,2.47,1.34,1,113.0,134.0,True,
Monday,2026-02-09,AAPL,AAPL260209C00272500,272.5,REAL,3:15 PM,1.29,3:55 PM,2.38,1.09,1,129.0,109.0,True,
Monday,2026-02-23,AAPL,AAPL260223C00267500,267.5,REAL,3:15 PM,0.1,3:54 PM,0.01,-0.09,10,100.0,-90.0,False,
Monday,2026-03-02,AAPL,AAPL260302C00265000,265.0,REAL,3:15 PM,0.28,3:55 PM,0.17,-0.11,4,112.0,-44.0,False,
Monday,2026-03-09,AAPL,AAPL260309C00257500,257.5,REAL,3:15 PM,0.25,3:55 PM,2.22,1.97,4,100.0,788.0,True,
Monday,2026-03-16,AAPL,AAPL260316C00252500,252.5,REAL,3:17 PM,0.59,3:55 PM,0.3,-0.29,2,118.0,-58.0,False,
Monday,2026-03-23,AAPL,AAPL260323C00252500,252.5,REAL,3:15 PM,0.16,3:55 PM,0.01,-0.15,7,112.0,-105.0,False,
Monday,2026-03-30,AAPL,AAPL260330C00247500,247.5,REAL,3:15 PM,0.05,3:55 PM,0.02,-0.03,20,100.0,-60.0,False,
Monday,2026-04-06,AAPL,AAPL260406C00260000,260.0,REAL,3:15 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Monday,2026-04-13,AAPL,AAPL260413C00257500,257.5,REAL,3:15 PM,0.59,3:55 PM,1.87,1.28,2,118.0,256.0,True,
Monday,2026-04-20,AAPL,AAPL260420C00272500,272.5,REAL,3:15 PM,0.73,3:55 PM,0.25,-0.48,2,146.0,-96.0,False,
Monday,2026-04-27,AAPL,AAPL260427C00267500,267.5,REAL,3:15 PM,0.13,3:55 PM,0.27,0.14,8,104.0,112.0,True,
Monday,2026-05-04,AAPL,AAPL260504C00277500,277.5,REAL,3:15 PM,0.16,3:55 PM,0.04,-0.12,7,112.0,-84.0,False,
Monday,2026-05-11,AAPL,AAPL260511C00292500,292.5,REAL,3:15 PM,0.08,3:55 PM,0.27,0.19,13,104.0,247.0,True,
Monday,2026-05-18,AAPL,AAPL260518C00297500,297.5,REAL,3:15 PM,0.12,3:55 PM,0.34,0.22,9,108.0,198.0,True,
Monday,2026-06-01,AAPL,AAPL260601C00307500,307.5,REAL,3:15 PM,0.45,3:55 PM,0.02,-0.43,3,135.0,-129.0,False,
Monday,2026-06-08,AAPL,AAPL260608C00305000,305.0,REAL,3:15 PM,0.77,3:55 PM,0.01,-0.76,2,154.0,-152.0,False,
Monday,2026-02-02,NVDA,NVDA260202C00185000,185.0,REAL,3:15 PM,2.23,3:55 PM,0.65,-1.58,1,223.0,-158.0,False,
Monday,2026-02-09,NVDA,NVDA260209C00190000,190.0,REAL,3:15 PM,0.5,3:55 PM,0.16,-0.34,2,100.0,-68.0,False,
Monday,2026-02-23,NVDA,NVDA260223C00190000,190.0,REAL,3:15 PM,0.54,3:55 PM,1.05,0.51,2,108.0,102.0,True,
Monday,2026-03-02,NVDA,NVDA260302C00180000,180.0,REAL,3:15 PM,1.81,3:55 PM,2.58,0.77,1,181.0,77.0,True,
Monday,2026-03-09,NVDA,NVDA260309C00180000,180.0,REAL,3:15 PM,0.16,3:55 PM,2.2,2.04,7,112.0,1428.0,True,
Monday,2026-03-16,NVDA,NVDA260316C00185000,185.0,REAL,3:15 PM,1.1,3:55 PM,0.03,-1.07,1,110.0,-107.0,False,
Monday,2026-03-23,NVDA,NVDA260323C00175000,175.0,REAL,3:15 PM,1.51,3:55 PM,0.8,-0.71,1,151.0,-71.0,False,
Monday,2026-03-30,NVDA,NVDA260330C00165000,165.0,REAL,3:15 PM,0.19,3:55 PM,0.46,0.27,6,114.0,162.0,True,
Monday,2026-04-06,NVDA,NVDA260406C00175000,175.0,REAL,3:15 PM,2.36,3:55 PM,2.43,0.07,1,236.0,7.0,True,
Monday,2026-04-13,NVDA,NVDA260413C00190000,190.0,REAL,3:15 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Monday,2026-04-20,NVDA,NVDA260420C00200000,200.0,REAL,3:15 PM,1.12,3:55 PM,1.95,0.83,1,112.0,83.0,True,
Monday,2026-04-27,NVDA,NVDA260427C00215000,215.0,REAL,3:15 PM,1.13,3:55 PM,1.49,0.36,1,113.0,36.0,True,
Monday,2026-05-04,NVDA,NVDA260504C00200000,200.0,REAL,3:15 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Monday,2026-05-11,NVDA,NVDA260511C00220000,220.0,REAL,3:15 PM,0.23,3:55 PM,0.03,-0.2,5,115.0,-100.0,False,
Monday,2026-05-18,NVDA,NVDA260518C00220000,220.0,REAL,3:15 PM,0.69,3:55 PM,1.9,1.21,2,138.0,242.0,True,
Monday,2026-06-01,NVDA,NVDA260601C00225000,225.0,REAL,3:15 PM,0.25,3:55 PM,0.03,-0.22,4,100.0,-88.0,False,
Monday,2026-06-08,NVDA,NVDA260608C00210000,210.0,REAL,3:15 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Monday,2026-02-02,TSLA,TSLA260202C00422500,422.5,REAL,3:15 PM,1.7,3:20 PM,2.47,0.77,1,170.0,77.0,True,
Monday,2026-02-09,TSLA,TSLA260209C00420000,420.0,REAL,3:15 PM,0.63,3:20 PM,0.64,0.01,2,126.0,2.0,True,
Monday,2026-02-23,TSLA,TSLA260223C00395000,395.0,REAL,3:15 PM,0.72,3:20 PM,0.69,-0.03,2,144.0,-6.0,False,
Monday,2026-03-02,TSLA,TSLA260302C00402500,402.5,REAL,3:15 PM,0.1,3:20 PM,0.35,0.25,10,100.0,250.0,True,
Monday,2026-03-09,TSLA,TSLA260309C00392500,392.5,REAL,3:15 PM,0.87,3:20 PM,3.64,2.77,2,174.0,554.0,True,
Monday,2026-03-16,TSLA,TSLA260316C00397500,397.5,REAL,3:15 PM,0.42,3:20 PM,0.39,-0.03,3,126.0,-9.0,False,
Monday,2026-03-23,TSLA,TSLA260323C00382500,382.5,REAL,3:15 PM,0.15,3:20 PM,0.31,0.16,7,105.0,112.0,True,
Monday,2026-03-30,TSLA,TSLA260330C00355000,355.0,REAL,3:15 PM,0.18,3:20 PM,0.25,0.07,6,108.0,42.0,True,
Monday,2026-04-06,TSLA,TSLA260406C00350000,350.0,REAL,3:15 PM,1.81,3:20 PM,1.97,0.16,1,181.0,16.0,True,
Monday,2026-04-13,TSLA,TSLA260413C00352500,352.5,REAL,3:15 PM,0.12,3:20 PM,0.13,0.01,9,108.0,9.0,True,
Monday,2026-04-20,TSLA,TSLA260420C00392500,392.5,REAL,3:15 PM,0.31,3:20 PM,0.34,0.03,4,124.0,12.0,True,
Monday,2026-04-27,TSLA,TSLA260427C00377500,377.5,REAL,3:15 PM,2.2,3:20 PM,2.1,-0.1,1,220.0,-10.0,False,
Monday,2026-05-04,TSLA,TSLA260504C00392500,392.5,REAL,3:15 PM,1.28,3:20 PM,0.99,-0.29,1,128.0,-29.0,False,
Monday,2026-05-11,TSLA,TSLA260511C00445000,445.0,REAL,3:15 PM,3.05,3:20 PM,3.12,0.07,1,305.0,7.0,True,
Monday,2026-05-18,TSLA,TSLA260518C00407500,407.5,REAL,3:15 PM,2.22,3:20 PM,1.88,-0.34,1,222.0,-34.0,False,
Monday,2026-06-01,TSLA,TSLA260601C00420000,420.0,REAL,3:15 PM,0.45,3:20 PM,0.42,-0.03,3,135.0,-9.0,False,
Monday,2026-06-08,TSLA,TSLA260608C00412500,412.5,REAL,3:15 PM,0.12,3:20 PM,0.12,0.0,9,108.0,0.0,False,
Monday,2026-02-02,MSFT,MSFT260202C00422500,422.5,REAL,3:10 PM,1.84,3:40 PM,2.04,0.2,1,184.0,20.0,True,
Monday,2026-02-09,MSFT,MSFT260209C00415000,415.0,REAL,3:09 PM,0.15,3:40 PM,0.03,-0.12,7,105.0,-84.0,False,
Monday,2026-02-23,MSFT,MSFT260223C00385000,385.0,REAL,3:10 PM,0.26,3:40 PM,0.09,-0.17,4,104.0,-68.0,False,
Monday,2026-03-02,MSFT,MSFT260302C00400000,400.0,REAL,3:10 PM,0.18,3:40 PM,0.02,-0.16,6,108.0,-96.0,False,
Monday,2026-03-09,MSFT,MSFT260309C00405000,405.0,REAL,3:10 PM,0.57,3:40 PM,4.3,3.73,2,114.0,746.0,True,
Monday,2026-03-16,MSFT,MSFT260316C00400000,400.0,REAL,3:10 PM,0.43,3:40 PM,0.11,-0.32,3,129.0,-96.0,False,
Monday,2026-03-23,MSFT,MSFT260323C00382500,382.5,REAL,3:10 PM,0.62,3:40 PM,1.1,0.48,2,124.0,96.0,True,
Monday,2026-03-30,MSFT,MSFT260330C00357500,357.5,REAL,3:10 PM,0.32,3:40 PM,1.0,0.68,4,128.0,272.0,True,
Monday,2026-04-06,MSFT,MSFT260406C00372500,372.5,REAL,3:10 PM,0.39,3:40 PM,0.2,-0.19,3,117.0,-57.0,False,
Monday,2026-04-13,MSFT,MSFT260413C00382500,382.5,REAL,3:10 PM,0.25,3:40 PM,0.53,0.28,4,100.0,112.0,True,
Monday,2026-04-20,MSFT,MSFT260420C00417500,417.5,REAL,3:10 PM,0.5,3:40 PM,0.42,-0.08,2,100.0,-16.0,False,
Monday,2026-04-27,MSFT,MSFT260427C00425000,425.0,REAL,3:10 PM,0.57,3:40 PM,1.4,0.83,2,114.0,166.0,True,
Monday,2026-05-04,MSFT,MSFT260504C00412500,412.5,REAL,3:10 PM,0.66,3:40 PM,0.69,0.03,2,132.0,6.0,True,
Monday,2026-05-11,MSFT,MSFT260511C00410000,410.0,REAL,3:10 PM,0.76,3:40 PM,2.23,1.47,2,152.0,294.0,True,
Monday,2026-05-18,MSFT,MSFT260518C00422500,422.5,REAL,3:10 PM,1.01,3:40 PM,0.66,-0.35,1,101.0,-35.0,False,
Monday,2026-06-01,MSFT,MSFT260601C00460000,460.0,REAL,3:10 PM,2.01,3:40 PM,3.31,1.3,1,201.0,130.0,True,
