"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 135 calendar days
# Generated 2026-06-15 00:54:34  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Wednesday,2026-02-04,AAPL,AAPL260204C00275000,275.0,REAL,3:45 PM,2.5,3:55 PM,1.95,-0.55,1,250.0,-55.0,False,
Wednesday,2026-02-11,AAPL,AAPL260211C00277500,277.5,REAL,3:45 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Wednesday,2026-02-18,AAPL,AAPL260218C00265000,265.0,REAL,3:45 PM,0.04,3:55 PM,0.25,0.21,25,100.0,525.0,True,
Wednesday,2026-02-25,AAPL,AAPL260225C00272500,272.5,REAL,3:45 PM,1.61,3:55 PM,2.03,0.42,1,161.0,42.0,True,
Wednesday,2026-03-04,AAPL,AAPL260304C00262500,262.5,REAL,3:45 PM,0.21,3:55 PM,0.49,0.28,5,105.0,140.0,True,
Wednesday,2026-03-11,AAPL,AAPL260311C00260000,260.0,REAL,3:45 PM,0.39,3:55 PM,0.84,0.45,3,117.0,135.0,True,
Wednesday,2026-03-18,AAPL,AAPL260318C00250000,250.0,REAL,3:45 PM,0.07,3:55 PM,0.29,0.22,15,105.0,330.0,True,
Wednesday,2026-03-25,AAPL,AAPL260325C00252500,252.5,REAL,3:45 PM,0.08,3:55 PM,0.15,0.07,13,104.0,91.0,True,
Wednesday,2026-04-01,AAPL,AAPL260401C00255000,255.0,REAL,3:45 PM,0.97,3:55 PM,0.39,-0.58,2,194.0,-116.0,False,
Wednesday,2026-04-08,AAPL,AAPL260408C00257500,257.5,REAL,3:45 PM,0.68,3:55 PM,0.79,0.11,2,136.0,22.0,True,
Wednesday,2026-04-15,AAPL,AAPL260415C00265000,265.0,REAL,3:45 PM,0.78,3:55 PM,1.23,0.45,2,156.0,90.0,True,
Wednesday,2026-04-22,AAPL,AAPL260422C00272500,272.5,REAL,3:45 PM,0.5,3:55 PM,0.42,-0.08,2,100.0,-16.0,False,
Wednesday,2026-04-29,AAPL,AAPL260429C00270000,270.0,REAL,3:45 PM,0.42,3:55 PM,0.47,0.05,3,126.0,15.0,True,
Wednesday,2026-05-06,AAPL,AAPL260506C00287500,287.5,REAL,3:45 PM,0.12,3:55 PM,0.25,0.13,9,108.0,117.0,True,
Wednesday,2026-05-13,AAPL,AAPL260513C00300000,300.0,REAL,3:45 PM,0.07,3:55 PM,0.05,-0.02,15,105.0,-30.0,False,
Wednesday,2026-05-20,AAPL,AAPL260520C00302500,302.5,REAL,3:45 PM,0.08,3:55 PM,0.05,-0.03,13,104.0,-39.0,False,
Wednesday,2026-05-27,AAPL,AAPL260527C00310000,310.0,REAL,3:45 PM,0.2,3:55 PM,0.65,0.45,5,100.0,225.0,True,
Wednesday,2026-06-03,AAPL,AAPL260603C00310000,310.0,REAL,3:45 PM,0.72,3:55 PM,0.3,-0.42,2,144.0,-84.0,False,
Wednesday,2026-06-10,AAPL,AAPL260610C00292500,292.5,REAL,3:45 PM,0.23,3:55 PM,0.39,0.16,5,115.0,80.0,True,
Wednesday,2026-02-04,NVDA,NVDA260204C00175000,175.0,REAL,3:35 PM,0.67,3:40 PM,0.84,0.17,2,134.0,34.0,True,
Wednesday,2026-02-11,NVDA,NVDA260211C00190000,190.0,REAL,3:35 PM,1.0,3:40 PM,1.35,0.35,1,100.0,35.0,True,
Wednesday,2026-02-18,NVDA,NVDA260218C00185000,185.0,REAL,3:35 PM,2.47,3:40 PM,2.58,0.11,1,247.0,11.0,True,
Wednesday,2026-02-25,NVDA,NVDA260225C00195000,195.0,SIM,3:35 PM,1.7494,3:40 PM,1.9653,0.2159,1,174.94,21.59,True,
Wednesday,2026-03-04,NVDA,NVDA260304C00185000,185.0,REAL,3:35 PM,0.03,3:40 PM,0.06,0.03,34,102.0,102.0,True,
Wednesday,2026-03-11,NVDA,NVDA260311C00185000,185.0,REAL,3:35 PM,0.49,3:40 PM,0.58,0.09,3,147.0,27.0,True,
Wednesday,2026-03-18,NVDA,NVDA260318C00180000,180.0,REAL,3:35 PM,1.0,3:40 PM,0.95,-0.05,1,100.0,-5.0,False,
Wednesday,2026-03-25,NVDA,NVDA260325C00180000,180.0,REAL,3:35 PM,0.01,3:40 PM,0.02,0.01,100,100.0,100.0,True,
Wednesday,2026-04-01,NVDA,NVDA260401C00175000,175.0,REAL,3:35 PM,0.87,3:40 PM,1.17,0.3,2,174.0,60.0,True,
Wednesday,2026-04-08,NVDA,NVDA260408C00180000,180.0,REAL,3:35 PM,1.92,3:40 PM,1.84,-0.08,1,192.0,-8.0,False,
Wednesday,2026-04-15,NVDA,NVDA260415C00195000,195.0,REAL,3:35 PM,3.39,3:40 PM,3.24,-0.15,1,339.0,-15.0,False,
Wednesday,2026-04-22,NVDA,NVDA260422C00202500,202.5,REAL,3:35 PM,0.02,3:40 PM,0.02,0.0,50,100.0,0.0,False,
Wednesday,2026-04-29,NVDA,NVDA260429C00210000,210.0,REAL,3:35 PM,0.49,3:40 PM,0.6,0.11,3,147.0,33.0,True,
Wednesday,2026-05-06,NVDA,NVDA260506C00207500,207.5,REAL,3:35 PM,0.12,3:40 PM,0.15,0.03,9,108.0,27.0,True,
Wednesday,2026-05-13,NVDA,NVDA260513C00227500,227.5,REAL,3:35 PM,0.05,3:40 PM,0.03,-0.02,20,100.0,-40.0,False,
Wednesday,2026-05-20,NVDA,NVDA260520C00222500,222.5,SIM,3:35 PM,0.9249,3:40 PM,0.9866,0.0617,2,184.97,12.34,True,
Wednesday,2026-05-27,NVDA,NVDA260527C00212500,212.5,REAL,3:35 PM,0.13,3:40 PM,0.43,0.3,8,104.0,240.0,True,
Wednesday,2026-06-03,NVDA,NVDA260603C00215000,215.0,REAL,3:35 PM,0.67,3:40 PM,0.95,0.28,2,134.0,56.0,True,
Wednesday,2026-06-10,NVDA,NVDA260610C00200000,200.0,REAL,3:35 PM,0.97,3:40 PM,1.52,0.55,2,194.0,110.0,True,
Wednesday,2026-02-04,TSLA,TSLA260204C00407500,407.5,REAL,3:50 PM,0.96,3:55 PM,0.16,-0.8,2,192.0,-160.0,False,
Wednesday,2026-02-11,TSLA,TSLA260211C00427500,427.5,REAL,3:50 PM,0.45,3:55 PM,1.39,0.94,3,135.0,282.0,True,
Wednesday,2026-02-18,TSLA,TSLA260218C00410000,410.0,REAL,3:50 PM,1.31,3:55 PM,1.95,0.64,1,131.0,64.0,True,
Wednesday,2026-02-25,TSLA,TSLA260225C00415000,415.0,REAL,3:50 PM,2.09,3:55 PM,2.55,0.46,1,209.0,46.0,True,
Wednesday,2026-03-04,TSLA,TSLA260304C00405000,405.0,REAL,3:50 PM,1.52,3:55 PM,0.36,-1.16,1,152.0,-116.0,False,
Wednesday,2026-03-11,TSLA,TSLA260311C00407500,407.5,REAL,3:50 PM,0.22,3:55 PM,0.32,0.1,5,110.0,50.0,True,
Wednesday,2026-03-18,TSLA,TSLA260318C00395000,395.0,REAL,3:50 PM,0.05,3:55 PM,0.02,-0.03,20,100.0,-60.0,False,
Wednesday,2026-03-25,TSLA,TSLA260325C00385000,385.0,REAL,3:50 PM,1.39,3:55 PM,1.01,-0.38,1,139.0,-38.0,False,
Wednesday,2026-04-01,TSLA,TSLA260401C00380000,380.0,REAL,3:50 PM,0.36,3:55 PM,1.19,0.83,3,108.0,249.0,True,
Wednesday,2026-04-08,TSLA,TSLA260408C00340000,340.0,REAL,3:50 PM,2.32,3:55 PM,3.4,1.08,1,232.0,108.0,True,
Wednesday,2026-04-15,TSLA,TSLA260415C00390000,390.0,REAL,3:50 PM,3.15,3:55 PM,2.3,-0.85,1,315.0,-85.0,False,
Wednesday,2026-04-22,TSLA,TSLA260422C00387500,387.5,SIM,3:50 PM,0.6389,3:55 PM,0.2434,-0.3956,2,127.79,-79.12,False,
Wednesday,2026-04-29,TSLA,TSLA260429C00375000,375.0,REAL,3:50 PM,0.1,3:55 PM,0.14,0.04,10,100.0,40.0,True,
Wednesday,2026-05-06,TSLA,TSLA260506C00400000,400.0,REAL,3:50 PM,0.58,3:55 PM,0.04,-0.54,2,116.0,-108.0,False,
Wednesday,2026-05-13,TSLA,TSLA260513C00447500,447.5,REAL,3:50 PM,0.03,3:55 PM,0.05,0.02,34,102.0,68.0,True,
Wednesday,2026-05-20,TSLA,TSLA260520C00415000,415.0,REAL,3:50 PM,0.15,3:55 PM,1.7,1.55,7,105.0,1085.0,True,
Wednesday,2026-05-27,TSLA,TSLA260527C00440000,440.0,REAL,3:50 PM,0.31,3:55 PM,0.78,0.47,4,124.0,188.0,True,
Wednesday,2026-06-03,TSLA,TSLA260603C00422500,422.5,REAL,3:50 PM,0.47,3:55 PM,0.85,0.38,3,141.0,114.0,True,
Wednesday,2026-06-10,TSLA,TSLA260610C00382500,382.5,REAL,3:50 PM,0.98,3:55 PM,0.25,-0.73,2,196.0,-146.0,False,
Wednesday,2026-02-04,MSFT,MSFT260204C00417500,417.5,REAL,3:35 PM,0.14,3:45 PM,0.2,0.06,8,112.0,48.0,True,
Wednesday,2026-02-11,MSFT,MSFT260211C00405000,405.0,REAL,3:35 PM,0.09,3:45 PM,0.15,0.06,12,108.0,72.0,True,
Wednesday,2026-02-18,MSFT,MSFT260218C00400000,400.0,REAL,3:35 PM,0.36,3:45 PM,0.45,0.09,3,108.0,27.0,True,
Wednesday,2026-02-25,MSFT,MSFT260225C00397500,397.5,REAL,3:35 PM,2.92,3:44 PM,2.94,0.02,1,292.0,2.0,True,
Wednesday,2026-03-04,MSFT,MSFT260304C00410000,410.0,REAL,3:35 PM,0.02,3:45 PM,0.02,0.0,50,100.0,0.0,False,
Wednesday,2026-03-11,MSFT,MSFT260311C00405000,405.0,REAL,3:35 PM,0.12,3:45 PM,0.13,0.01,9,108.0,9.0,True,
Wednesday,2026-03-18,MSFT,MSFT260318C00392500,392.5,REAL,3:35 PM,0.43,3:45 PM,0.06,-0.37,3,129.0,-111.0,False,
Wednesday,2026-03-25,MSFT,MSFT260325C00370000,370.0,REAL,3:35 PM,0.55,3:45 PM,0.59,0.04,2,110.0,8.0,True,
Wednesday,2026-04-01,MSFT,MSFT260401C00370000,370.0,REAL,3:35 PM,0.09,3:45 PM,0.11,0.02,12,108.0,24.0,True,
Wednesday,2026-04-08,MSFT,MSFT260408C00372500,372.5,REAL,3:35 PM,0.35,3:45 PM,0.48,0.13,3,105.0,39.0,True,
Wednesday,2026-04-15,MSFT,MSFT260415C00415000,415.0,REAL,3:35 PM,0.04,3:45 PM,0.02,-0.02,25,100.0,-50.0,False,
Wednesday,2026-04-22,MSFT,MSFT260422C00432500,432.5,REAL,3:35 PM,0.99,3:45 PM,0.88,-0.11,2,198.0,-22.0,False,
Wednesday,2026-04-29,MSFT,MSFT260429C00425000,425.0,SIM,3:35 PM,0.5935,3:45 PM,0.2032,-0.3904,2,118.71,-78.07,False,
Wednesday,2026-05-06,MSFT,MSFT260506C00412500,412.5,REAL,3:35 PM,0.78,3:45 PM,0.75,-0.03,2,156.0,-6.0,False,
Wednesday,2026-05-13,MSFT,MSFT260513C00405000,405.0,REAL,3:35 PM,0.22,3:45 PM,0.65,0.43,5,110.0,215.0,True,
Wednesday,2026-05-20,MSFT,MSFT260520C00420000,420.0,REAL,3:35 PM,0.99,3:45 PM,1.58,0.59,2,198.0,118.0,True,
Wednesday,2026-05-27,MSFT,MSFT260527C00412500,412.5,REAL,3:35 PM,0.65,3:45 PM,0.97,0.32,2,130.0,64.0,True,
Wednesday,2026-06-03,MSFT,MSFT260603C00427500,427.5,REAL,3:35 PM,0.92,3:45 PM,0.99,0.07,2,184.0,14.0,True,
Wednesday,2026-06-10,MSFT,MSFT260610C00400000,400.0,REAL,3:35 PM,0.53,3:45 PM,0.36,-0.17,2,106.0,-34.0,False,

SUMMARY BY DAY
day_of_week,ticker,optimal_entry,optimal_exit,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars,best_day,worst_day,skipped_no_data,premium_spent,return_on_spend
Wednesday,AAPL,3:45 PM,3:55 PM,19,12,0.6316,1404.0,73.89,525.0,-116.0,0,2432.0,0.5773
Wednesday,NVDA,3:35 PM,3:40 PM,19,14,0.7368,800.93,42.15,240.0,-40.0,0,2881.91,0.2779
Wednesday,TSLA,3:50 PM,3:55 PM,19,11,0.5789,1501.88,79.05,1085.0,-160.0,0,2834.79,0.5298
Wednesday,MSFT,3:35 PM,3:45 PM,19,12,0.6316,338.93,17.84,215.0,-111.0,0,2580.71,0.1313

"DAY COMBINATION COMPARISON (per equity, then ALL combined)"
ticker,combination,days_included,trades,wins,win_rate,total_pnl_dollars,avg_pnl_dollars
AAPL,Wednesday only,Wednesday,19,12,0.6316,1404.0,73.89
NVDA,Wednesday only,Wednesday,19,14,0.7368,800.93,42.15
TSLA,Wednesday only,Wednesday,19,11,0.5789,1501.88,79.05
MSFT,Wednesday only,Wednesday,19,12,0.6316,338.93,17.84
ALL,Wednesday only,Wednesday,76,49,0.6447,4045.74,53.23
