"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (by day of week)"
"# Position sizing: contracts = ceil($1.00 / option_price), min 1 — minimum ~$100 premium per trade (more if the option costs over $1.00/share). P&L and the optimal time reflect the contract count."
# Lookback = 730 calendar days
# Trading window = 3-4PM ET
# Generated 2026-07-02 19:28:21  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
Friday,2024-07-05,AAPL,AAPL240705P00225000,225.0,REAL,3:30 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Friday,2024-07-12,AAPL,AAPL240712P00232500,232.5,REAL,3:30 PM,0.95,3:55 PM,1.99,1.04,2,190.0,208.0,True,
Friday,2024-07-19,AAPL,AAPL240719P00225000,225.0,REAL,3:30 PM,0.31,3:55 PM,0.8,0.49,4,124.0,196.0,True,
Friday,2024-07-26,AAPL,AAPL240726P00217500,217.5,REAL,3:30 PM,0.09,3:55 PM,0.25,0.16,12,108.0,192.0,True,
Friday,2024-08-02,AAPL,AAPL240802P00222500,222.5,REAL,3:30 PM,0.42,3:55 PM,2.78,2.36,3,126.0,708.0,True,
Friday,2024-08-09,AAPL,AAPL240809P00215000,215.0,REAL,3:30 PM,0.04,3:55 PM,0.01,-0.03,25,100.0,-75.0,False,
Friday,2024-08-16,AAPL,AAPL240816P00225000,225.0,REAL,3:30 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2024-08-23,AAPL,AAPL240823P00227500,227.5,REAL,3:30 PM,0.56,3:55 PM,0.77,0.21,2,112.0,42.0,True,
Friday,2024-08-30,AAPL,AAPL240830P00227500,227.5,REAL,3:30 PM,0.02,3:55 PM,0.01,-0.01,50,100.0,-50.0,False,
Friday,2024-09-06,AAPL,AAPL240906P00220000,220.0,REAL,3:30 PM,0.08,3:55 PM,0.12,0.04,13,104.0,52.0,True,
Friday,2024-09-13,AAPL,AAPL240913P00222500,222.5,REAL,3:30 PM,0.14,3:55 PM,0.09,-0.05,8,112.0,-40.0,False,
Friday,2024-09-20,AAPL,AAPL240920P00232500,232.5,REAL,3:30 PM,1.08,3:55 PM,2.61,1.53,1,108.0,153.0,True,
Friday,2024-09-27,AAPL,AAPL240927P00227500,227.5,REAL,3:30 PM,0.12,3:55 PM,0.01,-0.11,9,108.0,-99.0,False,
Friday,2024-10-04,AAPL,AAPL241004P00225000,225.0,REAL,3:30 PM,0.03,3:55 PM,0.01,-0.02,34,102.0,-68.0,False,
Friday,2024-10-11,AAPL,AAPL241011P00227500,227.5,REAL,3:30 PM,0.02,3:55 PM,0.04,0.02,50,100.0,100.0,True,
Friday,2024-10-18,AAPL,AAPL241018P00235000,235.0,REAL,3:30 PM,0.11,3:55 PM,0.11,0.0,10,110.0,0.0,False,
Friday,2024-10-25,AAPL,AAPL241025P00232500,232.5,REAL,3:30 PM,0.99,3:55 PM,1.18,0.19,2,198.0,38.0,True,
Friday,2024-11-01,AAPL,AAPL241101P00222500,222.5,REAL,3:30 PM,0.31,3:55 PM,0.01,-0.3,4,124.0,-120.0,False,
Friday,2024-11-08,AAPL,AAPL241108P00227500,227.5,REAL,3:30 PM,0.25,3:55 PM,0.47,0.22,4,100.0,88.0,True,
Friday,2024-11-15,AAPL,AAPL241115P00225000,225.0,REAL,3:30 PM,0.25,3:55 PM,0.05,-0.2,4,100.0,-80.0,False,
Friday,2024-11-22,AAPL,AAPL241122P00230000,230.0,REAL,3:30 PM,0.67,3:55 PM,0.27,-0.4,2,134.0,-80.0,False,
Friday,2024-11-29,AAPL,,0.0,MISS,3:30 PM,,3:55 PM,,,,,,,missing data (Fri & Thu closed)
Friday,2024-12-06,AAPL,AAPL241206P00242500,242.5,REAL,3:30 PM,0.05,3:55 PM,0.06,0.01,20,100.0,20.0,True,
Friday,2024-12-13,AAPL,AAPL241213P00247500,247.5,REAL,3:30 PM,0.03,3:55 PM,0.02,-0.01,34,102.0,-34.0,False,
