symbol,direction,fill_mode,dow,T_pct,n,hit_pct,first_hit_median,low_sample
AAPL,call,mid,Fri,20.0,21884,45.791,19.0,False
AAPL,call,mid,Fri,25.0,21884,42.643,22.0,False
AAPL,call,mid,Fri,30.0,21884,38.243,26.0,False
AAPL,call,mid,Fri,40.0,21884,31.041,31.0,False
AAPL,call,mid,Fri,50.0,21884,26.545,37.0,False
AAPL,call,mid,Fri,60.0,21884,23.332,43.0,False
AAPL,call,mid,Fri,70.0,21884,21.098,48.0,False
AAPL,call,mid,Fri,75.0,21884,20.088,49.0,False
AAPL,call,mid,Fri,80.0,21884,19.037,52.5,False
AAPL,call,mid,Fri,90.0,21884,17.415,56.0,False
AAPL,call,mid,Fri,100.0,21884,16.345,58.0,False
AAPL,call,market,Fri,20.0,21884,30.758,34.0,False
AAPL,call,market,Fri,25.0,21884,27.929,38.0,False
AAPL,call,market,Fri,30.0,21884,25.448,42.0,False
AAPL,call,market,Fri,40.0,21884,21.714,50.0,False
AAPL,call,market,Fri,50.0,21884,18.859,58.0,False
AAPL,call,market,Fri,60.0,21884,16.683,63.0,False
AAPL,call,market,Fri,70.0,21884,15.038,69.0,False
AAPL,call,market,Fri,75.0,21884,14.339,71.0,False
AAPL,call,market,Fri,80.0,21884,13.704,73.0,False
AAPL,call,market,Fri,90.0,21884,12.589,77.0,False
AAPL,call,market,Fri,100.0,21884,11.584,81.0,False
AAPL,put,mid,Fri,20.0,18399,56.72,19.0,False
AAPL,put,mid,Fri,25.0,18399,53.796,21.0,False
AAPL,put,mid,Fri,30.0,18399,48.459,25.0,False
AAPL,put,mid,Fri,40.0,18399,41.024,32.0,False
AAPL,put,mid,Fri,50.0,18399,35.274,37.0,False
AAPL,put,mid,Fri,60.0,18399,31.078,43.0,False
AAPL,put,mid,Fri,70.0,18399,28.48,48.0,False
AAPL,put,mid,Fri,75.0,18399,26.643,49.0,False
AAPL,put,mid,Fri,80.0,18399,24.882,53.0,False
AAPL,put,mid,Fri,90.0,18399,23.094,56.0,False
AAPL,put,mid,Fri,100.0,18399,21.273,56.0,False
AAPL,put,market,Fri,20.0,18399,35.747,33.0,False
AAPL,put,market,Fri,25.0,18399,33.165,38.0,False
AAPL,put,market,Fri,30.0,18399,30.866,43.0,False
AAPL,put,market,Fri,40.0,18399,26.855,51.0,False
AAPL,put,market,Fri,50.0,18399,23.724,57.0,False
AAPL,put,market,Fri,60.0,18399,21.104,64.0,False
AAPL,put,market,Fri,70.0,18399,19.186,71.0,False
AAPL,put,market,Fri,75.0,18399,18.039,73.0,False
AAPL,put,market,Fri,80.0,18399,16.963,74.0,False
AAPL,put,market,Fri,90.0,18399,15.37,78.5,False
AAPL,put,market,Fri,100.0,18399,13.995,81.0,False
AAPL,call,mid,Mon,20.0,20095,40.831,34.0,False
AAPL,call,mid,Mon,25.0,20095,35.785,39.0,False
AAPL,call,mid,Mon,30.0,20095,30.341,43.0,False
AAPL,call,mid,Mon,40.0,20095,22.946,48.0,False
AAPL,call,mid,Mon,50.0,20095,18.492,52.0,False
AAPL,call,mid,Mon,60.0,20095,15.472,57.0,False
AAPL,call,mid,Mon,70.0,20095,13.232,63.0,False
AAPL,call,mid,Mon,75.0,20095,12.282,65.0,False
AAPL,call,mid,Mon,80.0,20095,11.461,68.0,False
AAPL,call,mid,Mon,90.0,20095,10.266,73.0,False
