symbol,direction,regime,fill_mode,T_pct,rank,entry_bucket,n,hit_pct,median_min_to_target,low_sample
AAPL,call,Fri-0DTE,mid,30.0,1,09:30,1921,53.358,19.0,False
AAPL,call,Fri-0DTE,mid,30.0,2,10:00,2189,49.886,21.0,False
AAPL,call,Fri-0DTE,mid,30.0,3,10:30,2061,42.649,27.0,False
AAPL,call,Fri-0DTE,mid,30.0,4,12:00,1805,40.222,29.0,False
AAPL,call,Fri-0DTE,mid,30.0,5,11:00,1939,38.938,37.0,False
AAPL,call,Fri-0DTE,mid,30.0,6,11:30,1895,38.786,38.0,False
AAPL,call,Fri-0DTE,mid,30.0,7,13:00,1675,38.09,32.5,False
AAPL,call,Fri-0DTE,mid,30.0,8,12:30,1744,37.443,36.0,False
AAPL,call,Fri-0DTE,mid,30.0,9,13:30,1614,33.705,28.0,False
AAPL,call,Fri-0DTE,mid,30.0,10,14:00,1540,32.143,23.0,False
AAPL,call,Fri-0DTE,mid,30.0,11,14:30,1550,26.387,23.0,False
AAPL,call,Fri-0DTE,mid,30.0,12,15:00,1606,21.793,18.0,False
AAPL,call,Fri-0DTE,mid,30.0,13,15:30,345,19.71,10.5,False
AAPL,call,Fri-0DTE,mid,50.0,1,09:30,1921,40.552,27.0,False
AAPL,call,Fri-0DTE,mid,50.0,2,10:00,2189,35.359,31.0,False
AAPL,call,Fri-0DTE,mid,50.0,3,10:30,2061,29.597,51.0,False
AAPL,call,Fri-0DTE,mid,50.0,4,12:00,1805,27.091,41.0,False
AAPL,call,Fri-0DTE,mid,50.0,5,11:30,1895,26.913,47.5,False
AAPL,call,Fri-0DTE,mid,50.0,6,11:00,1939,26.818,61.5,False
AAPL,call,Fri-0DTE,mid,50.0,7,12:30,1744,25.115,50.0,False
AAPL,call,Fri-0DTE,mid,50.0,8,13:00,1675,24.776,46.0,False
AAPL,call,Fri-0DTE,mid,50.0,9,13:30,1614,24.287,37.5,False
AAPL,call,Fri-0DTE,mid,50.0,10,14:00,1540,22.792,32.0,False
AAPL,call,Fri-0DTE,mid,50.0,11,14:30,1550,17.355,27.0,False
AAPL,call,Fri-0DTE,mid,50.0,12,15:00,1606,13.574,23.0,False
AAPL,call,Fri-0DTE,mid,50.0,13,15:30,345,12.754,14.5,False
AAPL,call,Fri-0DTE,mid,75.0,1,09:30,1921,31.598,37.0,False
AAPL,call,Fri-0DTE,mid,75.0,2,10:00,2189,27.181,45.0,False
AAPL,call,Fri-0DTE,mid,75.0,3,10:30,2061,22.95,84.0,False
AAPL,call,Fri-0DTE,mid,75.0,4,11:30,1895,20.211,58.0,False
AAPL,call,Fri-0DTE,mid,75.0,5,12:00,1805,20.111,49.0,False
AAPL,call,Fri-0DTE,mid,75.0,6,11:00,1939,19.701,79.0,False
AAPL,call,Fri-0DTE,mid,75.0,7,13:00,1675,18.985,59.0,False
AAPL,call,Fri-0DTE,mid,75.0,8,12:30,1744,18.635,64.0,False
AAPL,call,Fri-0DTE,mid,75.0,9,13:30,1614,18.34,53.0,False
AAPL,call,Fri-0DTE,mid,75.0,10,14:00,1540,16.688,47.0,False
AAPL,call,Fri-0DTE,mid,75.0,11,14:30,1550,12.903,35.0,False
AAPL,call,Fri-0DTE,mid,75.0,12,15:00,1606,10.336,27.0,False
AAPL,call,Fri-0DTE,mid,75.0,13,15:30,345,8.986,16.0,False
AAPL,call,Fri-0DTE,mid,100.0,1,09:30,1921,26.08,48.0,False
AAPL,call,Fri-0DTE,mid,100.0,2,10:00,2189,21.745,54.5,False
AAPL,call,Fri-0DTE,mid,100.0,3,10:30,2061,18.874,100.0,False
AAPL,call,Fri-0DTE,mid,100.0,4,11:30,1895,17.15,68.0,False
AAPL,call,Fri-0DTE,mid,100.0,5,12:00,1805,17.119,54.0,False
AAPL,call,Fri-0DTE,mid,100.0,6,11:00,1939,16.039,93.0,False
AAPL,call,Fri-0DTE,mid,100.0,7,13:00,1675,15.522,66.5,False
AAPL,call,Fri-0DTE,mid,100.0,8,13:30,1614,15.056,65.0,False
AAPL,call,Fri-0DTE,mid,100.0,9,12:30,1744,14.392,64.0,False
AAPL,call,Fri-0DTE,mid,100.0,10,14:00,1540,12.597,56.0,False
AAPL,call,Fri-0DTE,mid,100.0,11,14:30,1550,10.194,38.0,False
AAPL,call,Fri-0DTE,mid,100.0,12,15:00,1606,8.531,29.0,False
AAPL,call,Fri-0DTE,mid,100.0,13,15:30,345,6.667,20.0,False
AAPL,call,Fri-0DTE,market,30.0,1,09:30,1921,40.031,28.0,False
AAPL,call,Fri-0DTE,market,30.0,2,10:00,2189,34.536,34.0,False
AAPL,call,Fri-0DTE,market,30.0,3,10:30,2061,29.549,54.0,False
AAPL,call,Fri-0DTE,market,30.0,4,12:00,1805,26.648,43.0,False
AAPL,call,Fri-0DTE,market,30.0,5,11:30,1895,25.699,51.0,False
AAPL,call,Fri-0DTE,market,30.0,6,11:00,1939,25.271,70.0,False
AAPL,call,Fri-0DTE,market,30.0,7,12:30,1744,24.025,61.0,False
AAPL,call,Fri-0DTE,market,30.0,8,13:30,1614,22.305,43.0,False
AAPL,call,Fri-0DTE,market,30.0,9,13:00,1675,22.269,55.0,False
AAPL,call,Fri-0DTE,market,30.0,10,14:00,1540,20.779,46.0,False
AAPL,call,Fri-0DTE,market,30.0,11,14:30,1550,16.129,39.5,False
AAPL,call,Fri-0DTE,market,30.0,12,15:00,1606,13.263,28.0,False
AAPL,call,Fri-0DTE,market,30.0,13,15:30,345,12.174,20.0,False
AAPL,call,Fri-0DTE,market,50.0,1,09:30,1921,31.546,41.5,False
AAPL,call,Fri-0DTE,market,50.0,2,10:00,2189,26.542,52.0,False
AAPL,call,Fri-0DTE,market,50.0,3,10:30,2061,22.562,89.0,False
AAPL,call,Fri-0DTE,market,50.0,4,12:00,1805,19.058,57.5,False
AAPL,call,Fri-0DTE,market,50.0,5,11:30,1895,18.839,60.0,False
AAPL,call,Fri-0DTE,market,50.0,6,11:00,1939,18.669,86.0,False
AAPL,call,Fri-0DTE,market,50.0,7,13:30,1614,17.348,65.5,False
AAPL,call,Fri-0DTE,market,50.0,8,12:30,1744,16.686,72.0,False
AAPL,call,Fri-0DTE,market,50.0,9,13:00,1675,16.0,67.5,False
AAPL,call,Fri-0DTE,market,50.0,10,14:00,1540,14.74,59.0,False
AAPL,call,Fri-0DTE,market,50.0,11,14:30,1550,11.097,49.0,False
AAPL,call,Fri-0DTE,market,50.0,12,15:30,345,8.986,20.0,False
AAPL,call,Fri-0DTE,market,50.0,13,15:00,1606,8.904,33.0,False
AAPL,call,Fri-0DTE,market,75.0,1,09:30,1921,25.091,55.0,False
AAPL,call,Fri-0DTE,market,75.0,2,10:00,2189,20.146,77.0,False
AAPL,call,Fri-0DTE,market,75.0,3,10:30,2061,17.273,106.0,False
AAPL,call,Fri-0DTE,market,75.0,4,12:00,1805,14.46,77.0,False
AAPL,call,Fri-0DTE,market,75.0,5,11:00,1939,14.286,97.0,False
AAPL,call,Fri-0DTE,market,75.0,6,11:30,1895,14.248,68.5,False
AAPL,call,Fri-0DTE,market,75.0,7,13:00,1675,12.716,90.0,False
AAPL,call,Fri-0DTE,market,75.0,8,13:30,1614,12.454,78.0,False
AAPL,call,Fri-0DTE,market,75.0,9,12:30,1744,11.927,81.0,False
AAPL,call,Fri-0DTE,market,75.0,10,14:00,1540,10.974,81.0,False
AAPL,call,Fri-0DTE,market,75.0,11,14:30,1550,8.065,58.0,False
AAPL,call,Fri-0DTE,market,75.0,12,15:00,1606,7.161,33.0,False
AAPL,call,Fri-0DTE,market,75.0,13,15:30,345,5.797,20.0,False
AAPL,call,Fri-0DTE,market,100.0,1,09:30,1921,20.198,64.5,False
AAPL,call,Fri-0DTE,market,100.0,2,10:00,2189,16.857,105.0,False
AAPL,call,Fri-0DTE,market,100.0,3,10:30,2061,14.022,124.0,False
AAPL,call,Fri-0DTE,market,100.0,4,11:30,1895,12.348,90.0,False
AAPL,call,Fri-0DTE,market,100.0,5,11:00,1939,12.068,104.5,False
AAPL,call,Fri-0DTE,market,100.0,6,12:00,1805,11.413,92.5,False
AAPL,call,Fri-0DTE,market,100.0,7,13:00,1675,10.09,96.0,False
AAPL,call,Fri-0DTE,market,100.0,8,13:30,1614,9.851,90.0,False
AAPL,call,Fri-0DTE,market,100.0,9,12:30,1744,8.773,85.0,False
AAPL,call,Fri-0DTE,market,100.0,10,14:00,1540,8.442,84.0,False
AAPL,call,Fri-0DTE,market,100.0,11,14:30,1550,6.645,60.0,False
AAPL,call,Fri-0DTE,market,100.0,12,15:00,1606,5.479,31.0,False
AAPL,call,Fri-0DTE,market,100.0,13,15:30,345,3.768,20.0,False
AAPL,put,Fri-0DTE,mid,30.0,1,11:00,1663,57.907,27.0,False
AAPL,put,Fri-0DTE,mid,30.0,2,10:30,1772,54.402,27.0,False
AAPL,put,Fri-0DTE,mid,30.0,3,11:30,1540,53.766,25.0,False
AAPL,put,Fri-0DTE,mid,30.0,4,12:30,1427,50.105,27.0,False
AAPL,put,Fri-0DTE,mid,30.0,5,10:00,1911,50.026,25.0,False
AAPL,put,Fri-0DTE,mid,30.0,6,13:00,1375,48.582,31.5,False
AAPL,put,Fri-0DTE,mid,30.0,7,12:00,1490,47.852,31.0,False
AAPL,put,Fri-0DTE,mid,30.0,8,09:30,1736,47.523,21.0,False
AAPL,put,Fri-0DTE,mid,30.0,9,13:30,1313,45.925,26.0,False
AAPL,put,Fri-0DTE,mid,30.0,10,14:30,1281,43.404,29.0,False
AAPL,put,Fri-0DTE,mid,30.0,11,15:00,1293,40.99,15.0,False
AAPL,put,Fri-0DTE,mid,30.0,12,14:00,1295,39.228,36.0,False
AAPL,put,Fri-0DTE,mid,30.0,13,15:30,303,28.713,10.0,False
AAPL,put,Fri-0DTE,mid,50.0,1,11:00,1663,44.558,43.0,False
AAPL,put,Fri-0DTE,mid,50.0,2,11:30,1540,42.727,37.0,False
AAPL,put,Fri-0DTE,mid,50.0,3,10:30,1772,41.253,47.0,False
AAPL,put,Fri-0DTE,mid,50.0,4,10:00,1911,38.566,36.0,False
AAPL,put,Fri-0DTE,mid,50.0,5,12:30,1427,36.65,39.0,False
AAPL,put,Fri-0DTE,mid,50.0,6,12:00,1490,35.906,44.0,False
AAPL,put,Fri-0DTE,mid,50.0,7,09:30,1736,35.196,49.0,False
AAPL,put,Fri-0DTE,mid,50.0,8,13:00,1375,33.236,42.0,False
AAPL,put,Fri-0DTE,mid,50.0,9,13:30,1313,30.084,32.0,False
AAPL,put,Fri-0DTE,mid,50.0,10,14:30,1281,29.274,35.0,False
AAPL,put,Fri-0DTE,mid,50.0,11,15:00,1293,26.45,17.0,False
AAPL,put,Fri-0DTE,mid,50.0,12,14:00,1295,26.023,52.0,False
AAPL,put,Fri-0DTE,mid,50.0,13,15:30,303,15.842,9.5,False
AAPL,put,Fri-0DTE,mid,75.0,1,11:00,1663,33.975,67.0,False
AAPL,put,Fri-0DTE,mid,75.0,2,11:30,1540,33.377,57.0,False
AAPL,put,Fri-0DTE,mid,75.0,3,10:30,1772,31.49,58.0,False
AAPL,put,Fri-0DTE,mid,75.0,4,10:00,1911,29.67,42.0,False
AAPL,put,Fri-0DTE,mid,75.0,5,12:00,1490,27.114,62.5,False
AAPL,put,Fri-0DTE,mid,75.0,6,12:30,1427,26.769,54.0,False
AAPL,put,Fri-0DTE,mid,75.0,7,13:00,1375,25.818,53.0,False
AAPL,put,Fri-0DTE,mid,75.0,8,09:30,1736,25.461,66.5,False
AAPL,put,Fri-0DTE,mid,75.0,9,14:30,1281,22.014,41.0,False
AAPL,put,Fri-0DTE,mid,75.0,10,13:30,1313,21.706,45.0,False
AAPL,put,Fri-0DTE,mid,75.0,11,15:00,1293,20.727,20.0,False
AAPL,put,Fri-0DTE,mid,75.0,12,14:00,1295,19.151,60.0,False
AAPL,put,Fri-0DTE,mid,75.0,13,15:30,303,10.561,11.5,False
AAPL,put,Fri-0DTE,mid,100.0,1,11:30,1540,27.727,63.0,False
AAPL,put,Fri-0DTE,mid,100.0,2,11:00,1663,26.578,81.5,False
AAPL,put,Fri-0DTE,mid,100.0,3,10:00,1911,25.536,48.0,False
AAPL,put,Fri-0DTE,mid,100.0,4,10:30,1772,24.831,61.5,False
AAPL,put,Fri-0DTE,mid,100.0,5,12:30,1427,21.864,67.5,False
AAPL,put,Fri-0DTE,mid,100.0,6,12:00,1490,21.409,74.0,False
AAPL,put,Fri-0DTE,mid,100.0,7,09:30,1736,20.161,73.5,False
AAPL,put,Fri-0DTE,mid,100.0,8,13:00,1375,20.073,58.0,False
AAPL,put,Fri-0DTE,mid,100.0,9,13:30,1313,17.212,56.0,False
AAPL,put,Fri-0DTE,mid,100.0,10,14:30,1281,17.018,44.0,False
AAPL,put,Fri-0DTE,mid,100.0,11,15:00,1293,16.087,21.0,False
AAPL,put,Fri-0DTE,mid,100.0,12,14:00,1295,14.054,62.0,False
AAPL,put,Fri-0DTE,mid,100.0,13,15:30,303,8.581,11.0,False
AAPL,put,Fri-0DTE,market,30.0,1,11:00,1663,38.425,51.0,False
AAPL,put,Fri-0DTE,market,30.0,2,11:30,1540,36.039,46.0,False
AAPL,put,Fri-0DTE,market,30.0,3,10:30,1772,34.819,45.0,False
AAPL,put,Fri-0DTE,market,30.0,4,10:00,1911,33.386,37.0,False
AAPL,put,Fri-0DTE,market,30.0,5,09:30,1736,31.394,52.0,False
AAPL,put,Fri-0DTE,market,30.0,6,12:30,1427,31.254,45.0,False
AAPL,put,Fri-0DTE,market,30.0,7,12:00,1490,31.208,53.0,False
AAPL,put,Fri-0DTE,market,30.0,8,13:00,1375,29.455,52.0,False
AAPL,put,Fri-0DTE,market,30.0,9,14:30,1281,27.557,41.0,False
AAPL,put,Fri-0DTE,market,30.0,10,13:30,1313,26.123,50.0,False
AAPL,put,Fri-0DTE,market,30.0,11,14:00,1295,25.019,60.0,False
AAPL,put,Fri-0DTE,market,30.0,12,15:00,1293,24.13,21.5,False
AAPL,put,Fri-0DTE,market,30.0,13,15:30,303,12.211,22.0,False
AAPL,put,Fri-0DTE,market,50.0,1,11:00,1663,29.645,75.0,False
AAPL,put,Fri-0DTE,market,50.0,2,11:30,1540,28.961,61.0,False
AAPL,put,Fri-0DTE,market,50.0,3,10:30,1772,27.709,64.0,False
AAPL,put,Fri-0DTE,market,50.0,4,10:00,1911,27.054,48.0,False
AAPL,put,Fri-0DTE,market,50.0,5,12:00,1490,25.034,66.0,False
AAPL,put,Fri-0DTE,market,50.0,6,12:30,1427,24.317,67.0,False
AAPL,put,Fri-0DTE,market,50.0,7,09:30,1736,23.848,71.0,False
AAPL,put,Fri-0DTE,market,50.0,8,13:00,1375,23.055,72.0,False
AAPL,put,Fri-0DTE,market,50.0,9,13:30,1313,19.269,65.0,False
AAPL,put,Fri-0DTE,market,50.0,10,14:30,1281,18.891,46.0,False
AAPL,put,Fri-0DTE,market,50.0,11,14:00,1295,17.683,65.0,False
AAPL,put,Fri-0DTE,market,50.0,12,15:00,1293,17.092,25.0,False
AAPL,put,Fri-0DTE,market,50.0,13,15:30,303,7.261,23.0,False
AAPL,put,Fri-0DTE,market,75.0,1,11:30,1540,22.403,85.0,False
AAPL,put,Fri-0DTE,market,75.0,2,11:00,1663,22.129,99.0,False
AAPL,put,Fri-0DTE,market,75.0,3,10:30,1772,21.896,78.5,False
AAPL,put,Fri-0DTE,market,75.0,4,10:00,1911,21.821,58.0,False
AAPL,put,Fri-0DTE,market,75.0,5,12:00,1490,18.926,87.0,False
AAPL,put,Fri-0DTE,market,75.0,6,09:30,1736,18.779,82.0,False
AAPL,put,Fri-0DTE,market,75.0,7,12:30,1427,17.94,82.0,False
AAPL,put,Fri-0DTE,market,75.0,8,13:00,1375,16.145,112.0,False
AAPL,put,Fri-0DTE,market,75.0,9,13:30,1313,14.699,82.0,False
AAPL,put,Fri-0DTE,market,75.0,10,14:30,1281,13.973,51.0,False
AAPL,put,Fri-0DTE,market,75.0,11,14:00,1295,12.819,72.0,False
AAPL,put,Fri-0DTE,market,75.0,12,15:00,1293,12.374,28.5,False
AAPL,put,Fri-0DTE,market,75.0,13,15:30,303,5.611,22.0,False
AAPL,put,Fri-0DTE,market,100.0,1,10:00,1911,18.106,76.0,False
AAPL,put,Fri-0DTE,market,100.0,2,11:30,1540,17.857,102.0,False
AAPL,put,Fri-0DTE,market,100.0,3,10:30,1772,17.664,89.0,False
