symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
AAPL,call,mid,Mon-0DTE,09:30,ITM,20.0,106,76.415,15.0,10.0,30.0,270.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,25.0,106,76.415,20.0,10.0,40.0,265.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,30.0,106,74.528,20.0,15.0,45.0,265.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,40.0,106,70.755,30.0,17.5,60.0,265.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,50.0,106,70.755,35.0,20.0,67.5,260.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,60.0,106,66.981,40.0,25.0,75.0,250.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,70.0,106,65.094,50.0,30.0,85.0,245.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,75.0,106,64.151,50.0,30.0,91.25,245.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,80.0,106,61.321,55.0,35.0,95.0,245.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,90.0,106,54.717,62.5,35.0,110.0,270.0,1.06302,107.5,-0.97161,False
AAPL,call,mid,Mon-0DTE,09:30,ITM,100.0,106,52.83,70.0,35.0,121.25,262.5,1.06302,107.5,-0.97161,False
AAPL,call,market,Mon-0DTE,09:30,ITM,20.0,106,76.415,20.0,10.0,40.0,265.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,25.0,106,74.528,20.0,15.0,45.0,265.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,30.0,106,74.528,25.0,15.0,55.0,265.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,40.0,106,70.755,35.0,20.0,65.0,260.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,50.0,106,67.925,35.0,25.0,71.25,252.5,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,60.0,106,66.981,45.0,25.0,80.0,245.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,70.0,106,64.151,52.5,30.0,96.25,245.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,75.0,106,60.377,55.0,35.0,96.25,245.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,80.0,106,56.604,57.5,35.0,96.25,265.0,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,90.0,106,52.83,67.5,35.0,116.25,262.5,0.98211,107.5,-0.97272,False
AAPL,call,market,Mon-0DTE,09:30,ITM,100.0,106,49.057,77.5,35.0,138.75,275.0,0.98211,107.5,-0.97272,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,20.0,141,85.816,15.0,10.0,50.0,185.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,25.0,141,80.851,25.0,10.0,55.0,185.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,30.0,141,77.305,35.0,10.0,65.0,180.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,40.0,141,70.213,45.0,17.5,75.0,185.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,50.0,141,63.121,50.0,25.0,80.0,190.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,60.0,141,58.865,65.0,30.0,95.0,190.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,70.0,141,51.773,70.0,35.0,115.0,200.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,75.0,141,49.645,70.0,40.0,110.0,200.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,80.0,141,46.099,70.0,40.0,110.0,200.0,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,90.0,141,41.135,77.5,45.0,123.75,207.5,0.72666,165.0,-0.97178,False
AAPL,call,mid,Mon-0DTE,10:00,ITM,100.0,141,39.007,95.0,50.0,147.5,205.0,0.72666,165.0,-0.97178,False
AAPL,call,market,Mon-0DTE,10:00,ITM,20.0,141,80.851,25.0,10.0,55.0,185.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,25.0,141,77.305,35.0,10.0,65.0,180.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,30.0,141,73.759,35.0,15.0,70.0,182.5,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,40.0,141,67.376,50.0,20.0,75.0,185.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,50.0,141,60.993,57.5,25.0,83.75,190.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,60.0,141,53.191,70.0,37.5,105.0,195.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,70.0,141,48.227,70.0,40.0,110.0,200.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,75.0,141,44.681,80.0,40.0,117.5,200.0,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,80.0,141,42.553,77.5,43.75,121.25,207.5,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,90.0,141,39.716,87.5,50.0,151.25,207.5,0.65896,165.0,-0.97288,False
AAPL,call,market,Mon-0DTE,10:00,ITM,100.0,141,35.461,107.5,56.25,153.75,242.5,0.65896,165.0,-0.97288,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,20.0,154,70.779,25.0,15.0,50.0,155.0,0.44463,137.5,-0.97397,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,25.0,154,66.234,30.0,15.0,55.0,160.0,0.44463,137.5,-0.97397,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,30.0,154,62.338,35.0,20.0,61.25,160.0,0.44463,137.5,-0.97397,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,40.0,154,54.545,50.0,25.0,106.25,165.0,0.44463,137.5,-0.97397,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,50.0,154,47.403,55.0,35.0,105.0,170.0,0.44463,137.5,-0.97397,False
AAPL,call,mid,Mon-0DTE,10:30,ITM,60.0,154,42.857,65.0,36.25,125.0,172.5,0.44463,137.5,-0.97397,False
