symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
AMD,call,mid,Fri-0DTE,10:30,ITM,20.0,748,58.155,34.0,14.0,92.5,279.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,25.0,748,50.802,39.0,18.0,96.0,279.5,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,30.0,748,45.856,48.0,27.0,109.5,279.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,40.0,748,35.695,72.0,35.5,144.5,302.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,50.0,748,28.877,80.5,46.0,146.75,304.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,60.0,748,24.064,94.0,58.75,167.25,305.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,70.0,748,19.652,97.0,63.5,172.0,308.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,75.0,748,18.048,97.0,64.0,181.5,308.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,80.0,748,16.176,106.0,69.0,186.0,309.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,90.0,748,13.77,132.0,80.5,187.0,309.0,0.26253,119.0,-0.32522,False
AMD,call,mid,Fri-0DTE,10:30,ITM,100.0,748,11.631,154.0,87.0,237.5,309.0,0.26253,119.0,-0.32522,False
AMD,call,market,Fri-0DTE,10:30,ITM,20.0,748,53.877,36.0,18.0,95.5,282.0,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,25.0,748,48.396,44.5,22.25,104.5,278.5,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,30.0,748,43.717,55.0,29.5,117.5,284.0,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,40.0,748,33.155,72.0,39.0,148.25,303.0,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,50.0,748,26.738,84.0,52.0,151.25,304.0,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,60.0,748,22.46,93.5,59.0,169.0,304.0,0.23216,119.0,-0.34163,False
AMD,call,market,Fri-0DTE,10:30,ITM,70.0,748,18.316,98.0,64.0,176.0,308.0,0.23216,119.0,-0.34163,False
