symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
AMZN,call,mid,Mon-0DTE,09:30,ITM,20.0,95,86.316,30.0,10.0,88.75,342.5,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,25.0,95,80.0,35.0,15.0,166.25,342.5,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,30.0,95,74.737,45.0,17.5,175.0,345.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,40.0,95,67.368,65.0,28.75,183.75,360.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,50.0,95,65.263,72.5,36.25,193.75,360.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,60.0,95,54.737,165.0,50.0,255.0,365.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,70.0,95,49.474,175.0,50.0,277.5,365.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,75.0,95,48.421,177.5,51.25,288.75,365.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,80.0,95,44.211,185.0,63.75,288.75,365.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,90.0,95,38.947,185.0,100.0,245.0,365.0,0.66927,70.0,-0.97447,False
AMZN,call,mid,Mon-0DTE,09:30,ITM,100.0,95,36.842,185.0,107.5,247.5,365.0,0.66927,70.0,-0.97447,False
AMZN,call,market,Mon-0DTE,09:30,ITM,20.0,95,81.053,30.0,15.0,165.0,340.0,0.60381,70.0,-0.97547,False
AMZN,call,market,Mon-0DTE,09:30,ITM,25.0,95,74.737,45.0,20.0,175.0,345.0,0.60381,70.0,-0.97547,False
