symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
MSFT,call,mid,Mon-0DTE,09:30,ITM,20.0,105,65.714,15.0,5.0,80.0,270.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,25.0,105,62.857,25.0,10.0,91.25,270.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,30.0,105,58.095,35.0,10.0,125.0,270.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,40.0,105,55.238,47.5,21.25,166.25,260.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,50.0,105,51.429,57.5,40.0,187.5,260.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,60.0,105,46.667,80.0,45.0,195.0,250.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,70.0,105,44.762,110.0,55.0,202.5,250.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,75.0,105,42.857,140.0,55.0,205.0,250.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,80.0,105,40.0,102.5,55.0,198.75,235.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,90.0,105,38.095,145.0,60.0,201.25,220.0,0.51397,145.0,-0.98849,False
MSFT,call,mid,Mon-0DTE,09:30,ITM,100.0,105,35.238,155.0,65.0,210.0,210.0,0.51397,145.0,-0.98849,False
MSFT,call,market,Mon-0DTE,09:30,ITM,20.0,105,62.857,25.0,10.0,91.25,270.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,25.0,105,58.095,35.0,10.0,125.0,270.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,30.0,105,56.19,40.0,15.0,115.0,265.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,40.0,105,51.429,55.0,25.0,178.75,260.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,50.0,105,47.619,70.0,45.0,188.75,260.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,60.0,105,44.762,105.0,50.0,200.0,250.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,70.0,105,41.905,122.5,55.0,201.25,245.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,75.0,105,38.095,117.5,55.0,200.0,235.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,80.0,105,38.095,117.5,60.0,201.25,222.5,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,90.0,105,35.238,155.0,60.0,205.0,210.0,0.4546,145.0,-0.98894,False
MSFT,call,market,Mon-0DTE,09:30,ITM,100.0,105,32.381,167.5,71.25,210.0,207.5,0.4546,145.0,-0.98894,False
MSFT,call,mid,Mon-0DTE,10:00,ITM,20.0,103,77.67,25.0,10.0,60.0,210.0,0.66298,115.0,-0.98943,False
