symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
NVDA,call,mid,Fri-0DTE,09:30,ITM,20.0,834,38.369,28.5,9.75,68.75,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,25.0,834,33.453,39.0,13.0,93.5,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,30.0,834,27.938,51.0,17.0,118.0,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,40.0,834,21.223,61.0,20.0,150.0,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,50.0,834,17.386,78.0,33.0,225.0,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,60.0,834,13.789,78.0,42.5,177.0,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,70.0,834,11.031,97.0,52.25,229.5,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,75.0,834,9.952,96.0,52.5,236.0,364.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,80.0,834,8.513,92.0,52.5,243.0,369.0,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,90.0,834,6.715,93.0,55.0,244.25,365.5,0.13068,68.0,-0.20146,False
NVDA,call,mid,Fri-0DTE,09:30,ITM,100.0,834,5.635,92.0,62.0,240.0,366.0,0.13068,68.0,-0.20146,False
NVDA,call,market,Fri-0DTE,09:30,ITM,20.0,834,35.971,35.0,13.0,79.75,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,25.0,834,30.576,48.0,16.0,107.0,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,30.0,834,25.42,52.0,17.0,126.25,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,40.0,834,19.664,65.0,23.75,159.0,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,50.0,834,16.307,79.5,34.0,224.25,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,60.0,834,12.59,82.0,44.0,181.0,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,70.0,834,10.312,93.0,51.0,240.25,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,75.0,834,8.633,86.5,51.0,243.25,368.5,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,80.0,834,7.554,88.0,54.5,244.5,366.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,90.0,834,6.475,91.5,62.5,239.75,364.0,0.10829,68.0,-0.21727,False
NVDA,call,market,Fri-0DTE,09:30,ITM,100.0,834,4.676,104.0,65.0,179.0,368.0,0.10829,68.0,-0.21727,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,20.0,917,34.896,43.5,17.0,99.25,328.5,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,25.0,917,28.353,60.5,23.0,125.5,332.5,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,30.0,917,22.792,70.0,27.0,185.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,40.0,917,16.14,79.0,32.75,205.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,50.0,917,11.668,75.0,35.0,209.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,60.0,917,9.706,100.0,41.0,213.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,70.0,917,6.652,97.0,46.0,214.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,75.0,917,6.216,117.0,49.0,216.0,334.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,80.0,917,5.562,128.0,48.0,222.5,339.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,90.0,917,4.689,131.0,45.5,228.0,339.0,0.12618,79.0,-0.18509,False
NVDA,call,mid,Fri-0DTE,10:00,ITM,100.0,917,4.144,136.0,45.25,225.75,339.0,0.12618,79.0,-0.18509,False
NVDA,call,market,Fri-0DTE,10:00,ITM,20.0,917,30.862,54.0,21.0,109.5,331.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,25.0,917,24.755,65.0,26.0,145.0,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,30.0,917,20.284,74.0,31.0,177.25,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,40.0,917,14.722,82.0,34.5,209.0,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,50.0,917,10.796,77.0,35.5,209.5,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,60.0,917,8.506,98.5,46.25,214.0,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,70.0,917,6.325,113.5,48.5,215.0,334.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,75.0,917,5.889,129.0,49.0,226.75,335.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,80.0,917,4.798,128.5,43.75,224.5,339.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,90.0,917,4.362,132.5,44.75,220.5,339.0,0.10232,79.0,-0.20158,False
NVDA,call,market,Fri-0DTE,10:00,ITM,100.0,917,3.817,133.0,45.0,231.0,339.0,0.10232,79.0,-0.20158,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,20.0,868,35.714,37.5,16.25,85.5,303.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,25.0,868,29.839,41.0,20.0,103.0,303.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,30.0,868,24.539,46.0,23.0,105.0,304.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,40.0,868,19.009,51.0,27.0,155.0,299.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,50.0,868,13.94,57.0,31.0,120.0,304.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,60.0,868,10.599,83.5,33.75,172.0,302.5,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,70.0,868,7.949,95.0,36.0,173.0,286.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,75.0,868,7.373,99.0,38.75,190.0,274.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,80.0,868,5.991,105.5,39.25,190.25,291.5,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,90.0,868,4.839,109.0,43.25,201.75,281.0,0.12082,94.0,-0.14759,False
NVDA,call,mid,Fri-0DTE,10:30,ITM,100.0,868,4.147,121.0,61.5,192.5,278.5,0.12082,94.0,-0.14759,False
NVDA,call,market,Fri-0DTE,10:30,ITM,20.0,868,33.41,42.5,20.0,99.5,302.5,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,25.0,868,26.843,42.0,22.0,101.0,302.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,30.0,868,23.041,47.5,24.75,108.25,302.5,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,40.0,868,17.166,53.0,28.0,158.0,294.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,50.0,868,12.442,61.0,33.5,169.25,299.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,60.0,868,9.908,93.5,34.25,179.0,276.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,70.0,868,7.373,99.0,40.5,186.75,274.5,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,75.0,868,6.452,108.5,40.75,190.0,288.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,80.0,868,5.53,110.5,41.0,188.25,288.5,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,90.0,868,4.378,113.5,57.75,196.75,282.0,0.09756,94.0,-0.16593,False
NVDA,call,market,Fri-0DTE,10:30,ITM,100.0,868,3.802,129.0,64.0,199.0,277.0,0.09756,94.0,-0.16593,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,20.0,819,30.281,30.0,13.0,84.0,273.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,25.0,819,24.786,37.0,16.0,90.0,272.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,30.0,819,19.536,47.0,17.75,92.0,274.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,40.0,819,14.164,73.0,27.0,135.25,272.5,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,50.0,819,11.111,97.0,38.5,157.5,265.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,60.0,819,8.181,125.0,64.0,159.5,260.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,70.0,819,6.227,140.0,73.5,167.0,273.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,75.0,819,5.495,149.0,72.0,166.0,273.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,80.0,819,4.762,145.0,77.0,180.5,269.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,90.0,819,4.029,156.0,130.0,197.0,262.0,0.10563,79.0,-0.14569,False
NVDA,call,mid,Fri-0DTE,11:00,ITM,100.0,819,2.93,156.5,138.75,192.25,250.0,0.10563,79.0,-0.14569,False
NVDA,call,market,Fri-0DTE,11:00,ITM,20.0,819,27.106,33.0,15.0,91.75,273.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,25.0,819,21.612,45.0,17.0,91.0,274.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,30.0,819,17.582,54.0,18.75,92.75,274.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,40.0,819,12.576,73.0,28.5,146.0,269.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,50.0,819,9.402,100.0,38.0,158.0,265.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,60.0,819,7.204,130.0,65.5,166.5,272.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,70.0,819,5.495,140.0,72.0,163.0,274.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,75.0,819,5.006,145.0,74.0,177.0,269.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,80.0,819,4.518,153.0,95.0,194.0,269.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,90.0,819,3.541,165.0,135.0,197.0,248.0,0.0826,79.0,-0.16284,False
NVDA,call,market,Fri-0DTE,11:00,ITM,100.0,819,2.564,159.0,143.0,178.0,273.0,0.0826,79.0,-0.16284,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,20.0,774,25.969,50.0,27.0,116.0,220.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,25.0,774,20.284,62.0,29.0,124.0,224.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,30.0,774,16.796,92.5,38.5,128.5,197.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,40.0,774,10.336,104.0,42.0,138.25,213.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,50.0,774,7.494,116.5,64.5,148.75,227.5,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,60.0,774,5.426,119.0,82.25,143.75,233.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,70.0,774,3.618,125.5,112.25,156.75,209.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,75.0,774,2.713,128.0,119.0,149.0,236.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,80.0,774,2.326,129.0,111.0,164.0,225.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,90.0,774,1.68,147.0,129.0,184.0,239.0,0.09453,67.0,-0.14639,False
NVDA,call,mid,Fri-0DTE,11:30,ITM,100.0,774,1.292,175.5,164.75,185.75,240.0,0.09453,67.0,-0.14639,False
NVDA,call,market,Fri-0DTE,11:30,ITM,20.0,774,21.964,56.0,29.0,119.0,218.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,25.0,774,18.088,82.0,35.0,129.0,222.5,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,30.0,774,15.633,98.0,42.0,129.0,198.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,40.0,774,8.786,104.5,47.75,142.0,233.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,50.0,774,6.46,123.0,90.75,159.5,237.5,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,60.0,774,4.78,129.0,92.0,213.0,226.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,70.0,774,2.972,128.0,116.5,150.5,236.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,75.0,774,2.326,129.0,110.75,157.0,225.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,80.0,774,1.938,139.0,123.5,178.0,209.0,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,90.0,774,1.292,151.5,140.75,184.75,240.5,0.06905,67.0,-0.16329,False
NVDA,call,market,Fri-0DTE,11:30,ITM,100.0,774,0.775,185.5,170.75,189.0,255.5,0.06905,67.0,-0.16329,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,20.0,742,24.259,64.0,20.75,101.5,194.5,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,25.0,742,20.081,71.0,25.0,109.0,185.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,30.0,742,16.038,75.0,30.5,113.0,180.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,40.0,742,9.838,75.0,33.0,103.0,149.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,50.0,742,7.008,81.0,50.5,114.25,142.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,60.0,742,4.447,94.0,74.0,134.0,150.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,70.0,742,2.83,113.0,88.0,212.0,213.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,75.0,742,2.156,109.0,88.25,161.5,176.5,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,80.0,742,1.887,122.0,99.25,219.25,206.5,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,90.0,742,1.348,124.0,102.75,201.25,130.0,0.09176,78.5,-0.11661,False
NVDA,call,mid,Fri-0DTE,12:00,ITM,100.0,742,0.674,109.0,99.0,162.0,129.0,0.09176,78.5,-0.11661,False
NVDA,call,market,Fri-0DTE,12:00,ITM,20.0,742,21.294,68.0,23.25,102.75,189.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,25.0,742,17.655,74.0,28.5,108.5,178.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,30.0,742,14.42,76.0,29.5,116.5,169.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,40.0,742,8.625,75.0,36.25,100.0,146.5,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,50.0,742,5.93,89.0,50.5,114.0,143.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,60.0,742,3.774,108.5,88.0,174.0,161.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,70.0,742,2.426,116.0,94.75,212.0,174.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,75.0,742,1.752,114.0,99.0,214.0,195.0,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,80.0,742,1.617,126.0,104.5,198.75,163.5,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,90.0,742,1.078,115.0,101.0,175.75,128.5,0.06847,78.5,-0.13529,False
NVDA,call,market,Fri-0DTE,12:00,ITM,100.0,742,0.674,115.0,104.0,163.0,129.0,0.06847,78.5,-0.13529,False
NVDA,call,mid,Fri-0DTE,13:00,ITM,20.0,693,24.964,45.0,22.0,94.0,147.0,0.08667,59.0,-0.10501,False
