symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
ORCL,call,mid,Mon->Fri,09:30,ITM,20.0,101,65.347,30.0,20.0,185.0,365.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,25.0,101,57.426,30.0,25.0,185.0,360.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,30.0,101,53.465,35.0,25.0,188.75,355.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,40.0,101,44.554,45.0,35.0,230.0,350.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,50.0,101,39.604,60.0,43.75,237.5,350.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,60.0,101,29.703,75.0,65.0,248.75,365.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,70.0,101,26.733,80.0,72.5,190.0,335.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,75.0,101,25.743,102.5,76.25,146.25,317.5,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,80.0,101,21.782,85.0,75.0,133.75,320.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,90.0,101,19.802,87.5,80.0,136.25,295.0,0.35238,170.0,-0.39305,False
ORCL,call,mid,Mon->Fri,09:30,ITM,100.0,101,18.812,95.0,85.0,147.5,290.0,0.35238,170.0,-0.39305,False
ORCL,call,market,Mon->Fri,09:30,ITM,20.0,101,57.426,30.0,25.0,185.0,365.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,25.0,101,53.465,35.0,25.0,188.75,355.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,30.0,101,49.505,40.0,30.0,187.5,352.5,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,40.0,101,41.584,55.0,36.25,233.75,350.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,50.0,101,34.653,65.0,57.5,242.5,355.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,60.0,101,28.713,80.0,70.0,250.0,335.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,70.0,101,24.752,85.0,75.0,135.0,300.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,75.0,101,21.782,85.0,80.0,133.75,300.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,80.0,101,19.802,85.0,80.0,135.0,300.0,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,90.0,101,19.802,92.5,85.0,151.25,287.5,0.29934,170.0,-0.41685,False
ORCL,call,market,Mon->Fri,09:30,ITM,100.0,101,16.832,145.0,90.0,160.0,285.0,0.29934,170.0,-0.41685,False
ORCL,call,mid,Mon->Fri,10:00,ITM,20.0,140,65.0,50.0,25.0,125.0,335.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,25.0,140,61.429,55.0,35.0,143.75,335.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,30.0,140,55.0,80.0,45.0,140.0,325.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,40.0,140,42.857,87.5,53.75,136.25,315.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,50.0,140,40.714,105.0,55.0,150.0,310.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,60.0,140,36.429,135.0,65.0,172.5,305.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,70.0,140,30.714,145.0,92.5,202.5,305.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,75.0,140,27.857,150.0,130.0,207.5,300.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,80.0,140,25.0,155.0,135.0,202.5,300.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,90.0,140,20.714,160.0,140.0,210.0,295.0,0.32492,177.5,-0.37968,False
ORCL,call,mid,Mon->Fri,10:00,ITM,100.0,140,15.714,162.5,151.25,208.75,292.5,0.32492,177.5,-0.37968,False
ORCL,call,market,Mon->Fri,10:00,ITM,20.0,140,61.429,52.5,35.0,143.75,335.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,25.0,140,55.0,80.0,45.0,140.0,325.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,30.0,140,45.714,85.0,50.0,127.5,320.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,40.0,140,41.429,97.5,55.0,140.0,310.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,50.0,140,37.857,120.0,65.0,165.0,310.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,60.0,140,31.429,142.5,96.25,171.25,305.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,70.0,140,27.857,150.0,130.0,207.5,300.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,75.0,140,25.0,155.0,135.0,210.0,300.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,80.0,140,20.714,160.0,140.0,200.0,300.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,90.0,140,15.714,162.5,150.0,205.0,295.0,0.27297,177.5,-0.40401,False
ORCL,call,market,Mon->Fri,10:00,ITM,100.0,140,12.857,175.0,156.25,211.25,265.0,0.27297,177.5,-0.40401,False
ORCL,call,mid,Mon->Fri,10:30,ITM,20.0,113,68.142,70.0,25.0,75.0,285.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,25.0,113,68.142,75.0,30.0,115.0,270.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,30.0,113,67.257,80.0,35.0,131.25,250.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,40.0,113,54.867,95.0,40.0,136.25,272.5,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,50.0,113,43.363,110.0,95.0,155.0,275.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,60.0,113,31.858,117.5,110.0,171.25,277.5,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,70.0,113,26.549,125.0,116.25,163.75,280.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,75.0,113,26.549,130.0,120.0,168.75,275.0,0.45522,170.0,-0.15756,False
ORCL,call,mid,Mon->Fri,10:30,ITM,80.0,113,23.894,130.0,122.5,172.5,275.0,0.45522,170.0,-0.15756,False
