symbol,direction,fill_mode,regime,entry_bucket,moneyness,T_pct,n,hit_pct,first_hit_median,first_hit_q25,first_hit_q75,last_hold_median,mfe_pct_median,mfe_min_median,mae_pct_median,low_sample
TSLA,call,mid,Fri-0DTE,09:30,ITM,20.0,1002,69.96,11.0,5.0,32.0,364.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,25.0,1002,65.968,13.0,7.0,38.0,365.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,30.0,1002,62.176,16.0,8.0,43.0,367.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,40.0,1002,55.489,22.0,11.75,52.0,366.5,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,50.0,1002,49.8,31.0,16.0,60.0,365.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,60.0,1002,44.91,41.5,20.0,71.0,365.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,70.0,1002,41.118,52.0,25.0,89.25,364.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,75.0,1002,38.224,53.0,26.0,89.0,365.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,80.0,1002,36.228,57.0,30.0,94.0,364.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,90.0,1002,32.036,62.0,34.0,101.0,364.0,0.49172,91.0,-0.47261,False
TSLA,call,mid,Fri-0DTE,09:30,ITM,100.0,1002,28.842,67.0,37.0,104.0,364.0,0.49172,91.0,-0.47261,False
TSLA,call,market,Fri-0DTE,09:30,ITM,20.0,1002,67.764,12.0,6.0,35.0,365.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,25.0,1002,64.072,14.0,8.0,41.0,366.5,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,30.0,1002,59.481,17.0,9.0,46.0,368.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,40.0,1002,54.192,25.0,12.0,54.5,365.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,50.0,1002,47.904,36.0,17.0,64.0,367.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,60.0,1002,43.513,47.0,21.75,77.25,364.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,70.0,1002,38.922,52.0,26.0,88.75,364.5,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,75.0,1002,36.926,53.0,27.25,93.0,364.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,80.0,1002,35.03,59.0,31.0,97.0,364.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,90.0,1002,30.439,63.0,37.0,102.0,364.0,0.46172,91.0,-0.48377,False
TSLA,call,market,Fri-0DTE,09:30,ITM,100.0,1002,27.246,68.0,37.0,107.0,364.0,0.46172,91.0,-0.48377,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,20.0,1170,74.359,19.0,7.0,49.0,335.0,0.46608,98.0,-0.38226,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,25.0,1170,68.632,24.0,10.0,59.0,335.0,0.46608,98.0,-0.38226,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,30.0,1170,64.017,28.0,13.0,70.0,334.0,0.46608,98.0,-0.38226,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,40.0,1170,54.701,38.0,20.0,83.25,334.0,0.46608,98.0,-0.38226,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,50.0,1170,46.923,47.0,23.0,97.0,329.0,0.46608,98.0,-0.38226,False
TSLA,call,mid,Fri-0DTE,10:00,ITM,60.0,1170,39.829,56.0,26.0,101.75,319.0,0.46608,98.0,-0.38226,False
