symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AAPL,call,ITM,mid,20.0,489,221,2.213,0.5869,0.2,-0.28057,0.00148,0.00328,0.72564,False
AAPL,call,ITM,mid,25.0,431,221,1.95,0.529,0.25,-0.27978,0.00048,0.00093,0.20504,False
AAPL,call,ITM,mid,30.0,393,221,1.778,0.4631,0.3,-0.25699,0.00095,0.00169,0.37425,False
AAPL,call,ITM,mid,40.0,335,221,1.516,0.3612,0.4,-0.20851,0.01128,0.0171,3.77825,False
AAPL,call,ITM,mid,50.0,302,221,1.367,0.2848,0.5,-0.16955,0.02112,0.02886,6.37781,False
AAPL,call,ITM,mid,60.0,291,221,1.317,0.2509,0.6,-0.15829,0.03194,0.04205,9.29314,False
AAPL,call,ITM,mid,70.0,273,221,1.235,0.2088,0.7,-0.14714,0.02973,0.03673,8.11761,False
AAPL,call,ITM,mid,75.0,266,221,1.204,0.1767,0.75,-0.12357,0.03078,0.03705,8.18865,False
AAPL,call,ITM,mid,80.0,264,221,1.195,0.1742,0.8,-0.12842,0.03335,0.03984,8.80489,False
AAPL,call,ITM,mid,90.0,251,221,1.136,0.1235,0.9,-0.09397,0.02879,0.0327,7.22653,False
AAPL,call,ITM,mid,100.0,246,221,1.113,0.1098,1.0,-0.07866,0.03973,0.04423,9.7741,False
AAPL,call,ITM,market,20.0,460,221,2.081,0.563,0.2,-0.30724,-0.02164,-0.04504,-9.95456,False
AAPL,call,ITM,market,25.0,398,221,1.801,0.4724,0.25,-0.28453,-0.03204,-0.0577,-12.75186,False
AAPL,call,ITM,market,30.0,366,221,1.656,0.429,0.3,-0.25978,-0.01966,-0.03255,-7.19414,False
AAPL,call,ITM,market,40.0,320,221,1.448,0.3312,0.4,-0.22687,-0.01922,-0.02783,-6.15055,False
AAPL,call,ITM,market,50.0,301,221,1.362,0.2791,0.5,-0.19234,0.00087,0.00118,0.26157,False
AAPL,call,ITM,market,60.0,286,221,1.294,0.2413,0.6,-0.16921,0.01637,0.02119,4.68214,False
AAPL,call,ITM,market,70.0,265,221,1.199,0.1849,0.7,-0.16077,-0.00161,-0.00193,-0.42738,False
AAPL,call,ITM,market,75.0,266,221,1.204,0.1805,0.75,-0.15495,0.00835,0.01005,2.22157,False
AAPL,call,ITM,market,80.0,258,221,1.167,0.1628,0.8,-0.14245,0.01098,0.01281,2.83164,False
AAPL,call,ITM,market,90.0,249,221,1.127,0.1205,0.9,-0.10639,0.01486,0.01674,3.70001,False
AAPL,call,ITM,market,100.0,239,221,1.081,0.0879,1.0,-0.08382,0.01141,0.01234,2.72749,False
AAPL,call,ATM,mid,20.0,530,221,2.398,0.6679,0.2,-0.49922,-0.0322,-0.07721,-17.06359,False
AAPL,call,ATM,mid,25.0,518,221,2.344,0.6602,0.25,-0.50653,-0.00704,-0.01651,-3.64911,False
AAPL,call,ATM,mid,30.0,489,221,2.213,0.6176,0.3,-0.52612,-0.01592,-0.03523,-7.78521,False
AAPL,call,ATM,mid,40.0,417,221,1.887,0.53,0.4,-0.48043,-0.01382,-0.02608,-5.76381,False
AAPL,call,ATM,mid,50.0,390,221,1.765,0.4949,0.5,-0.47137,0.00934,0.01647,3.64093,False
AAPL,call,ATM,mid,60.0,337,221,1.525,0.4065,0.6,-0.42378,-0.00758,-0.01156,-2.55558,False
AAPL,call,ATM,mid,70.0,320,221,1.448,0.3688,0.7,-0.39793,0.00693,0.01004,2.21875,False
AAPL,call,ATM,mid,75.0,332,221,1.502,0.3795,0.75,-0.39034,0.04244,0.06375,14.08959,False
AAPL,call,ATM,mid,80.0,320,221,1.448,0.3594,0.8,-0.38584,0.04032,0.05838,12.90218,False
AAPL,call,ATM,mid,90.0,297,221,1.344,0.303,0.9,-0.33044,0.04242,0.05701,12.59905,False
AAPL,call,ATM,mid,100.0,283,221,1.281,0.2721,1.0,-0.3458,0.02037,0.02609,5.76509,False
AAPL,call,ATM,market,20.0,509,221,2.303,0.6248,0.2,-0.5822,-0.09352,-0.21538,-47.5995,False
AAPL,call,ATM,market,25.0,470,221,2.127,0.583,0.25,-0.57991,-0.09609,-0.20435,-45.16242,False
AAPL,call,ATM,market,30.0,441,221,1.995,0.5465,0.3,-0.55783,-0.08904,-0.17767,-39.26513,False
AAPL,call,ATM,market,40.0,393,221,1.778,0.4885,0.4,-0.54452,-0.08308,-0.14773,-32.64904,False
AAPL,call,ATM,market,50.0,361,221,1.633,0.4321,0.5,-0.50843,-0.07265,-0.11868,-26.22845,False
AAPL,call,ATM,market,60.0,347,221,1.57,0.4063,0.6,-0.47019,-0.03533,-0.05548,-12.26003,False
AAPL,call,ATM,market,70.0,328,221,1.484,0.3659,0.7,-0.46552,-0.03911,-0.05805,-12.82858,False
AAPL,call,ATM,market,75.0,313,221,1.416,0.3387,0.75,-0.44056,-0.03737,-0.05293,-11.69676,False
AAPL,call,ATM,market,80.0,305,221,1.38,0.3082,0.8,-0.44531,-0.06151,-0.08489,-18.76063,False
AAPL,call,ATM,market,90.0,295,221,1.335,0.2814,0.9,-0.43893,-0.06222,-0.08305,-18.35398,False
AAPL,call,ATM,market,100.0,281,221,1.271,0.2491,1.0,-0.42468,-0.06978,-0.08872,-19.60757,False
AAPL,call,OTM1,mid,20.0,568,221,2.57,0.6514,0.2,-0.49444,-0.04207,-0.10814,-23.89834,False
AAPL,call,OTM1,mid,25.0,537,221,2.43,0.622,0.25,-0.50821,-0.03662,-0.08899,-19.6671,False
AAPL,call,OTM1,mid,30.0,501,221,2.267,0.5948,0.3,-0.53263,-0.03737,-0.08472,-18.72404,False
AAPL,call,OTM1,mid,40.0,457,221,2.068,0.5492,0.4,-0.53109,-0.0197,-0.04075,-9.00511,False
AAPL,call,OTM1,mid,50.0,413,221,1.869,0.4915,0.5,-0.51269,-0.01493,-0.0279,-6.16513,False
