date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-16,AAPL,call,ITM,mid,20.0,10:00,15:45,target,0.2
2026-02-17,AAPL,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-02-17,AAPL,call,ITM,mid,20.0,11:00,13:05,target,0.2
2026-02-17,AAPL,call,ITM,mid,20.0,13:30,16:00,forced,-0.36876
2026-02-18,AAPL,call,ITM,mid,20.0,10:00,10:30,target,0.2
2026-02-18,AAPL,call,ITM,mid,20.0,11:00,12:30,target,0.2
2026-02-18,AAPL,call,ITM,mid,20.0,12:30,12:40,target,0.2
2026-02-18,AAPL,call,ITM,mid,20.0,13:30,14:00,target,0.2
2026-02-18,AAPL,call,ITM,mid,20.0,14:00,14:30,target,0.2
2026-02-18,AAPL,call,ITM,mid,20.0,14:30,16:00,forced,-0.6747
2026-02-19,AAPL,call,ITM,mid,20.0,10:00,12:20,target,0.2
2026-02-19,AAPL,call,ITM,mid,20.0,12:30,12:55,target,0.2
2026-02-19,AAPL,call,ITM,mid,20.0,13:30,13:50,target,0.2
2026-02-19,AAPL,call,ITM,mid,20.0,14:00,14:25,target,0.2
2026-02-19,AAPL,call,ITM,mid,20.0,14:30,16:00,forced,-0.20815
2026-02-20,AAPL,call,ITM,mid,20.0,10:00,10:15,target,0.2
2026-02-20,AAPL,call,ITM,mid,20.0,11:00,11:05,target,0.2
2026-02-20,AAPL,call,ITM,mid,20.0,11:30,11:40,target,0.2
2026-02-20,AAPL,call,ITM,mid,20.0,12:00,16:00,forced,-0.98278
2026-02-23,AAPL,call,ITM,mid,20.0,10:00,10:15,target,0.2
2026-02-23,AAPL,call,ITM,mid,20.0,11:00,11:10,target,0.2
2026-02-23,AAPL,call,ITM,mid,20.0,11:30,13:05,target,0.2
2026-02-23,AAPL,call,ITM,mid,20.0,13:30,14:15,target,0.2
2026-02-23,AAPL,call,ITM,mid,20.0,14:30,16:00,forced,-0.98343
2026-02-24,AAPL,call,ITM,mid,20.0,10:00,10:35,target,0.2
2026-02-24,AAPL,call,ITM,mid,20.0,11:00,16:00,forced,-0.96228
2026-02-25,AAPL,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-02-25,AAPL,call,ITM,mid,20.0,11:00,16:00,forced,-0.98796
2026-02-26,AAPL,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-02-26,AAPL,call,ITM,mid,20.0,11:00,11:30,target,0.2
2026-02-26,AAPL,call,ITM,mid,20.0,11:30,11:45,target,0.2
