date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2025-07-11,AAPL,call,ITM,mid,20.0,09:35,10:11,36.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,20.0,10:15,10:22,7.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,20.0,11:10,14:07,177.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,25.0,09:35,10:22,47.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,25.0,11:10,14:08,178.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,30.0,09:35,10:22,47.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,30.0,11:15,14:08,173.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,40.0,09:40,10:07,27.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,50.0,09:40,10:11,31.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,60.0,09:40,10:24,44.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,70.0,09:45,10:22,37.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,mid,75.0,09:45,10:24,39.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,20.0,09:35,10:21,46.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,20.0,11:10,14:08,178.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,25.0,09:35,10:22,47.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,25.0,11:15,14:08,173.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,30.0,09:35,10:24,49.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,40.0,09:40,10:10,30.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,50.0,09:40,10:22,42.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,60.0,09:45,10:22,37.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ITM,market,70.0,09:45,10:24,39.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,09:35,10:07,32.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,10:10,10:21,11.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,10:55,14:07,192.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,14:30,14:33,3.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,15:05,15:09,4.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,20.0,15:10,15:24,14.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,25.0,09:35,10:07,32.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,25.0,10:10,10:22,12.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,25.0,10:55,14:07,192.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,25.0,14:30,14:33,3.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,25.0,15:05,15:09,4.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,30.0,09:35,10:10,35.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,30.0,10:10,10:23,13.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,30.0,10:55,14:07,192.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,30.0,14:30,14:33,3.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,30.0,15:05,15:18,13.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,40.0,09:35,10:21,46.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,40.0,11:10,13:07,117.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,40.0,14:00,14:07,7.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,40.0,14:30,14:33,3.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,40.0,15:05,15:21,16.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,50.0,09:35,10:22,47.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,50.0,11:10,14:07,177.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,50.0,15:05,15:24,19.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,60.0,09:35,10:24,49.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,60.0,11:10,14:07,177.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,70.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,70.0,11:50,14:07,137.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,75.0,09:40,10:07,27.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,75.0,11:50,14:07,137.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,80.0,09:40,10:07,27.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,80.0,11:50,14:07,137.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,90.0,09:40,10:07,27.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,90.0,12:40,14:07,87.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,mid,100.0,09:40,10:10,30.0,OPPORTUNITY/HINDSIGHT
2025-07-11,AAPL,call,ATM,market,20.0,09:35,10:10,35.0,OPPORTUNITY/HINDSIGHT
