symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AMD,call,ITM,mid,20.0,429,219,1.959,0.5175,0.2,-0.24039,-0.0125,-0.02448,-5.3608,False
AMD,call,ITM,mid,25.0,392,219,1.79,0.4592,0.25,-0.22309,-0.00585,-0.01048,-2.29481,False
AMD,call,ITM,mid,30.0,359,219,1.639,0.4067,0.3,-0.22226,-0.00987,-0.01617,-3.54159,False
AMD,call,ITM,mid,40.0,314,219,1.434,0.3248,0.4,-0.20082,-0.00565,-0.0081,-1.77449,False
AMD,call,ITM,mid,50.0,286,219,1.306,0.2413,0.5,-0.15751,0.00112,0.00146,0.31927,False
AMD,call,ITM,mid,60.0,267,219,1.219,0.1873,0.6,-0.14979,-0.00938,-0.01143,-2.50343,False
AMD,call,ITM,mid,70.0,252,219,1.151,0.1349,0.7,-0.12237,-0.01141,-0.01313,-2.87602,False
AMD,call,ITM,mid,75.0,249,219,1.137,0.1165,0.75,-0.12229,-0.0207,-0.02354,-5.15436,False
AMD,call,ITM,mid,80.0,250,219,1.142,0.128,0.8,-0.13198,-0.01268,-0.01448,-3.17081,False
AMD,call,ITM,mid,90.0,248,219,1.132,0.1169,0.9,-0.12674,-0.00668,-0.00756,-1.65579,False
AMD,call,ITM,mid,100.0,238,219,1.087,0.0756,1.0,-0.09644,-0.01351,-0.01469,-3.21612,False
AMD,call,ITM,market,20.0,404,219,1.845,0.4851,0.2,-0.25235,-0.03289,-0.06068,-13.28946,False
AMD,call,ITM,market,25.0,377,219,1.721,0.4377,0.25,-0.24472,-0.0282,-0.04854,-10.63081,False
AMD,call,ITM,market,30.0,352,219,1.607,0.392,0.3,-0.22911,-0.02168,-0.03484,-7.63044,False
AMD,call,ITM,market,40.0,310,219,1.416,0.3129,0.4,-0.20353,-0.01469,-0.02079,-4.55273,False
AMD,call,ITM,market,50.0,277,219,1.265,0.213,0.5,-0.16798,-0.02571,-0.03251,-7.1203,False
AMD,call,ITM,market,60.0,262,219,1.196,0.1679,0.6,-0.15894,-0.03149,-0.03767,-8.24932,False
AMD,call,ITM,market,70.0,251,219,1.146,0.1235,0.7,-0.13221,-0.02943,-0.03373,-7.38697,False
AMD,call,ITM,market,75.0,247,219,1.128,0.1174,0.75,-0.14583,-0.04065,-0.04585,-10.04024,False
AMD,call,ITM,market,80.0,248,219,1.132,0.121,0.8,-0.15719,-0.0414,-0.04688,-10.26751,False
AMD,call,ITM,market,90.0,241,219,1.1,0.0913,0.9,-0.13365,-0.03929,-0.04324,-9.46856,False
AMD,call,ITM,market,100.0,234,219,1.068,0.0641,1.0,-0.10564,-0.03477,-0.03715,-8.13552,False
AMD,call,ATM,mid,20.0,487,220,2.214,0.6407,0.2,-0.39015,-0.01207,-0.02671,-5.87606,False
AMD,call,ATM,mid,25.0,445,220,2.023,0.573,0.25,-0.36873,-0.01418,-0.02868,-6.30924,False
AMD,call,ATM,mid,30.0,416,220,1.891,0.5337,0.3,-0.36123,-0.00836,-0.01581,-3.47821,False
AMD,call,ATM,mid,40.0,365,220,1.659,0.4603,0.4,-0.32351,0.0095,0.01577,3.46836,False
AMD,call,ATM,mid,50.0,329,220,1.495,0.4043,0.5,-0.32766,0.00692,0.01035,2.27804,False
AMD,call,ATM,mid,60.0,295,220,1.341,0.322,0.6,-0.29379,-0.00596,-0.00799,-1.75746,False
AMD,call,ATM,mid,70.0,275,220,1.25,0.2545,0.7,-0.28637,-0.03529,-0.04412,-9.70547,False
AMD,call,ATM,mid,75.0,271,220,1.232,0.2362,0.75,-0.27703,-0.03448,-0.04248,-9.34518,False
AMD,call,ATM,mid,80.0,271,220,1.232,0.2325,0.8,-0.27174,-0.02259,-0.02783,-6.122,False
AMD,call,ATM,mid,90.0,257,220,1.168,0.1829,0.9,-0.23399,-0.02661,-0.03109,-6.8389,False
AMD,call,ATM,mid,100.0,250,220,1.136,0.16,1.0,-0.21577,-0.02125,-0.02415,-5.31202,False
AMD,call,ATM,market,20.0,443,220,2.014,0.5711,0.2,-0.41187,-0.06243,-0.12571,-27.65569,False
