date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2025-08-22,AMD,call,ITM,mid,20.0,09:35,09:49,target,0.2
2025-08-22,AMD,call,ITM,mid,20.0,10:00,10:10,target,0.2
2025-08-22,AMD,call,ITM,mid,20.0,11:00,11:03,target,0.2
2025-08-22,AMD,call,ITM,mid,20.0,11:30,15:59,forced,-0.02733
2025-08-25,AMD,call,ITM,mid,20.0,09:35,15:59,forced,-0.07407
2025-08-26,AMD,call,ITM,mid,20.0,09:35,15:59,forced,-0.07101
2025-08-27,AMD,call,ITM,mid,20.0,09:35,12:54,target,0.2
2025-08-27,AMD,call,ITM,mid,20.0,14:00,15:51,forced,0.04156
2025-08-28,AMD,call,ITM,mid,20.0,09:35,15:58,forced,-0.00559
2025-08-29,AMD,call,ITM,mid,20.0,09:35,15:59,forced,-0.64276
2025-09-02,AMD,call,ITM,mid,20.0,09:35,09:48,target,0.2
2025-09-02,AMD,call,ITM,mid,20.0,10:00,15:59,forced,0.04487
2025-09-03,AMD,call,ITM,mid,20.0,09:35,15:59,forced,0.01745
2025-09-04,AMD,call,ITM,mid,20.0,10:00,13:40,target,0.2
2025-09-04,AMD,call,ITM,mid,20.0,15:00,15:50,forced,0.07207
2025-09-05,AMD,call,ITM,mid,20.0,09:35,09:48,target,0.2
2025-09-05,AMD,call,ITM,mid,20.0,10:00,15:50,forced,-0.17736
2025-09-08,AMD,call,ITM,mid,20.0,10:00,10:31,target,0.2
2025-09-08,AMD,call,ITM,mid,20.0,12:00,15:55,forced,0.00694
2025-09-09,AMD,call,ITM,mid,20.0,09:35,14:04,target,0.2
2025-09-09,AMD,call,ITM,mid,20.0,15:00,15:59,forced,0.07201
2025-09-10,AMD,call,ITM,mid,20.0,09:35,15:59,forced,-0.19428
2025-09-11,AMD,call,ITM,mid,20.0,09:35,15:59,forced,-0.57816
2025-09-12,AMD,call,ITM,mid,20.0,11:00,12:09,target,0.2
2025-09-12,AMD,call,ITM,mid,20.0,12:30,15:59,forced,-0.30435
2025-09-15,AMD,call,ITM,mid,20.0,09:35,11:16,target,0.2
2025-09-15,AMD,call,ITM,mid,20.0,11:30,15:59,forced,0.10448
2025-09-16,AMD,call,ITM,mid,20.0,09:35,15:55,forced,0.05556
2025-09-17,AMD,call,ITM,mid,20.0,09:35,09:46,target,0.2
2025-09-17,AMD,call,ITM,mid,20.0,11:00,15:55,forced,0.05319
2025-09-18,AMD,call,ITM,mid,20.0,09:35,11:18,target,0.2
2025-09-18,AMD,call,ITM,mid,20.0,11:30,13:22,target,0.2
2025-09-18,AMD,call,ITM,mid,20.0,14:00,14:26,target,0.2
2025-09-18,AMD,call,ITM,mid,20.0,14:30,15:59,forced,-0.02667
2025-09-19,AMD,call,ITM,mid,20.0,09:35,10:28,target,0.2
2025-09-19,AMD,call,ITM,mid,20.0,11:00,15:59,forced,-0.24242
2025-09-22,AMD,call,ITM,mid,20.0,09:35,12:10,target,0.2
2025-09-22,AMD,call,ITM,mid,20.0,12:30,12:57,target,0.2
2025-09-22,AMD,call,ITM,mid,20.0,15:30,15:59,forced,-0.04511
2025-09-23,AMD,call,ITM,mid,20.0,09:35,15:58,forced,-0.12579
