date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2026-01-05,AMD,call,ITM,mid,20.0,10:35,15:50,315.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,mid,25.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,mid,30.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,mid,40.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,mid,50.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,mid,60.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,20.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,25.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,30.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,40.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,50.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ITM,market,60.0,13:35,15:50,135.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,20.0,10:35,15:50,315.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,25.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,30.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,40.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,50.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,60.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,70.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,75.0,11:20,15:50,270.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,80.0,11:20,15:50,270.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,90.0,11:20,15:50,270.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,mid,100.0,12:30,15:50,200.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,market,20.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,market,25.0,10:45,15:50,305.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,market,30.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,market,40.0,10:55,15:50,295.0,OPPORTUNITY/HINDSIGHT
2026-01-05,AMD,call,ATM,market,50.0,11:00,15:50,290.0,OPPORTUNITY/HINDSIGHT
