symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AMZN,call,ITM,mid,20.0,63,20,3.15,0.7302,0.2,-0.74772,-0.05573,-0.17556,-3.51123,False
AMZN,call,ITM,mid,25.0,65,20,3.25,0.7385,0.25,-0.7485,-0.01115,-0.03623,-0.72455,False
AMZN,call,ITM,mid,30.0,62,20,3.1,0.7097,0.3,-0.69699,0.01055,0.03271,0.65419,False
AMZN,call,ITM,mid,40.0,54,20,2.7,0.7037,0.4,-0.80302,0.04355,0.11759,2.3517,False
AMZN,call,ITM,mid,50.0,53,20,2.65,0.6792,0.5,-0.70472,0.11358,0.30099,6.01974,False
AMZN,call,ITM,mid,60.0,48,20,2.4,0.6042,0.6,-0.5953,0.12686,0.30446,6.0893,False
AMZN,call,ITM,mid,70.0,42,20,2.1,0.5476,0.7,-0.61528,0.10499,0.22048,4.40961,False
AMZN,call,ITM,mid,75.0,40,20,2.0,0.55,0.75,-0.65829,0.11627,0.23254,4.65084,False
AMZN,call,ITM,mid,80.0,37,20,1.85,0.5135,0.8,-0.63724,0.1008,0.18648,3.72969,False
AMZN,call,ITM,mid,90.0,35,20,1.75,0.4857,0.9,-0.60435,0.12634,0.22109,4.42173,False
AMZN,call,ITM,mid,100.0,34,20,1.7,0.4412,1.0,-0.54152,0.13856,0.23556,4.71111,False
AMZN,call,ITM,market,20.0,65,20,3.25,0.7385,0.2,-0.75836,-0.05065,-0.16461,-3.2922,False
AMZN,call,ITM,market,25.0,62,20,3.1,0.7097,0.25,-0.70887,-0.02838,-0.08798,-1.75969,False
AMZN,call,ITM,market,30.0,58,20,2.9,0.7069,0.3,-0.76113,-0.01102,-0.03196,-0.63926,False
AMZN,call,ITM,market,40.0,50,20,2.5,0.68,0.4,-0.80851,0.01328,0.03319,0.66386,False
AMZN,call,ITM,market,50.0,47,20,2.35,0.5957,0.5,-0.60971,0.05139,0.12078,2.41555,False
AMZN,call,ITM,market,60.0,44,20,2.2,0.5682,0.6,-0.63037,0.0687,0.15115,3.02297,False
AMZN,call,ITM,market,70.0,38,20,1.9,0.5526,0.7,-0.75109,0.05083,0.09657,1.9315,False
AMZN,call,ITM,market,75.0,37,20,1.85,0.5135,0.75,-0.65147,0.06821,0.12618,2.52362,False
AMZN,call,ITM,market,80.0,36,20,1.8,0.5,0.8,-0.61986,0.09007,0.16212,3.24244,False
AMZN,call,ITM,market,90.0,36,20,1.8,0.5,0.9,-0.62615,0.13693,0.24647,4.92935,False
AMZN,call,ITM,market,100.0,32,20,1.6,0.4062,1.0,-0.5292,0.09204,0.14726,2.94514,False
AMZN,call,ATM,mid,20.0,53,20,2.65,0.7358,0.2,-0.90796,-0.09267,-0.24557,-4.91138,False
AMZN,call,ATM,mid,25.0,57,20,2.85,0.7544,0.25,-0.83279,-0.01595,-0.04545,-0.909,False
AMZN,call,ATM,mid,30.0,56,20,2.8,0.75,0.3,-0.90796,-0.00199,-0.00557,-0.11138,False
AMZN,call,ATM,mid,40.0,52,20,2.6,0.75,0.4,-0.90619,0.07345,0.19098,3.81951,False
AMZN,call,ATM,mid,50.0,49,20,2.45,0.7143,0.5,-0.88273,0.10493,0.25709,5.1418,False
AMZN,call,ATM,mid,60.0,48,20,2.4,0.7083,0.6,-0.80825,0.18926,0.45423,9.08451,False
AMZN,call,ATM,mid,70.0,42,20,2.1,0.6667,0.7,-0.87407,0.17531,0.36815,7.36297,False
AMZN,call,ATM,mid,75.0,43,20,2.15,0.6744,0.75,-0.8765,0.22044,0.47395,9.47893,False
AMZN,call,ATM,mid,80.0,45,20,2.25,0.6889,0.8,-0.84583,0.28796,0.64792,12.95833,False
AMZN,call,ATM,mid,90.0,45,20,2.25,0.6889,0.9,-0.84583,0.35685,0.80292,16.05833,False
AMZN,call,ATM,mid,100.0,44,20,2.2,0.6818,1.0,-0.84583,0.41269,0.90792,18.15833,False
AMZN,call,ATM,market,20.0,57,20,2.85,0.7544,0.2,-0.83934,-0.05528,-0.15754,-3.15083,False
AMZN,call,ATM,market,25.0,56,20,2.8,0.75,0.25,-0.91157,-0.04039,-0.1131,-2.26194,False
AMZN,call,ATM,market,30.0,56,20,2.8,0.75,0.3,-0.91157,-0.00289,-0.0081,-0.16194,False
AMZN,call,ATM,market,40.0,52,20,2.6,0.7308,0.4,-0.90214,0.04943,0.12851,2.5701,False
AMZN,call,ATM,market,50.0,48,20,2.4,0.7083,0.5,-0.81577,0.11623,0.27896,5.57916,False
AMZN,call,ATM,market,60.0,45,20,2.25,0.6889,0.6,-0.86581,0.14397,0.32393,6.47864,False
AMZN,call,ATM,market,70.0,43,20,2.15,0.6744,0.7,-0.88135,0.18514,0.39806,7.96112,False
AMZN,call,ATM,market,75.0,43,20,2.15,0.6744,0.75,-0.88135,0.21886,0.47056,9.41112,False
