symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
GOOGL,call,ITM,mid,20.0,73,20,3.65,0.7808,0.2,-0.5779,0.0295,0.10768,2.15362,False
GOOGL,call,ITM,mid,25.0,62,20,3.1,0.7258,0.25,-0.52755,0.0368,0.11408,2.28163,False
GOOGL,call,ITM,mid,30.0,57,20,2.85,0.7193,0.3,-0.63688,0.03702,0.1055,2.10998,False
GOOGL,call,ITM,mid,40.0,48,20,2.4,0.625,0.4,-0.5176,0.0559,0.13416,2.68327,False
GOOGL,call,ITM,mid,50.0,44,20,2.2,0.5682,0.5,-0.4077,0.10804,0.23769,4.75373,False
GOOGL,call,ITM,mid,60.0,41,20,2.05,0.5366,0.6,-0.41719,0.12862,0.26367,5.27348,False
GOOGL,call,ITM,mid,70.0,39,20,1.95,0.5128,0.7,-0.43158,0.14872,0.29,5.80004,False
GOOGL,call,ITM,mid,75.0,38,20,1.9,0.5,0.75,-0.44403,0.15298,0.29067,5.81334,False
GOOGL,call,ITM,mid,80.0,38,20,1.9,0.5,0.8,-0.45305,0.17348,0.32961,6.59212,False
GOOGL,call,ITM,mid,90.0,38,20,1.9,0.4737,0.9,-0.42267,0.20386,0.38733,7.74655,False
GOOGL,call,ITM,mid,100.0,37,20,1.85,0.4595,1.0,-0.43016,0.22694,0.41984,8.39673,False
GOOGL,call,ITM,market,20.0,62,20,3.1,0.7258,0.2,-0.54608,-0.00457,-0.01417,-0.28333,False
GOOGL,call,ITM,market,25.0,57,20,2.85,0.7193,0.25,-0.65112,-0.00294,-0.00839,-0.16786,False
GOOGL,call,ITM,market,30.0,52,20,2.6,0.6923,0.3,-0.62032,0.01683,0.04375,0.87495,False
GOOGL,call,ITM,market,40.0,47,20,2.35,0.6383,0.4,-0.54751,0.05729,0.13462,2.6924,False
GOOGL,call,ITM,market,50.0,41,20,2.05,0.5366,0.5,-0.43025,0.06891,0.14127,2.82533,False
GOOGL,call,ITM,market,60.0,41,20,2.05,0.5366,0.6,-0.42811,0.12356,0.2533,5.06593,False
GOOGL,call,ITM,market,70.0,38,20,1.9,0.5,0.7,-0.46584,0.11708,0.22245,4.44908,False
GOOGL,call,ITM,market,75.0,38,20,1.9,0.5,0.75,-0.4745,0.13775,0.26173,5.23459,False
GOOGL,call,ITM,market,80.0,38,20,1.9,0.4737,0.8,-0.44531,0.14457,0.27469,5.49373,False
GOOGL,call,ITM,market,90.0,37,20,1.85,0.4595,0.9,-0.45251,0.16891,0.31249,6.24979,False
GOOGL,call,ITM,market,100.0,33,20,1.65,0.4545,1.0,-0.49342,0.18541,0.30592,6.11838,False
GOOGL,call,ATM,mid,20.0,59,20,2.95,0.8305,0.2,-0.80295,0.03001,0.08852,1.77045,False
GOOGL,call,ATM,mid,25.0,61,20,3.05,0.8197,0.25,-0.76766,0.06649,0.20279,4.05579,False
GOOGL,call,ATM,mid,30.0,57,20,2.85,0.8421,0.3,-0.73615,0.1364,0.38873,7.77462,False
GOOGL,call,ATM,mid,40.0,54,20,2.7,0.7778,0.4,-0.76356,0.14143,0.38186,7.63722,False
GOOGL,call,ATM,mid,50.0,51,20,2.55,0.7843,0.5,-0.70284,0.24056,0.61344,12.26874,False
GOOGL,call,ATM,mid,60.0,50,20,2.5,0.78,0.6,-0.70504,0.31289,0.78223,15.64455,False
GOOGL,call,ATM,mid,70.0,46,20,2.3,0.7174,0.7,-0.66252,0.31494,0.72436,14.48721,False
GOOGL,call,ATM,mid,75.0,46,20,2.3,0.7174,0.75,-0.661,0.35124,0.80785,16.15694,False
GOOGL,call,ATM,mid,80.0,47,20,2.35,0.7021,0.8,-0.55825,0.39542,0.92923,18.58451,False
