date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-16,GOOGL,call,ITM,mid,20.0,09:35,09:55,target,0.2
2026-02-16,GOOGL,call,ITM,mid,20.0,10:00,14:30,target,0.2
2026-02-16,GOOGL,call,ITM,mid,20.0,14:30,15:05,target,0.2
2026-02-16,GOOGL,call,ITM,mid,20.0,15:30,16:00,forced,-0.38269
2026-02-17,GOOGL,call,ITM,mid,20.0,09:35,13:10,target,0.2
2026-02-17,GOOGL,call,ITM,mid,20.0,13:30,13:45,target,0.2
2026-02-17,GOOGL,call,ITM,mid,20.0,14:30,15:30,target,0.2
2026-02-17,GOOGL,call,ITM,mid,20.0,15:30,16:00,forced,0.04266
2026-02-18,GOOGL,call,ITM,mid,20.0,09:35,09:45,target,0.2
2026-02-18,GOOGL,call,ITM,mid,20.0,10:00,10:45,target,0.2
2026-02-18,GOOGL,call,ITM,mid,20.0,12:30,16:00,forced,-0.99319
2026-02-19,GOOGL,call,ITM,mid,20.0,09:35,16:00,forced,-0.9614
2026-02-20,GOOGL,call,ITM,mid,20.0,09:35,09:55,target,0.2
2026-02-20,GOOGL,call,ITM,mid,20.0,10:00,10:10,target,0.2
2026-02-20,GOOGL,call,ITM,mid,20.0,10:30,16:00,forced,-0.97232
2026-02-23,GOOGL,call,ITM,mid,20.0,09:35,09:45,target,0.2
2026-02-23,GOOGL,call,ITM,mid,20.0,10:00,11:45,target,0.2
2026-02-23,GOOGL,call,ITM,mid,20.0,12:30,16:00,forced,-0.98239
2026-02-24,GOOGL,call,ITM,mid,20.0,09:35,10:30,target,0.2
2026-02-24,GOOGL,call,ITM,mid,20.0,12:30,12:50,target,0.2
2026-02-24,GOOGL,call,ITM,mid,20.0,13:00,16:00,forced,-0.29157
2026-02-25,GOOGL,call,ITM,mid,20.0,09:35,16:00,forced,-0.9742
2026-02-26,GOOGL,call,ITM,mid,20.0,09:35,10:20,target,0.2
2026-02-26,GOOGL,call,ITM,mid,20.0,12:30,13:25,target,0.2
2026-02-26,GOOGL,call,ITM,mid,20.0,13:30,16:00,forced,-0.31876
2026-02-27,GOOGL,call,ITM,mid,20.0,09:35,09:40,target,0.2
2026-02-27,GOOGL,call,ITM,mid,20.0,10:00,10:15,target,0.2
2026-02-27,GOOGL,call,ITM,mid,20.0,12:30,12:40,target,0.2
2026-02-27,GOOGL,call,ITM,mid,20.0,13:00,15:15,target,0.2
2026-02-27,GOOGL,call,ITM,mid,20.0,15:30,16:00,forced,0.0115
2026-03-02,GOOGL,call,ITM,mid,20.0,09:35,09:45,target,0.2
