date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2026-01-05,GOOGL,call,ITM,mid,20.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,20.0,10:00,10:05,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,20.0,10:25,11:20,55.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,20.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,25.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,25.0,10:25,11:20,55.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,25.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,30.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,30.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,30.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,40.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,40.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,40.0,12:20,12:25,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,50.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,50.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,60.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,60.0,10:40,11:20,40.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,70.0,09:45,10:05,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,mid,75.0,09:45,10:10,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,20.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,20.0,10:25,11:20,55.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,20.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,25.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,25.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,25.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,30.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,30.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,30.0,12:20,12:25,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,40.0,09:35,10:10,35.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,40.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,50.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,50.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,60.0,09:45,10:05,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ITM,market,60.0,10:40,11:20,40.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,10:00,10:05,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,10:20,11:20,60.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,11:35,12:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,12:05,12:25,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,12:35,12:50,15.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,20.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,10:00,10:05,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,10:25,11:20,55.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,11:35,12:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,12:35,12:50,15.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,25.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,10:00,10:05,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,10:25,11:20,55.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,11:35,12:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,12:35,12:50,15.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,30.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,10:30,11:05,35.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,11:15,11:20,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,11:35,12:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,12:40,12:45,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,40.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,50.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,50.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,50.0,11:35,12:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,50.0,12:40,12:45,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,50.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,60.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,60.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,60.0,11:40,12:25,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,60.0,12:40,12:50,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,60.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,70.0,09:35,10:10,35.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,70.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,70.0,11:40,12:25,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,70.0,12:40,12:50,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,70.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,75.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,75.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,75.0,11:40,12:25,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,75.0,12:40,12:50,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,75.0,14:55,15:00,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,80.0,09:40,10:05,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,GOOGL,call,ATM,mid,80.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
