date,symbol,direction,moneyness,fill_mode,T_pct,n_trades,total_minutes_in_position,basis,trade1_entry,trade1_exit,trade2_entry,trade2_exit,trade3_entry,trade3_exit
2026-01-05,META,call,ITM,mid,20.0,9,315.0,OPPORTUNITY/HINDSIGHT,09:35,11:50,11:50,11:55,11:55,12:40
2026-01-05,META,call,ITM,mid,25.0,7,325.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:40,12:40,13:00
2026-01-05,META,call,ITM,mid,30.0,7,295.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:45,12:45,13:00
2026-01-05,META,call,ITM,mid,40.0,6,295.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:55,12:55,13:00
2026-01-05,META,call,ITM,mid,50.0,5,290.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,13:00,13:00,13:25
2026-01-05,META,call,ITM,mid,60.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:35,12:35,13:00,13:00,13:25
2026-01-05,META,call,ITM,mid,70.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:40,12:40,13:00,13:00,13:25
2026-01-05,META,call,ITM,mid,75.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:40,12:40,13:00,13:00,13:25
2026-01-05,META,call,ITM,mid,80.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:45,12:45,13:00,13:00,13:25
2026-01-05,META,call,ITM,mid,90.0,3,295.0,OPPORTUNITY/HINDSIGHT,09:35,12:45,12:45,13:00,13:00,14:30
2026-01-05,META,call,ITM,mid,100.0,2,295.0,OPPORTUNITY/HINDSIGHT,09:35,13:00,13:00,14:30,,
2026-01-05,META,call,ITM,market,20.0,7,325.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:40,12:40,13:00
2026-01-05,META,call,ITM,market,25.0,7,295.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:45,12:45,13:00
2026-01-05,META,call,ITM,market,30.0,6,295.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,12:45,12:45,13:00
2026-01-05,META,call,ITM,market,40.0,5,285.0,OPPORTUNITY/HINDSIGHT,09:35,11:55,11:55,13:00,13:00,13:25
2026-01-05,META,call,ITM,market,50.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:35,12:35,13:00,13:00,13:25
2026-01-05,META,call,ITM,market,60.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:40,12:40,13:00,13:00,13:25
2026-01-05,META,call,ITM,market,70.0,4,280.0,OPPORTUNITY/HINDSIGHT,09:35,12:40,12:40,13:00,13:00,13:25
2026-01-05,META,call,ITM,market,75.0,3,295.0,OPPORTUNITY/HINDSIGHT,09:35,12:45,12:45,13:00,13:00,14:30
2026-01-05,META,call,ITM,market,80.0,3,295.0,OPPORTUNITY/HINDSIGHT,09:35,12:45,12:45,13:00,13:00,14:30
