symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
META,call,ITM,mid,20.0,464,221,2.1,0.5711,0.2,-0.34042,-0.03178,-0.06672,-14.74436,False
META,call,ITM,mid,25.0,436,221,1.973,0.5275,0.25,-0.34188,-0.02965,-0.05849,-12.92627,False
META,call,ITM,mid,30.0,395,221,1.787,0.4684,0.3,-0.33677,-0.03854,-0.06888,-15.2218,False
META,call,ITM,mid,40.0,350,221,1.584,0.3971,0.4,-0.31057,-0.02837,-0.04494,-9.93098,False
META,call,ITM,mid,50.0,319,221,1.443,0.326,0.5,-0.27875,-0.02486,-0.03589,-7.93073,False
META,call,ITM,mid,60.0,292,221,1.321,0.2534,0.6,-0.23447,-0.023,-0.03039,-6.7151,False
META,call,ITM,mid,70.0,262,221,1.186,0.1794,0.7,-0.22451,-0.05866,-0.06954,-15.36921,False
META,call,ITM,mid,75.0,259,221,1.172,0.1699,0.75,-0.22304,-0.05773,-0.06766,-14.95266,False
META,call,ITM,mid,80.0,252,221,1.14,0.1508,0.8,-0.22082,-0.06688,-0.07627,-16.85493,False
META,call,ITM,mid,90.0,255,221,1.154,0.1451,0.9,-0.17941,-0.02279,-0.0263,-5.81133,False
META,call,ITM,mid,100.0,246,221,1.113,0.1098,1.0,-0.14648,-0.02065,-0.02298,-5.07868,False
META,call,ITM,market,20.0,445,221,2.014,0.5438,0.2,-0.35545,-0.05338,-0.10749,-23.75552,False
META,call,ITM,market,25.0,417,221,1.887,0.5036,0.25,-0.34904,-0.04736,-0.08937,-19.751,False
META,call,ITM,market,30.0,381,221,1.724,0.4462,0.3,-0.33577,-0.0521,-0.08981,-19.84846,False
META,call,ITM,market,40.0,341,221,1.543,0.3724,0.4,-0.30547,-0.04273,-0.06593,-14.5704,False
META,call,ITM,market,50.0,309,221,1.398,0.3042,0.5,-0.27952,-0.04239,-0.05926,-13.09726,False
META,call,ITM,market,60.0,281,221,1.271,0.2313,0.6,-0.26709,-0.06651,-0.08457,-18.69048,False
META,call,ITM,market,70.0,258,221,1.167,0.1667,0.7,-0.23322,-0.07768,-0.09069,-20.0416,False
META,call,ITM,market,75.0,258,221,1.167,0.1667,0.75,-0.24026,-0.07522,-0.08781,-19.40632,False
META,call,ITM,market,80.0,256,221,1.158,0.1523,0.8,-0.21827,-0.06314,-0.07314,-16.16489,False
META,call,ITM,market,90.0,256,221,1.158,0.1406,0.9,-0.1953,-0.04127,-0.04781,-10.56582,False
META,call,ITM,market,100.0,243,221,1.1,0.1029,1.0,-0.16069,-0.04128,-0.04538,-10.02988,False
META,call,ATM,mid,20.0,488,221,2.208,0.627,0.2,-0.50049,-0.06125,-0.13524,-29.88886,False
META,call,ATM,mid,25.0,453,221,2.05,0.5894,0.25,-0.49984,-0.05788,-0.11864,-26.22006,False
META,call,ATM,mid,30.0,417,221,1.887,0.5396,0.3,-0.49327,-0.06525,-0.12311,-27.2081,False
META,call,ATM,mid,40.0,369,221,1.67,0.4553,0.4,-0.49581,-0.08796,-0.14687,-32.45803,False
META,call,ATM,mid,50.0,349,221,1.579,0.4155,0.5,-0.47162,-0.06794,-0.10729,-23.71088,False
META,call,ATM,mid,60.0,322,221,1.457,0.3665,0.6,-0.45166,-0.06627,-0.09655,-21.33787,False
META,call,ATM,mid,70.0,303,221,1.371,0.3234,0.7,-0.43743,-0.06955,-0.09536,-21.07363,False
META,call,ATM,mid,75.0,297,221,1.344,0.303,0.75,-0.43111,-0.0732,-0.09837,-21.74037,False
META,call,ATM,mid,80.0,292,221,1.321,0.2842,0.8,-0.41478,-0.06948,-0.0918,-20.28811,False
META,call,ATM,mid,90.0,285,221,1.29,0.2596,0.9,-0.40882,-0.06898,-0.08896,-19.6604,False
META,call,ATM,mid,100.0,266,221,1.204,0.2143,1.0,-0.36623,-0.07347,-0.08842,-19.54191,False
META,call,ATM,market,20.0,470,221,2.127,0.6,0.2,-0.5189,-0.08756,-0.18622,-41.15368,False
META,call,ATM,market,25.0,421,221,1.905,0.5463,0.25,-0.52436,-0.10131,-0.193,-42.65327,False
META,call,ATM,market,30.0,412,221,1.864,0.5218,0.3,-0.51672,-0.09052,-0.16875,-37.29356,False
META,call,ATM,market,40.0,370,221,1.674,0.4459,0.4,-0.50365,-0.10067,-0.16854,-37.2482,False
META,call,ATM,market,50.0,343,221,1.552,0.3965,0.5,-0.5009,-0.10404,-0.16147,-35.68582,False
META,call,ATM,market,60.0,326,221,1.475,0.3712,0.6,-0.47418,-0.07548,-0.11135,-24.6074,False
META,call,ATM,market,70.0,297,221,1.344,0.3064,0.7,-0.45062,-0.09807,-0.1318,-29.12692,False
META,call,ATM,market,75.0,294,221,1.33,0.2959,0.75,-0.45616,-0.09923,-0.13201,-29.17492,False
META,call,ATM,market,80.0,287,221,1.299,0.2683,0.8,-0.44588,-0.11162,-0.14495,-32.03425,False
META,call,ATM,market,90.0,274,221,1.24,0.2409,0.9,-0.40644,-0.09175,-0.11375,-25.13925,False
META,call,ATM,market,100.0,265,221,1.199,0.2,1.0,-0.38589,-0.10871,-0.13035,-28.80826,False
META,call,OTM1,mid,20.0,514,221,2.326,0.6226,0.2,-0.50847,-0.0674,-0.15676,-34.64384,False
META,call,OTM1,mid,25.0,473,221,2.14,0.5877,0.25,-0.52538,-0.06966,-0.14909,-32.94926,False
META,call,OTM1,mid,30.0,427,221,1.932,0.541,0.3,-0.50835,-0.07105,-0.13727,-30.33648,False
META,call,OTM1,mid,40.0,384,221,1.738,0.4844,0.4,-0.51047,-0.06946,-0.12069,-26.67321,False
META,call,OTM1,mid,50.0,367,221,1.661,0.4387,0.5,-0.53785,-0.08255,-0.13709,-30.29735,False
META,call,OTM1,mid,60.0,344,221,1.557,0.4128,0.6,-0.52594,-0.06116,-0.09521,-21.04061,False
META,call,OTM1,mid,70.0,322,221,1.457,0.3665,0.7,-0.48971,-0.05373,-0.07828,-17.30058,False
META,call,OTM1,mid,75.0,307,221,1.389,0.3355,0.75,-0.48259,-0.06905,-0.09592,-21.19772,False
META,call,OTM1,mid,80.0,305,221,1.38,0.3377,0.8,-0.49399,-0.057,-0.07867,-17.38506,False
META,call,OTM1,mid,90.0,292,221,1.321,0.3014,0.9,-0.48103,-0.06483,-0.08565,-18.92942,False
META,call,OTM1,mid,100.0,285,221,1.29,0.2807,1.0,-0.46209,-0.05168,-0.06665,-14.72889,False
META,call,OTM1,market,20.0,482,221,2.181,0.5892,0.2,-0.59702,-0.12741,-0.27787,-61.40967,False
META,call,OTM1,market,25.0,447,221,2.023,0.5526,0.25,-0.60478,-0.13245,-0.2679,-59.20658,False
META,call,OTM1,market,30.0,418,221,1.891,0.5167,0.3,-0.59625,-0.13311,-0.25177,-55.64198,False
META,call,OTM1,market,40.0,383,221,1.733,0.47,0.4,-0.59644,-0.12814,-0.22207,-49.07758,False
META,call,OTM1,market,50.0,355,221,1.606,0.4225,0.5,-0.58347,-0.12566,-0.20186,-44.61089,False
META,call,OTM1,market,60.0,330,221,1.493,0.3727,0.6,-0.56212,-0.12896,-0.19257,-42.55826,False
META,call,OTM1,market,70.0,307,221,1.389,0.3225,0.7,-0.5538,-0.14948,-0.20765,-45.89031,False
META,call,OTM1,market,75.0,305,221,1.38,0.3148,0.75,-0.55492,-0.14419,-0.199,-43.97867,False
META,call,OTM1,market,80.0,296,221,1.339,0.2973,0.8,-0.55206,-0.1501,-0.20104,-44.42875,False
META,call,OTM1,market,90.0,282,221,1.276,0.2553,0.9,-0.527,-0.16266,-0.20756,-45.86978,False
META,call,OTM1,market,100.0,280,221,1.267,0.25,1.0,-0.5362,-0.15215,-0.19277,-42.60212,False
META,call,OTM2+,mid,20.0,446,219,2.037,0.5852,0.2,-0.42025,-0.05728,-0.11665,-25.54635,False
META,call,OTM2+,mid,25.0,431,219,1.968,0.5568,0.25,-0.43795,-0.05487,-0.10798,-23.64869,False
META,call,OTM2+,mid,30.0,406,219,1.854,0.532,0.3,-0.47204,-0.0613,-0.11365,-24.88848,False
META,call,OTM2+,mid,40.0,355,219,1.621,0.4479,0.4,-0.49352,-0.09332,-0.15128,-33.13022,False
META,call,OTM2+,mid,50.0,322,219,1.47,0.3851,0.5,-0.5146,-0.12389,-0.18215,-39.8914,False
