date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-16,META,call,ITM,mid,20.0,12:00,12:05,target,0.2
2026-02-16,META,call,ITM,mid,20.0,14:00,14:25,target,0.2
2026-02-16,META,call,ITM,mid,20.0,14:30,16:00,forced,-0.99445
2026-02-17,META,call,ITM,mid,20.0,12:00,12:05,target,0.2
2026-02-17,META,call,ITM,mid,20.0,14:00,16:00,forced,-0.58949
2026-02-18,META,call,ITM,mid,20.0,12:00,16:00,forced,-0.99646
2026-02-19,META,call,ITM,mid,20.0,12:00,12:10,target,0.2
2026-02-19,META,call,ITM,mid,20.0,14:00,14:35,target,0.2
2026-02-19,META,call,ITM,mid,20.0,15:00,15:10,target,0.2
2026-02-19,META,call,ITM,mid,20.0,15:30,15:45,target,0.2
2026-02-20,META,call,ITM,mid,20.0,12:00,13:20,target,0.2
2026-02-20,META,call,ITM,mid,20.0,14:00,14:15,target,0.2
2026-02-20,META,call,ITM,mid,20.0,14:30,14:40,target,0.2
2026-02-20,META,call,ITM,mid,20.0,15:00,15:40,target,0.2
2026-02-23,META,call,ITM,mid,20.0,12:00,12:10,target,0.2
2026-02-23,META,call,ITM,mid,20.0,12:30,16:00,forced,-0.98885
2026-02-24,META,call,ITM,mid,20.0,12:00,12:20,target,0.2
2026-02-24,META,call,ITM,mid,20.0,13:00,16:00,forced,-0.98635
2026-02-25,META,call,ITM,mid,20.0,12:00,12:15,target,0.2
2026-02-25,META,call,ITM,mid,20.0,14:00,16:00,forced,-0.99442
2026-02-26,META,call,ITM,mid,20.0,12:00,16:00,forced,-0.80039
2026-02-27,META,call,ITM,mid,20.0,10:00,16:00,forced,-0.99515
2026-03-02,META,call,ITM,mid,20.0,10:00,10:30,target,0.2
2026-03-02,META,call,ITM,mid,20.0,11:30,12:00,target,0.2
2026-03-02,META,call,ITM,mid,20.0,12:00,16:00,forced,-0.99013
2026-03-03,META,call,ITM,mid,20.0,10:00,16:00,forced,-0.99156
2026-03-04,META,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-03-04,META,call,ITM,mid,20.0,11:30,11:35,target,0.2
2026-03-04,META,call,ITM,mid,20.0,13:30,16:00,forced,-0.99458
2026-03-05,META,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-03-05,META,call,ITM,mid,20.0,11:30,11:50,target,0.2
2026-03-05,META,call,ITM,mid,20.0,13:30,14:25,target,0.2
2026-03-05,META,call,ITM,mid,20.0,15:00,15:30,target,0.2
2026-03-05,META,call,ITM,mid,20.0,15:30,15:55,target,0.2
2026-03-06,META,call,ITM,mid,20.0,10:00,10:55,target,0.2
2026-03-06,META,call,ITM,mid,20.0,11:30,11:35,target,0.2
2026-03-06,META,call,ITM,mid,20.0,13:30,13:55,target,0.2
2026-03-06,META,call,ITM,mid,20.0,14:00,16:00,forced,-0.99524
2026-03-09,META,call,ITM,mid,20.0,10:00,10:05,target,0.2
2026-03-09,META,call,ITM,mid,20.0,11:30,12:05,target,0.2
2026-03-09,META,call,ITM,mid,20.0,13:30,14:50,target,0.2
2026-03-09,META,call,ITM,mid,20.0,15:00,15:20,target,0.2
2026-03-09,META,call,ITM,mid,20.0,15:30,16:00,forced,0.14402
2026-03-10,META,call,ITM,mid,20.0,10:00,16:00,forced,-0.99473
2026-03-11,META,call,ITM,mid,20.0,10:00,14:25,target,0.2
2026-03-11,META,call,ITM,mid,20.0,15:00,15:05,target,0.2
