symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
MSFT,call,ITM,mid,20.0,423,219,1.932,0.5414,0.2,-0.34307,-0.04907,-0.09477,-20.75546,False
MSFT,call,ITM,mid,25.0,393,219,1.795,0.4835,0.25,-0.33626,-0.05283,-0.0948,-20.7617,False
MSFT,call,ITM,mid,30.0,358,219,1.635,0.4274,0.3,-0.33163,-0.06169,-0.10084,-22.08399,False
MSFT,call,ITM,mid,40.0,333,219,1.521,0.3784,0.4,-0.31466,-0.04425,-0.06728,-14.73491,False
MSFT,call,ITM,mid,50.0,303,219,1.384,0.3036,0.5,-0.28145,-0.04418,-0.06112,-13.38604,False
MSFT,call,ITM,mid,60.0,284,219,1.297,0.2676,0.6,-0.27702,-0.04233,-0.05489,-12.02069,False
MSFT,call,ITM,mid,70.0,268,219,1.224,0.2052,0.7,-0.23667,-0.04445,-0.05439,-11.91139,False
MSFT,call,ITM,mid,75.0,265,219,1.21,0.1962,0.75,-0.24179,-0.04717,-0.05708,-12.50074,False
MSFT,call,ITM,mid,80.0,259,219,1.183,0.1853,0.8,-0.2322,-0.04091,-0.04838,-10.59507,False
MSFT,call,ITM,mid,90.0,249,219,1.137,0.1526,0.9,-0.21665,-0.04624,-0.05258,-11.51399,False
MSFT,call,ITM,mid,100.0,242,219,1.105,0.1198,1.0,-0.18078,-0.03928,-0.0434,-9.50517,False
MSFT,call,ITM,market,20.0,414,219,1.89,0.5193,0.2,-0.35825,-0.06834,-0.12919,-28.29222,False
MSFT,call,ITM,market,25.0,383,219,1.749,0.4778,0.25,-0.35452,-0.06567,-0.11486,-25.15341,False
MSFT,call,ITM,market,30.0,354,219,1.616,0.4153,0.3,-0.35027,-0.08024,-0.12971,-28.40619,False
MSFT,call,ITM,market,40.0,325,219,1.484,0.3631,0.4,-0.33206,-0.06626,-0.09834,-21.53541,False
MSFT,call,ITM,market,50.0,297,219,1.356,0.2929,0.5,-0.31143,-0.07374,-0.1,-21.89966,False
MSFT,call,ITM,market,60.0,276,219,1.26,0.2391,0.6,-0.28046,-0.06992,-0.08811,-19.29695,False
MSFT,call,ITM,market,70.0,265,219,1.21,0.2,0.7,-0.26192,-0.06953,-0.08414,-18.42606,False
MSFT,call,ITM,market,75.0,262,219,1.196,0.1908,0.75,-0.25677,-0.06464,-0.07733,-16.93604,False
MSFT,call,ITM,market,80.0,255,219,1.164,0.1725,0.8,-0.2438,-0.06369,-0.07416,-16.24138,False
MSFT,call,ITM,market,90.0,247,219,1.128,0.1417,0.9,-0.21919,-0.0606,-0.06835,-14.96786,False
MSFT,call,ITM,market,100.0,242,219,1.105,0.1198,1.0,-0.20566,-0.06118,-0.06761,-14.80615,False
MSFT,call,ATM,mid,20.0,482,220,2.191,0.6328,0.2,-0.4885,-0.05283,-0.11575,-25.46498,False
MSFT,call,ATM,mid,25.0,447,220,2.032,0.5817,0.25,-0.49541,-0.06184,-0.12564,-27.6413,False
MSFT,call,ATM,mid,30.0,417,220,1.895,0.5516,0.3,-0.48058,-0.05004,-0.09485,-20.86806,False
MSFT,call,ATM,mid,40.0,384,220,1.745,0.4922,0.4,-0.45531,-0.03434,-0.05994,-13.18599,False
MSFT,call,ATM,mid,50.0,342,220,1.555,0.424,0.5,-0.44187,-0.04254,-0.06613,-14.54764,False
MSFT,call,ATM,mid,60.0,326,220,1.482,0.3865,0.6,-0.42262,-0.02737,-0.04056,-8.92359,False
MSFT,call,ATM,mid,70.0,310,220,1.409,0.3419,0.7,-0.42877,-0.0428,-0.06031,-13.26926,False
MSFT,call,ATM,mid,75.0,308,220,1.4,0.3377,0.75,-0.41449,-0.02129,-0.0298,-6.5559,False
MSFT,call,ATM,mid,80.0,296,220,1.345,0.3007,0.8,-0.40032,-0.03941,-0.05303,-11.66662,False
MSFT,call,ATM,mid,90.0,287,220,1.305,0.2822,0.9,-0.39165,-0.02711,-0.03537,-7.78035,False
MSFT,call,ATM,mid,100.0,275,220,1.25,0.2509,1.0,-0.38913,-0.04058,-0.05073,-11.16064,False
MSFT,call,ATM,market,20.0,463,220,2.105,0.6004,0.2,-0.52681,-0.09041,-0.19027,-41.85962,False
MSFT,call,ATM,market,25.0,423,220,1.923,0.5485,0.25,-0.51188,-0.09402,-0.18077,-39.76841,False
MSFT,call,ATM,market,30.0,398,220,1.809,0.5176,0.3,-0.51508,-0.09321,-0.16862,-37.09582,False
MSFT,call,ATM,market,40.0,357,220,1.623,0.451,0.4,-0.48266,-0.0846,-0.13728,-30.20073,False
MSFT,call,ATM,market,50.0,343,220,1.559,0.4052,0.5,-0.46411,-0.07341,-0.11445,-25.17799,False
MSFT,call,ATM,market,60.0,325,220,1.477,0.3662,0.6,-0.45206,-0.06685,-0.09875,-21.7252,False
MSFT,call,ATM,market,70.0,308,220,1.4,0.3312,0.7,-0.44502,-0.06583,-0.09216,-20.27465,False
MSFT,call,ATM,market,75.0,299,220,1.359,0.301,0.75,-0.42982,-0.07469,-0.10151,-22.33208,False
MSFT,call,ATM,market,80.0,290,220,1.318,0.2931,0.8,-0.42585,-0.06655,-0.08772,-19.2986,False
MSFT,call,ATM,market,90.0,275,220,1.25,0.2473,0.9,-0.4318,-0.10248,-0.1281,-28.18206,False
MSFT,call,ATM,market,100.0,263,220,1.195,0.2129,1.0,-0.40028,-0.10212,-0.12208,-26.85827,False
MSFT,call,OTM1,mid,20.0,505,220,2.295,0.6436,0.2,-0.5223,-0.05745,-0.13188,-29.0133,False
MSFT,call,OTM1,mid,25.0,470,220,2.136,0.6,0.25,-0.51368,-0.05547,-0.11851,-26.07233,False
MSFT,call,OTM1,mid,30.0,441,220,2.005,0.5646,0.3,-0.52131,-0.05758,-0.11541,-25.39073,False
MSFT,call,OTM1,mid,40.0,390,220,1.773,0.4872,0.4,-0.48897,-0.05588,-0.09907,-21.79485,False
MSFT,call,OTM1,mid,50.0,364,220,1.655,0.4533,0.5,-0.51182,-0.05316,-0.08796,-19.35191,False
MSFT,call,OTM1,mid,60.0,340,220,1.545,0.3941,0.6,-0.48583,-0.05789,-0.08946,-19.68131,False
MSFT,call,OTM1,mid,70.0,320,220,1.455,0.3594,0.7,-0.4826,-0.0576,-0.08379,-18.43292,False
MSFT,call,OTM1,mid,75.0,313,220,1.423,0.345,0.75,-0.49537,-0.06566,-0.09341,-20.55017,False
MSFT,call,OTM1,mid,80.0,304,220,1.382,0.3257,0.8,-0.49811,-0.07537,-0.10415,-22.91304,False
MSFT,call,OTM1,mid,90.0,289,220,1.314,0.2872,0.9,-0.49106,-0.09155,-0.12026,-26.45818,False
MSFT,call,OTM1,mid,100.0,282,220,1.282,0.2801,1.0,-0.45855,-0.04995,-0.06402,-14.08486,False
MSFT,call,OTM1,market,20.0,445,220,2.023,0.5528,0.2,-0.63407,-0.17299,-0.34991,-76.98006,False
MSFT,call,OTM1,market,25.0,426,220,1.936,0.5188,0.25,-0.62538,-0.17125,-0.3316,-72.95309,False
MSFT,call,OTM1,market,30.0,399,220,1.814,0.4862,0.3,-0.61533,-0.17028,-0.30883,-67.94182,False
MSFT,call,OTM1,market,40.0,362,220,1.645,0.4254,0.4,-0.59746,-0.17313,-0.28487,-62.67167,False
MSFT,call,OTM1,market,50.0,330,220,1.5,0.3636,0.5,-0.59065,-0.19405,-0.29108,-64.03696,False
MSFT,call,OTM1,market,60.0,323,220,1.468,0.3498,0.6,-0.58179,-0.16834,-0.24716,-54.37527,False
MSFT,call,OTM1,market,70.0,303,220,1.377,0.3069,0.7,-0.56942,-0.17979,-0.24762,-54.47724,False
MSFT,call,OTM1,market,75.0,298,220,1.355,0.302,0.75,-0.57077,-0.17188,-0.23281,-51.21915,False
MSFT,call,OTM1,market,80.0,290,220,1.318,0.2828,0.8,-0.56637,-0.18002,-0.23729,-52.20471,False
MSFT,call,OTM1,market,90.0,277,220,1.259,0.2599,0.9,-0.54702,-0.1709,-0.21518,-47.3386,False
MSFT,call,OTM1,market,100.0,268,220,1.218,0.2351,1.0,-0.52038,-0.16297,-0.19853,-43.67707,False
MSFT,call,OTM2+,mid,20.0,455,221,2.059,0.5934,0.2,-0.39509,-0.04196,-0.08638,-19.09082,False
MSFT,call,OTM2+,mid,25.0,417,221,1.887,0.5492,0.25,-0.40786,-0.04659,-0.0879,-19.42676,False
MSFT,call,OTM2+,mid,30.0,377,221,1.706,0.5066,0.3,-0.42237,-0.0564,-0.0962,-21.26097,False
MSFT,call,OTM2+,mid,40.0,344,221,1.557,0.436,0.4,-0.40842,-0.05591,-0.08703,-19.23385,False
MSFT,call,OTM2+,mid,50.0,316,221,1.43,0.3734,0.5,-0.38514,-0.05461,-0.07809,-17.25742,False
MSFT,call,OTM2+,mid,60.0,299,221,1.353,0.3278,0.6,-0.38514,-0.06225,-0.08422,-18.61263,False
MSFT,call,OTM2+,mid,70.0,288,221,1.303,0.3056,0.7,-0.4015,-0.06493,-0.08461,-18.69906,False
MSFT,call,OTM2+,mid,75.0,279,221,1.262,0.2796,0.75,-0.39435,-0.07442,-0.09396,-20.76437,False
MSFT,call,OTM2+,mid,80.0,271,221,1.226,0.2583,0.8,-0.39426,-0.08578,-0.10519,-23.24608,False
MSFT,call,OTM2+,mid,90.0,271,221,1.226,0.2546,0.9,-0.39811,-0.0676,-0.08289,-18.31877,False
MSFT,call,OTM2+,mid,100.0,263,221,1.19,0.2243,1.0,-0.40443,-0.08937,-0.10635,-23.50437,False
MSFT,call,OTM2+,market,20.0,329,221,1.489,0.3982,0.2,-0.72179,-0.35476,-0.52812,-116.71519,False
MSFT,call,OTM2+,market,25.0,300,221,1.357,0.3433,0.25,-0.71685,-0.3849,-0.52249,-115.46946,False
MSFT,call,OTM2+,market,30.0,298,221,1.348,0.3389,0.3,-0.71664,-0.37207,-0.50171,-110.87806,False
MSFT,call,OTM2+,market,40.0,289,221,1.308,0.301,0.4,-0.68307,-0.35702,-0.46688,-103.1802,False
MSFT,call,OTM2+,market,50.0,282,221,1.276,0.2801,0.5,-0.69379,-0.35936,-0.45855,-101.34027,False
MSFT,call,OTM2+,market,60.0,269,221,1.217,0.2305,0.6,-0.66758,-0.37542,-0.45696,-100.98901,False
MSFT,call,OTM2+,market,70.0,261,221,1.181,0.2031,0.7,-0.65174,-0.37725,-0.44553,-98.46205,False
