date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2026-01-05,MSFT,call,ITM,mid,20.0,09:35,09:45,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,09:45,09:50,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,10:00,10:10,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,10:10,13:15,185.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,13:15,13:55,40.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,14:15,14:35,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,20.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,25.0,09:35,09:45,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,25.0,09:45,13:55,250.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,25.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,30.0,09:35,09:45,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,30.0,09:45,13:55,250.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,30.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,40.0,09:35,09:50,15.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,40.0,10:00,10:10,10.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,40.0,10:10,13:55,225.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,40.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,50.0,09:35,09:50,15.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,50.0,10:00,13:15,195.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,50.0,13:25,13:45,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,50.0,13:50,13:55,5.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,50.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,60.0,09:35,13:45,250.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,60.0,15:20,15:50,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,MSFT,call,ITM,mid,70.0,09:35,13:45,250.0,OPPORTUNITY/HINDSIGHT
