symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
NVDA,call,ITM,mid,20.0,381,221,1.724,0.4462,0.2,-0.20581,-0.02474,-0.04265,-9.42526,False
NVDA,call,ITM,mid,25.0,335,221,1.516,0.3642,0.25,-0.16456,-0.01359,-0.0206,-4.55174,False
NVDA,call,ITM,mid,30.0,303,221,1.371,0.2871,0.3,-0.14719,-0.01879,-0.02576,-5.69272,False
NVDA,call,ITM,mid,40.0,277,221,1.253,0.2058,0.4,-0.13898,-0.02807,-0.03519,-7.77623,False
NVDA,call,ITM,mid,50.0,258,221,1.167,0.1434,0.5,-0.11717,-0.02866,-0.03346,-7.39494,False
NVDA,call,ITM,mid,60.0,247,221,1.118,0.1012,0.6,-0.09818,-0.02752,-0.03075,-6.79629,False
NVDA,call,ITM,mid,70.0,244,221,1.104,0.0943,0.7,-0.09743,-0.02226,-0.02458,-5.43145,False
NVDA,call,ITM,mid,75.0,243,221,1.1,0.0905,0.75,-0.09234,-0.01608,-0.01768,-3.90624,False
NVDA,call,ITM,mid,80.0,236,221,1.068,0.0678,0.8,-0.08476,-0.02477,-0.02645,-5.84627,False
NVDA,call,ITM,mid,90.0,234,221,1.059,0.0513,0.9,-0.07009,-0.02034,-0.02154,-4.76007,False
NVDA,call,ITM,mid,100.0,230,221,1.041,0.0391,1.0,-0.05604,-0.01471,-0.01531,-3.38375,False
NVDA,call,ITM,market,20.0,354,221,1.602,0.4068,0.2,-0.20733,-0.04163,-0.06669,-14.73829,False
NVDA,call,ITM,market,25.0,305,221,1.38,0.2984,0.25,-0.17352,-0.04716,-0.06508,-14.38242,False
NVDA,call,ITM,market,30.0,297,221,1.344,0.2795,0.3,-0.16869,-0.03771,-0.05068,-11.2001,False
NVDA,call,ITM,market,40.0,275,221,1.244,0.2,0.4,-0.15243,-0.04194,-0.05219,-11.53419,False
NVDA,call,ITM,market,50.0,253,221,1.145,0.1383,0.5,-0.13648,-0.04843,-0.05544,-12.25216,False
NVDA,call,ITM,market,60.0,246,221,1.113,0.1016,0.6,-0.12481,-0.05115,-0.05694,-12.5828,False
NVDA,call,ITM,market,70.0,242,221,1.095,0.0868,0.7,-0.11139,-0.04098,-0.04487,-9.91721,False
NVDA,call,ITM,market,75.0,236,221,1.068,0.0678,0.75,-0.1047,-0.04676,-0.04993,-11.0351,False
NVDA,call,ITM,market,80.0,235,221,1.063,0.0638,0.8,-0.10468,-0.04694,-0.04991,-11.0301,False
NVDA,call,ITM,market,90.0,231,221,1.045,0.0476,0.9,-0.08777,-0.04073,-0.04257,-9.40903,False
NVDA,call,ITM,market,100.0,228,221,1.032,0.0307,1.0,-0.07351,-0.04055,-0.04184,-9.2459,False
NVDA,call,ATM,mid,20.0,541,221,2.448,0.647,0.2,-0.47625,-0.03875,-0.09486,-20.96413,False
NVDA,call,ATM,mid,25.0,497,221,2.249,0.5996,0.25,-0.47434,-0.04003,-0.09001,-19.89309,False
NVDA,call,ATM,mid,30.0,458,221,2.072,0.5633,0.3,-0.48335,-0.04207,-0.08719,-19.2691,False
NVDA,call,ATM,mid,40.0,396,221,1.792,0.4848,0.4,-0.46634,-0.0463,-0.08296,-18.33414,False
NVDA,call,ATM,mid,50.0,365,221,1.652,0.4356,0.5,-0.43816,-0.02948,-0.04869,-10.76038,False
NVDA,call,ATM,mid,60.0,329,221,1.489,0.3587,0.6,-0.42648,-0.05832,-0.08682,-19.1877,False
NVDA,call,ATM,mid,70.0,312,221,1.412,0.3109,0.7,-0.40033,-0.05824,-0.08222,-18.1707,False
NVDA,call,ATM,mid,75.0,295,221,1.335,0.2814,0.75,-0.37153,-0.05598,-0.07473,-16.515,False
NVDA,call,ATM,mid,80.0,290,221,1.312,0.2621,0.8,-0.36251,-0.05785,-0.07591,-16.77712,False
NVDA,call,ATM,mid,90.0,282,221,1.276,0.2411,0.9,-0.34341,-0.04358,-0.05561,-12.2897,False
NVDA,call,ATM,mid,100.0,270,221,1.222,0.2037,1.0,-0.32309,-0.05357,-0.06545,-14.46372,False
NVDA,call,ATM,market,20.0,489,221,2.213,0.5787,0.2,-0.56598,-0.12268,-0.27145,-59.99142,False
NVDA,call,ATM,market,25.0,445,221,2.014,0.5393,0.25,-0.54982,-0.11846,-0.23852,-52.71266,False
NVDA,call,ATM,market,30.0,423,221,1.914,0.5154,0.3,-0.55326,-0.11352,-0.21727,-48.01735,False
NVDA,call,ATM,market,40.0,372,221,1.683,0.4462,0.4,-0.52337,-0.11133,-0.18739,-41.41377,False
NVDA,call,ATM,market,50.0,336,221,1.52,0.381,0.5,-0.48207,-0.10795,-0.16412,-36.27118,False
NVDA,call,ATM,market,60.0,318,221,1.439,0.3302,0.6,-0.46514,-0.11344,-0.16324,-36.07498,False
NVDA,call,ATM,market,70.0,295,221,1.335,0.2644,0.7,-0.42947,-0.13083,-0.17464,-38.59557,False
NVDA,call,ATM,market,75.0,291,221,1.317,0.2543,0.75,-0.40822,-0.11369,-0.1497,-33.08471,False
NVDA,call,ATM,market,80.0,291,221,1.317,0.2509,0.8,-0.42685,-0.11908,-0.1568,-34.65361,False
NVDA,call,ATM,market,90.0,273,221,1.235,0.2088,0.9,-0.40372,-0.13151,-0.16245,-35.9025,False
NVDA,call,ATM,market,100.0,267,221,1.208,0.191,1.0,-0.36853,-0.10712,-0.12942,-28.60155,False
NVDA,call,OTM1,mid,20.0,514,221,2.326,0.5973,0.2,-0.46313,-0.06706,-0.15597,-34.46835,False
NVDA,call,OTM1,mid,25.0,475,221,2.149,0.5537,0.25,-0.44855,-0.06177,-0.13277,-29.34299,False
NVDA,call,OTM1,mid,30.0,442,221,2.0,0.5158,0.3,-0.44455,-0.06048,-0.12097,-26.73387,False
NVDA,call,OTM1,mid,40.0,382,221,1.729,0.4476,0.4,-0.45524,-0.0724,-0.12514,-27.65535,False
NVDA,call,OTM1,mid,50.0,364,221,1.647,0.4121,0.5,-0.46384,-0.06665,-0.10978,-24.26189,False
NVDA,call,OTM1,mid,60.0,352,221,1.593,0.3892,0.6,-0.45816,-0.04632,-0.07378,-16.3052,False
NVDA,call,OTM1,mid,70.0,323,221,1.462,0.3344,0.7,-0.45094,-0.06611,-0.09662,-21.35205,False
NVDA,call,OTM1,mid,75.0,308,221,1.394,0.3084,0.75,-0.43935,-0.07251,-0.10105,-22.33254,False
NVDA,call,OTM1,mid,80.0,300,221,1.357,0.2867,0.8,-0.42913,-0.07678,-0.10422,-23.03354,False
NVDA,call,OTM1,mid,90.0,293,221,1.326,0.2628,0.9,-0.40741,-0.06383,-0.08462,-18.70138,False
NVDA,call,OTM1,mid,100.0,290,221,1.312,0.2552,1.0,-0.40263,-0.04472,-0.05868,-12.96807,False
NVDA,call,OTM1,market,20.0,374,221,1.692,0.4198,0.2,-0.72998,-0.33959,-0.57469,-127.0064,False
NVDA,call,OTM1,market,25.0,357,221,1.615,0.3922,0.25,-0.72471,-0.34247,-0.55323,-122.26293,False
NVDA,call,OTM1,market,30.0,343,221,1.552,0.3644,0.3,-0.72101,-0.34892,-0.54154,-119.6795,False
NVDA,call,OTM1,market,40.0,318,221,1.439,0.3176,0.4,-0.71442,-0.36047,-0.51868,-114.6281,False
NVDA,call,OTM1,market,50.0,304,221,1.376,0.2928,0.5,-0.69446,-0.34477,-0.47425,-104.80926,False
NVDA,call,OTM1,market,60.0,290,221,1.312,0.2483,0.6,-0.69166,-0.37097,-0.48679,-107.58144,False
NVDA,call,OTM1,market,70.0,282,221,1.276,0.2305,0.7,-0.67866,-0.36088,-0.4605,-101.76945,False
NVDA,call,OTM1,market,75.0,282,221,1.276,0.2305,0.75,-0.68443,-0.3538,-0.45146,-99.77164,False
NVDA,call,OTM1,market,80.0,276,221,1.249,0.2101,0.8,-0.66017,-0.35333,-0.44126,-97.51805,False
NVDA,call,OTM1,market,90.0,270,221,1.222,0.1963,0.9,-0.65029,-0.34597,-0.42268,-93.4127,False
NVDA,call,OTM1,market,100.0,264,221,1.195,0.1818,1.0,-0.63331,-0.33634,-0.40178,-88.79441,False
NVDA,call,OTM2+,mid,20.0,343,221,1.552,0.3732,0.2,-0.20824,-0.05589,-0.08675,-19.17114,False
