date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-16,NVDA,call,ITM,mid,20.0,09:35,09:50,target,0.2
2026-02-16,NVDA,call,ITM,mid,20.0,10:00,16:00,forced,-0.97826
2026-02-17,NVDA,call,ITM,mid,20.0,11:00,12:15,target,0.2
2026-02-17,NVDA,call,ITM,mid,20.0,12:30,12:40,target,0.2
2026-02-17,NVDA,call,ITM,mid,20.0,13:30,16:00,forced,-0.64605
2026-02-18,NVDA,call,ITM,mid,20.0,11:00,13:45,target,0.2
2026-02-18,NVDA,call,ITM,mid,20.0,15:00,15:20,target,0.2
2026-02-18,NVDA,call,ITM,mid,20.0,15:30,16:00,target,0.2
2026-02-19,NVDA,call,ITM,mid,20.0,11:00,11:05,target,0.2
2026-02-19,NVDA,call,ITM,mid,20.0,12:30,16:00,forced,-0.87473
2026-02-20,NVDA,call,ITM,mid,20.0,11:00,11:05,target,0.2
2026-02-20,NVDA,call,ITM,mid,20.0,12:30,13:15,target,0.2
2026-02-20,NVDA,call,ITM,mid,20.0,13:30,13:45,target,0.2
2026-02-20,NVDA,call,ITM,mid,20.0,15:00,16:00,forced,-0.64574
2026-02-23,NVDA,call,ITM,mid,20.0,11:00,11:30,target,0.2
2026-02-23,NVDA,call,ITM,mid,20.0,12:30,12:50,target,0.2
2026-02-23,NVDA,call,ITM,mid,20.0,13:30,16:00,forced,-0.31185
2026-02-24,NVDA,call,ITM,mid,20.0,11:00,11:05,target,0.2
2026-02-24,NVDA,call,ITM,mid,20.0,12:30,16:00,forced,0.16399
2026-02-25,NVDA,call,ITM,mid,20.0,09:35,16:00,forced,-0.97628
2026-02-26,NVDA,call,ITM,mid,20.0,11:00,16:00,forced,-0.35492
2026-02-27,NVDA,call,ITM,mid,20.0,11:00,16:00,forced,-0.98956
2026-03-02,NVDA,call,ITM,mid,20.0,09:35,09:50,target,0.2
2026-03-02,NVDA,call,ITM,mid,20.0,10:00,11:50,target,0.2
2026-03-02,NVDA,call,ITM,mid,20.0,12:30,16:00,forced,-0.98443
2026-03-03,NVDA,call,ITM,mid,20.0,09:35,09:55,target,0.2
2026-03-03,NVDA,call,ITM,mid,20.0,10:00,16:00,forced,-0.98925
2026-03-04,NVDA,call,ITM,mid,20.0,09:35,10:20,target,0.2
2026-03-04,NVDA,call,ITM,mid,20.0,10:30,10:35,target,0.2
2026-03-04,NVDA,call,ITM,mid,20.0,11:00,11:25,target,0.2
2026-03-04,NVDA,call,ITM,mid,20.0,11:30,11:50,target,0.2
2026-03-04,NVDA,call,ITM,mid,20.0,12:30,16:00,forced,0.00954
2026-03-05,NVDA,call,ITM,mid,20.0,09:35,16:00,forced,-0.97616
2026-03-06,NVDA,call,ITM,mid,20.0,09:35,10:35,target,0.2
2026-03-06,NVDA,call,ITM,mid,20.0,11:00,11:25,target,0.2
2026-03-06,NVDA,call,ITM,mid,20.0,11:30,11:40,target,0.2
2026-03-06,NVDA,call,ITM,mid,20.0,12:30,16:00,forced,-0.91443
2026-03-09,NVDA,call,ITM,mid,20.0,09:35,09:45,target,0.2
2026-03-09,NVDA,call,ITM,mid,20.0,10:00,10:15,target,0.2
2026-03-09,NVDA,call,ITM,mid,20.0,10:30,16:00,forced,-0.22518
2026-03-10,NVDA,call,ITM,mid,20.0,09:35,09:45,target,0.2
2026-03-10,NVDA,call,ITM,mid,20.0,10:00,10:15,target,0.2
2026-03-10,NVDA,call,ITM,mid,20.0,10:30,11:40,target,0.2
