symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
ORCL,call,ITM,mid,20.0,46,20,2.3,0.6087,0.2,-0.61585,-0.11924,-0.27426,-5.48524,False
ORCL,call,ITM,mid,25.0,45,20,2.25,0.5556,0.25,-0.58662,-0.12183,-0.27412,-5.48247,False
ORCL,call,ITM,mid,30.0,37,20,1.85,0.4595,0.3,-0.5886,-0.18033,-0.3336,-6.67208,False
ORCL,call,ITM,mid,40.0,36,20,1.8,0.4444,0.4,-0.55233,-0.12907,-0.23233,-4.64652,False
ORCL,call,ITM,mid,50.0,40,20,2.0,0.525,0.5,-0.58525,-0.01549,-0.03098,-0.61968,False
ORCL,call,ITM,mid,60.0,33,20,1.65,0.3939,0.6,-0.50018,-0.06678,-0.11018,-2.20358,False
ORCL,call,ITM,mid,70.0,31,20,1.55,0.3548,0.7,-0.48652,-0.0655,-0.10152,-2.03039,False
ORCL,call,ITM,mid,75.0,31,20,1.55,0.3548,0.75,-0.50777,-0.06146,-0.09527,-1.90538,False
ORCL,call,ITM,mid,80.0,31,20,1.55,0.3548,0.8,-0.50777,-0.04372,-0.06777,-1.35538,False
ORCL,call,ITM,mid,90.0,30,20,1.5,0.3333,0.9,-0.49177,-0.02785,-0.04177,-0.83543,False
ORCL,call,ITM,mid,100.0,30,20,1.5,0.3333,1.0,-0.48983,0.00678,0.01017,0.20333,False
ORCL,call,ITM,market,20.0,45,20,2.25,0.5556,0.2,-0.60283,-0.15682,-0.35283,-7.05669,False
ORCL,call,ITM,market,25.0,37,20,1.85,0.4595,0.25,-0.60474,-0.21202,-0.39224,-7.84475,False
ORCL,call,ITM,market,30.0,36,20,1.8,0.4444,0.3,-0.54798,-0.1711,-0.30798,-6.15961,False
ORCL,call,ITM,market,40.0,42,20,2.1,0.5238,0.4,-0.56333,-0.05873,-0.12333,-2.46662,False
ORCL,call,ITM,market,50.0,35,20,1.75,0.4571,0.5,-0.57197,-0.08193,-0.14337,-2.86739,False
ORCL,call,ITM,market,60.0,32,20,1.6,0.375,0.6,-0.52823,-0.10515,-0.16823,-3.36468,False
ORCL,call,ITM,market,70.0,31,20,1.55,0.3548,0.7,-0.52707,-0.09166,-0.14207,-2.84143,False
ORCL,call,ITM,market,75.0,31,20,1.55,0.3548,0.75,-0.52707,-0.07392,-0.11457,-2.29143,False
ORCL,call,ITM,market,80.0,30,20,1.5,0.3333,0.8,-0.51644,-0.07763,-0.11644,-2.32882,False
ORCL,call,ITM,market,90.0,30,20,1.5,0.3333,0.9,-0.50984,-0.03989,-0.05984,-1.1968,False
ORCL,call,ITM,market,100.0,29,20,1.45,0.3103,1.0,-0.50697,-0.03929,-0.05697,-1.13935,True
ORCL,call,ATM,mid,20.0,52,20,2.6,0.7115,0.2,-0.70432,-0.06086,-0.15824,-3.16476,False
ORCL,call,ATM,mid,25.0,57,20,2.85,0.7193,0.25,-0.64672,-0.00171,-0.00488,-0.09759,False
ORCL,call,ATM,mid,30.0,57,20,2.85,0.7193,0.3,-0.63277,0.03817,0.10878,2.17566,False
ORCL,call,ATM,mid,40.0,48,20,2.4,0.6667,0.4,-0.5999,0.0667,0.16008,3.2016,False
ORCL,call,ATM,mid,50.0,43,20,2.15,0.6279,0.5,-0.60645,0.0883,0.18984,3.79674,False
ORCL,call,ATM,mid,60.0,41,20,2.05,0.6341,0.6,-0.6763,0.13306,0.27278,5.45556,False
ORCL,call,ATM,mid,70.0,38,20,1.9,0.5789,0.7,-0.58815,0.15762,0.29948,5.98959,False
ORCL,call,ATM,mid,75.0,37,20,1.85,0.5676,0.75,-0.59009,0.1705,0.31543,6.30859,False
ORCL,call,ATM,mid,80.0,37,20,1.85,0.5676,0.8,-0.59009,0.19888,0.36793,7.35859,False
ORCL,call,ATM,mid,90.0,35,20,1.75,0.5429,0.9,-0.59279,0.21758,0.38077,7.61543,False
ORCL,call,ATM,mid,100.0,32,20,1.6,0.5,1.0,-0.59657,0.20171,0.32274,6.45481,False
ORCL,call,ATM,market,20.0,57,20,2.85,0.7193,0.2,-0.66058,-0.04157,-0.11846,-2.36925,False
ORCL,call,ATM,market,25.0,57,20,2.85,0.7193,0.25,-0.64407,-0.00097,-0.00275,-0.05507,False
ORCL,call,ATM,market,30.0,47,20,2.35,0.6596,0.3,-0.64666,-0.02227,-0.05233,-1.04662,False
ORCL,call,ATM,market,40.0,44,20,2.2,0.6364,0.4,-0.62189,0.0284,0.06249,1.24979,False
ORCL,call,ATM,market,50.0,39,20,1.95,0.5897,0.5,-0.63153,0.03578,0.06978,1.39555,False
ORCL,call,ATM,market,60.0,33,20,1.65,0.5455,0.6,-0.68115,0.01766,0.02914,0.58277,False
ORCL,call,ATM,market,70.0,37,20,1.85,0.5676,0.7,-0.60616,0.13517,0.25007,5.00142,False
ORCL,call,ATM,market,75.0,37,20,1.85,0.5676,0.75,-0.60917,0.16225,0.30016,6.00327,False
ORCL,call,ATM,market,80.0,33,20,1.65,0.5152,0.8,-0.60875,0.11697,0.193,3.85996,False
ORCL,call,ATM,market,90.0,33,20,1.65,0.5152,0.9,-0.61239,0.16672,0.27509,5.50172,False
ORCL,call,ATM,market,100.0,31,20,1.55,0.4839,1.0,-0.59985,0.17427,0.27012,5.40247,False
ORCL,call,OTM1,mid,20.0,52,20,2.6,0.7308,0.2,-0.62581,-0.02233,-0.05807,-1.16136,False
ORCL,call,OTM1,mid,25.0,47,20,2.35,0.7021,0.25,-0.59554,-0.00186,-0.00438,-0.08759,False
ORCL,call,OTM1,mid,30.0,45,20,2.25,0.6667,0.3,-0.55769,0.0141,0.03173,0.63469,False
ORCL,call,OTM1,mid,40.0,46,20,2.3,0.6739,0.4,-0.48617,0.11103,0.25537,5.1074,False
ORCL,call,OTM1,mid,50.0,42,20,2.1,0.6429,0.5,-0.44056,0.16409,0.34458,6.89163,False
ORCL,call,OTM1,mid,60.0,43,20,2.15,0.6512,0.6,-0.46708,0.22776,0.48969,9.79386,False
ORCL,call,OTM1,mid,70.0,39,20,1.95,0.641,0.7,-0.59092,0.23659,0.46135,9.22705,False
ORCL,call,OTM1,mid,75.0,39,20,1.95,0.6154,0.75,-0.50569,0.26704,0.52073,10.41469,False
ORCL,call,OTM1,mid,80.0,37,20,1.85,0.5946,0.8,-0.50569,0.27067,0.50073,10.01469,False
ORCL,call,OTM1,mid,90.0,33,20,1.65,0.5455,0.9,-0.56454,0.2343,0.38659,7.73184,False
ORCL,call,OTM1,mid,100.0,29,20,1.45,0.4828,1.0,-0.56506,0.19048,0.2762,5.52403,True
ORCL,call,OTM1,market,20.0,47,20,2.35,0.7021,0.2,-0.61141,-0.0417,-0.09798,-1.95967,False
ORCL,call,OTM1,market,25.0,45,20,2.25,0.6667,0.25,-0.57503,-0.02501,-0.05628,-1.12551,False
ORCL,call,OTM1,market,30.0,43,20,2.15,0.6512,0.3,-0.56016,-6e-05,-0.00012,-0.00246,False
ORCL,call,OTM1,market,40.0,47,20,2.35,0.6809,0.4,-0.4321,0.13444,0.31593,6.31857,False
ORCL,call,OTM1,market,50.0,45,20,2.25,0.6667,0.5,-0.4708,0.1764,0.3969,7.938,False
ORCL,call,OTM1,market,60.0,41,20,2.05,0.6585,0.6,-0.59969,0.19035,0.39022,7.80432,False
ORCL,call,OTM1,market,70.0,37,20,1.85,0.5946,0.7,-0.52508,0.20335,0.37619,7.52386,False
ORCL,call,OTM1,market,75.0,37,20,1.85,0.5946,0.75,-0.52508,0.23308,0.43119,8.62386,False
ORCL,call,OTM1,market,80.0,37,20,1.85,0.5946,0.8,-0.52508,0.26281,0.48619,9.72386,False
ORCL,call,OTM1,market,90.0,29,20,1.45,0.4828,0.9,-0.58212,0.13338,0.19341,3.86813,True
ORCL,call,OTM1,market,100.0,31,20,1.55,0.5161,1.0,-0.58212,0.23446,0.36341,7.26813,False
