date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2025-08-22,ORCL,call,ITM,mid,20.0,10:00,10:02,target,0.2
2025-08-22,ORCL,call,ITM,mid,20.0,11:30,15:55,forced,-0.09286
2025-08-25,ORCL,call,ITM,mid,20.0,09:35,15:57,forced,-0.15084
2025-08-26,ORCL,call,ITM,mid,20.0,09:35,15:52,forced,-0.13939
2025-08-28,ORCL,call,ITM,mid,20.0,12:00,14:12,target,0.2
2025-08-28,ORCL,call,ITM,mid,20.0,14:30,15:59,forced,-0.25735
2025-08-29,ORCL,call,ITM,mid,20.0,09:35,15:48,forced,-0.9873
2025-09-02,ORCL,call,ITM,mid,20.0,09:35,09:47,target,0.2
2025-09-02,ORCL,call,ITM,mid,20.0,10:00,15:57,forced,0.0559
2025-09-03,ORCL,call,ITM,mid,20.0,09:35,15:59,forced,-0.25
2025-09-04,ORCL,call,ITM,mid,20.0,09:35,13:52,target,0.2
2025-09-04,ORCL,call,ITM,mid,20.0,15:00,15:54,forced,0.0283
2025-09-05,ORCL,call,ITM,mid,20.0,09:35,09:44,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,10:30,10:55,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,12:00,12:15,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,12:30,13:11,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,13:30,14:46,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,15:00,15:07,target,0.2
2025-09-05,ORCL,call,ITM,mid,20.0,15:30,15:59,forced,-0.37916
2025-09-08,ORCL,call,ITM,mid,20.0,10:30,15:51,forced,-0.07895
2025-09-09,ORCL,call,ITM,mid,20.0,09:35,15:45,target,0.2
2025-09-10,ORCL,call,ITM,mid,20.0,10:30,10:55,target,0.2
2025-09-10,ORCL,call,ITM,mid,20.0,11:30,15:59,forced,-0.49646
2025-09-12,ORCL,call,ITM,mid,20.0,10:30,10:34,target,0.2
2025-09-12,ORCL,call,ITM,mid,20.0,14:00,15:59,forced,-0.98624
2025-09-15,ORCL,call,ITM,mid,20.0,10:30,11:27,target,0.2
2025-09-15,ORCL,call,ITM,mid,20.0,11:30,15:59,forced,-0.12
2025-09-16,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.2398
2025-09-17,ORCL,call,ITM,mid,20.0,10:30,15:58,forced,0.03291
2025-09-18,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.34065
2025-09-19,ORCL,call,ITM,mid,20.0,10:30,10:33,target,0.2
2025-09-19,ORCL,call,ITM,mid,20.0,11:30,11:37,target,0.2
2025-09-19,ORCL,call,ITM,mid,20.0,14:30,14:58,target,0.2
2025-09-19,ORCL,call,ITM,mid,20.0,15:00,15:54,target,0.2
2025-09-22,ORCL,call,ITM,mid,20.0,10:30,10:40,target,0.2
2025-09-22,ORCL,call,ITM,mid,20.0,11:30,12:35,target,0.2
2025-09-22,ORCL,call,ITM,mid,20.0,13:00,15:59,forced,0.15616
2025-09-23,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,-0.06667
2025-09-24,ORCL,call,ITM,mid,20.0,10:30,15:52,target,0.2
2025-09-25,ORCL,call,ITM,mid,20.0,10:30,10:49,target,0.2
2025-09-25,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,-0.26911
2025-09-26,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.99091
2025-09-29,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.0625
2025-09-30,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,0.15883
2025-10-01,ORCL,call,ITM,mid,20.0,10:30,10:56,target,0.2
2025-10-01,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,-0.02256
2025-10-02,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,0.02778
2025-10-03,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,-0.99167
2025-10-06,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.10828
2025-10-07,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.33985
2025-10-08,ORCL,call,ITM,mid,20.0,10:30,13:30,target,0.2
2025-10-08,ORCL,call,ITM,mid,20.0,14:30,15:59,forced,-0.14483
2025-10-09,ORCL,call,ITM,mid,20.0,10:30,11:16,target,0.2
2025-10-09,ORCL,call,ITM,mid,20.0,14:30,15:59,forced,-0.13921
2025-10-10,ORCL,call,ITM,mid,20.0,10:30,10:33,target,0.2
2025-10-10,ORCL,call,ITM,mid,20.0,11:00,15:59,forced,-0.99423
2025-10-13,ORCL,call,ITM,mid,20.0,10:30,15:34,forced,0.096
2025-10-14,ORCL,call,ITM,mid,20.0,10:30,11:45,target,0.2
2025-10-14,ORCL,call,ITM,mid,20.0,13:00,15:59,forced,-0.11082
2025-10-15,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.22053
2025-10-16,ORCL,call,ITM,mid,20.0,10:30,13:07,target,0.2
2025-10-16,ORCL,call,ITM,mid,20.0,14:30,15:59,forced,-0.1545
2025-10-17,ORCL,call,ITM,mid,20.0,09:35,15:59,forced,-0.99469
2025-10-20,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.325
2025-10-21,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.27586
2025-10-22,ORCL,call,ITM,mid,20.0,10:30,15:57,forced,0.06703
2025-10-23,ORCL,call,ITM,mid,20.0,10:30,11:59,target,0.2
2025-10-23,ORCL,call,ITM,mid,20.0,12:00,15:59,forced,-0.19226
2025-10-24,ORCL,call,ITM,mid,20.0,10:30,10:59,target,0.2
2025-10-24,ORCL,call,ITM,mid,20.0,11:00,15:59,forced,-0.38
2025-10-27,ORCL,call,ITM,mid,20.0,10:30,15:56,forced,-0.02874
2025-10-28,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.21642
2025-10-29,ORCL,call,ITM,mid,20.0,10:30,11:30,target,0.2
2025-10-29,ORCL,call,ITM,mid,20.0,12:30,12:53,target,0.2
2025-10-29,ORCL,call,ITM,mid,20.0,13:00,15:59,forced,-0.13994
2025-10-30,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.75963
2025-10-31,ORCL,call,ITM,mid,20.0,10:00,10:02,target,0.2
2025-10-31,ORCL,call,ITM,mid,20.0,11:00,11:06,target,0.2
2025-10-31,ORCL,call,ITM,mid,20.0,12:00,15:49,target,0.2
2025-11-03,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.14201
2025-11-04,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.46181
2025-11-05,ORCL,call,ITM,mid,20.0,10:30,15:59,forced,-0.17323
2025-11-06,ORCL,call,ITM,mid,20.0,10:30,13:33,target,0.2
2025-11-06,ORCL,call,ITM,mid,20.0,14:30,15:59,forced,-0.22449
2025-11-07,ORCL,call,ITM,mid,20.0,09:35,15:59,forced,-0.41224
2025-11-10,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.245
2025-11-11,ORCL,call,ITM,mid,20.0,09:35,15:59,forced,0.0469
2025-11-13,ORCL,call,ITM,mid,20.0,09:35,15:59,forced,-0.67273
2025-11-14,ORCL,call,ITM,mid,20.0,10:00,10:09,target,0.2
2025-11-14,ORCL,call,ITM,mid,20.0,10:30,10:33,target,0.2
2025-11-14,ORCL,call,ITM,mid,20.0,11:00,11:17,target,0.2
2025-11-14,ORCL,call,ITM,mid,20.0,12:30,15:59,forced,-0.87073
2025-11-17,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.0137
2025-11-18,ORCL,call,ITM,mid,20.0,09:35,12:56,target,0.2
2025-11-18,ORCL,call,ITM,mid,20.0,13:00,15:59,forced,-0.11594
2025-11-19,ORCL,call,ITM,mid,20.0,10:00,15:59,forced,-0.02804
2025-11-20,ORCL,call,ITM,mid,20.0,10:00,15:58,forced,-0.96267
2025-11-24,ORCL,call,ITM,mid,20.0,10:00,15:57,forced,-0.22382
2025-11-25,ORCL,call,ITM,mid,20.0,09:35,10:32,target,0.2
2025-11-25,ORCL,call,ITM,mid,20.0,11:30,12:34,target,0.2
2025-11-26,ORCL,call,ITM,mid,20.0,10:00,10:09,target,0.2
