date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2026-01-05,ORCL,call,ITM,mid,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,mid,25.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,mid,30.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,mid,40.0,10:20,15:45,325.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,mid,50.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,market,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,market,25.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,market,30.0,10:20,15:45,325.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,market,40.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ITM,market,50.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,25.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,30.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,40.0,10:20,15:45,325.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,50.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,60.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,70.0,11:20,15:25,245.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,75.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,80.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,mid,90.0,11:50,15:45,235.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,25.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,30.0,10:05,15:45,340.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,40.0,10:25,15:25,300.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,50.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,60.0,11:20,15:25,245.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,70.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,75.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,ATM,market,80.0,11:50,15:45,235.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,25.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,30.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,40.0,10:05,15:45,340.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,50.0,10:25,15:25,300.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,60.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,70.0,11:00,15:45,285.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,75.0,11:20,15:25,245.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,80.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,mid,90.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
