date,symbol,direction,moneyness,fill_mode,T_pct,n_trades,total_minutes_in_position,basis,trade1_entry,trade1_exit,trade2_entry,trade2_exit,trade3_entry,trade3_exit
2025-07-11,TSLA,call,ITM,mid,20.0,5,366.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:57,10:00,10:24
2025-07-11,TSLA,call,ITM,mid,25.0,5,350.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:58,10:00,10:26
2025-07-11,TSLA,call,ITM,mid,30.0,4,355.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:58,10:00,14:22
2025-07-11,TSLA,call,ITM,mid,40.0,2,339.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:18,,
2025-07-11,TSLA,call,ITM,mid,50.0,2,357.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:36,,
2025-07-11,TSLA,call,ITM,mid,60.0,2,359.0,OPPORTUNITY/HINDSIGHT,09:35,09:58,10:00,15:36,,
2025-07-11,TSLA,call,ITM,mid,70.0,2,356.0,OPPORTUNITY/HINDSIGHT,09:35,10:24,10:30,15:37,,
2025-07-11,TSLA,call,ITM,mid,75.0,2,351.0,OPPORTUNITY/HINDSIGHT,09:35,10:25,10:35,15:36,,
2025-07-11,TSLA,call,ITM,mid,80.0,2,353.0,OPPORTUNITY/HINDSIGHT,09:35,10:26,10:35,15:37,,
2025-07-11,TSLA,call,ITM,mid,90.0,2,329.0,OPPORTUNITY/HINDSIGHT,09:35,14:22,14:55,15:37,,
2025-07-11,TSLA,call,ITM,mid,100.0,2,332.0,OPPORTUNITY/HINDSIGHT,09:35,14:25,14:55,15:37,,
2025-07-11,TSLA,call,ITM,market,20.0,5,370.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:58,10:00,10:25
2025-07-11,TSLA,call,ITM,market,25.0,5,351.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:58,10:00,10:26
2025-07-11,TSLA,call,ITM,market,30.0,4,353.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,10:26,10:30,14:22
2025-07-11,TSLA,call,ITM,market,40.0,2,339.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:18,,
2025-07-11,TSLA,call,ITM,market,50.0,2,357.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:36,,
2025-07-11,TSLA,call,ITM,market,60.0,2,360.0,OPPORTUNITY/HINDSIGHT,09:35,09:58,10:00,15:37,,
2025-07-11,TSLA,call,ITM,market,70.0,2,351.0,OPPORTUNITY/HINDSIGHT,09:35,10:25,10:35,15:36,,
2025-07-11,TSLA,call,ITM,market,75.0,2,352.0,OPPORTUNITY/HINDSIGHT,09:35,10:26,10:35,15:36,,
2025-07-11,TSLA,call,ITM,market,80.0,2,329.0,OPPORTUNITY/HINDSIGHT,09:35,14:22,14:55,15:37,,
2025-07-11,TSLA,call,ITM,market,90.0,2,329.0,OPPORTUNITY/HINDSIGHT,09:35,14:22,14:55,15:37,,
2025-07-11,TSLA,call,ITM,market,100.0,1,343.0,OPPORTUNITY/HINDSIGHT,09:35,15:18,,,,
2025-07-11,TSLA,call,ATM,mid,20.0,4,355.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:51,09:55,15:19
2025-07-11,TSLA,call,ATM,mid,25.0,5,353.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,09:58,10:00,10:25
2025-07-11,TSLA,call,ATM,mid,30.0,4,355.0,OPPORTUNITY/HINDSIGHT,09:35,09:48,09:50,10:25,10:30,14:25
2025-07-11,TSLA,call,ATM,mid,40.0,2,357.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:36,,
2025-07-11,TSLA,call,ATM,mid,50.0,2,358.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:37,,
2025-07-11,TSLA,call,ATM,mid,60.0,2,370.0,OPPORTUNITY/HINDSIGHT,09:35,09:51,09:55,15:49,,
2025-07-11,TSLA,call,ATM,mid,70.0,2,360.0,OPPORTUNITY/HINDSIGHT,09:35,09:58,10:00,15:37,,
2025-07-11,TSLA,call,ATM,mid,75.0,2,372.0,OPPORTUNITY/HINDSIGHT,09:35,09:58,10:00,15:49,,
