symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
TSLA,call,ITM,mid,20.0,485,220,2.205,0.5629,0.2,-0.36702,-0.04785,-0.10549,-23.20766,False
TSLA,call,ITM,mid,25.0,429,220,1.95,0.5012,0.25,-0.35937,-0.05398,-0.10525,-23.15529,False
TSLA,call,ITM,mid,30.0,411,220,1.868,0.4769,0.3,-0.34825,-0.03911,-0.07307,-16.0748,False
TSLA,call,ITM,mid,40.0,367,220,1.668,0.4169,0.4,-0.33231,-0.02701,-0.04506,-9.91411,False
TSLA,call,ITM,mid,50.0,334,220,1.518,0.3593,0.5,-0.32193,-0.02662,-0.04042,-8.89252,False
TSLA,call,ITM,mid,60.0,312,220,1.418,0.3109,0.6,-0.31403,-0.02986,-0.04235,-9.31749,False
TSLA,call,ITM,mid,70.0,291,220,1.323,0.2577,0.7,-0.28443,-0.03071,-0.04062,-8.93698,False
TSLA,call,ITM,mid,75.0,285,220,1.295,0.2456,0.75,-0.28334,-0.02953,-0.03826,-8.41733,False
TSLA,call,ITM,mid,80.0,277,220,1.259,0.2238,0.8,-0.27168,-0.03181,-0.04005,-8.81141,False
TSLA,call,ITM,mid,90.0,264,220,1.2,0.1742,0.9,-0.23056,-0.03357,-0.04028,-8.8617,False
TSLA,call,ITM,mid,100.0,257,220,1.168,0.1518,1.0,-0.21799,-0.03316,-0.03873,-8.52118,False
TSLA,call,ITM,market,20.0,444,220,2.018,0.518,0.2,-0.37438,-0.07684,-0.15508,-34.11671,False
TSLA,call,ITM,market,25.0,415,220,1.886,0.4819,0.25,-0.36268,-0.06741,-0.12717,-27.97634,False
TSLA,call,ITM,market,30.0,401,220,1.823,0.4688,0.3,-0.36403,-0.05271,-0.09608,-21.13826,False
TSLA,call,ITM,market,40.0,363,220,1.65,0.405,0.4,-0.34117,-0.04102,-0.06769,-14.89198,False
TSLA,call,ITM,market,50.0,321,220,1.459,0.324,0.5,-0.32548,-0.05803,-0.08468,-18.62856,False
TSLA,call,ITM,market,60.0,305,220,1.386,0.2918,0.6,-0.31582,-0.04858,-0.06735,-14.81604,False
TSLA,call,ITM,market,70.0,286,220,1.3,0.2483,0.7,-0.30163,-0.05297,-0.06886,-15.15008,False
TSLA,call,ITM,market,75.0,280,220,1.273,0.2321,0.75,-0.29483,-0.05228,-0.06654,-14.63846,False
TSLA,call,ITM,market,80.0,275,220,1.25,0.2109,0.8,-0.27447,-0.04786,-0.05982,-13.16107,False
TSLA,call,ITM,market,90.0,262,220,1.191,0.1756,0.9,-0.25418,-0.05154,-0.06138,-13.50371,False
TSLA,call,ITM,market,100.0,255,220,1.159,0.1451,1.0,-0.23096,-0.05235,-0.06068,-13.34938,False
TSLA,call,ATM,mid,20.0,473,221,2.14,0.6216,0.2,-0.55752,-0.08667,-0.1855,-40.99603,False
