date,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,TSLA240719C00247500,247.5,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2024-07-26,TSLA240726C00222500,222.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2024-08-02,TSLA240802C00212500,212.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2024-08-09,TSLA240809C00195000,195.0,REAL,3:45 PM,5.05,3:55 PM,4.76,1,505.0,-29.0,False,
2024-08-16,TSLA240816C00212500,212.5,REAL,3:45 PM,3.79,3:55 PM,4.08,1,379.0,29.0,True,
2024-08-23,TSLA240823C00215000,215.0,REAL,3:45 PM,5.44,3:55 PM,5.38,1,544.0,-6.0,False,
2024-08-30,TSLA240830C00210000,210.0,REAL,3:45 PM,1.9,3:55 PM,3.9,1,190.0,200.0,True,
2024-09-06,TSLA240906C00232500,232.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2024-09-13,TSLA240913C00227500,227.5,REAL,3:45 PM,2.44,3:55 PM,2.56,1,244.0,12.0,True,
2024-09-20,TSLA240920C00240000,240.0,REAL,3:45 PM,0.16,3:55 PM,0.04,7,112.0,-84.0,False,
2024-09-27,TSLA240927C00257500,257.5,REAL,3:45 PM,2.82,3:55 PM,2.7,1,282.0,-12.0,False,
2024-10-04,TSLA241004C00247500,247.5,REAL,3:45 PM,2.23,3:55 PM,2.58,1,223.0,35.0,True,
2024-10-11,TSLA241011C00220000,220.0,REAL,3:45 PM,0.04,3:55 PM,0.03,25,100.0,-25.0,False,
2024-10-18,TSLA241018C00220000,220.0,REAL,3:45 PM,0.99,3:55 PM,0.67,2,198.0,-64.0,False,
2024-10-25,TSLA241025C00257500,257.5,REAL,3:45 PM,10.99,3:55 PM,11.44,1,1099.0,45.0,True,
2024-11-01,TSLA241101C00252500,252.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2024-11-08,TSLA241108C00300000,300.0,REAL,3:45 PM,21.19,3:55 PM,21.25,1,2119.0,6.0,True,
2024-11-15,TSLA241115C00310000,310.0,REAL,3:45 PM,9.0,3:55 PM,10.95,1,900.0,195.0,True,
2024-11-22,TSLA241122C00342500,342.5,REAL,3:45 PM,9.76,3:55 PM,10.1,1,976.0,34.0,True,
2024-11-29,TSLA241129C00335000,335.0,REAL,3:45 PM,,3:55 PM,,,,,,no usable price in entry/exit window
2024-12-06,TSLA241206C00375000,375.0,REAL,3:45 PM,10.43,3:55 PM,13.65,1,1043.0,322.0,True,
2024-12-13,TSLA241213C00417500,417.5,REAL,3:45 PM,14.7,3:55 PM,18.35,1,1470.0,365.0,True,
2024-12-20,TSLA241220C00427500,427.5,REAL,3:45 PM,3.9,3:55 PM,0.06,1,390.0,-384.0,False,
2024-12-27,TSLA241227C00447500,447.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-01-03,TSLA250103C00380000,380.0,REAL,3:45 PM,29.85,3:55 PM,30.62,1,2985.0,77.0,True,
2025-01-10,TSLA250110C00390000,390.0,REAL,3:45 PM,4.56,3:55 PM,4.7,1,456.0,14.0,True,
2025-01-17,TSLA250117C00422500,422.5,REAL,3:45 PM,7.8,3:55 PM,5.32,1,780.0,-248.0,False,
2025-01-24,TSLA250124C00415000,415.0,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-01-31,TSLA250131C00402500,402.5,REAL,3:45 PM,1.66,3:55 PM,1.73,1,166.0,7.0,True,
2025-02-07,TSLA250207C00372500,372.5,REAL,3:45 PM,0.01,3:55 PM,0.01,100,100.0,0.0,False,
2025-02-14,TSLA250214C00360000,360.0,REAL,3:45 PM,0.02,3:55 PM,0.01,50,100.0,-50.0,False,
2025-02-21,TSLA250221C00352500,352.5,REAL,3:45 PM,0.01,3:55 PM,0.02,100,100.0,100.0,True,
2025-02-28,TSLA250228C00277500,277.5,REAL,3:45 PM,12.85,3:55 PM,12.55,1,1285.0,-30.0,False,
2025-03-07,TSLA250307C00262500,262.5,REAL,3:45 PM,0.2,3:55 PM,0.55,5,100.0,175.0,True,
2025-03-14,TSLA250314C00247500,247.5,REAL,3:45 PM,0.81,3:55 PM,1.99,2,162.0,236.0,True,
2025-03-21,TSLA250321C00237500,237.5,REAL,3:45 PM,8.7,3:55 PM,9.87,1,870.0,117.0,True,
