# All-weekday price-level-touch (percentage) — touch summary
# Lookback = 730 calendar days  |  data source: Alpaca Markets API
# Generated 2026-08-16 16:21:58

ticker,day,pct,base_ref,sessions,up_hits,up_rate,down_hits,down_rate,both_hits,both_rate,neither_hits,neither_rate,avg_up_swing_pct,avg_down_swing_pct,max_up_swing_pct,max_down_swing_pct,avg_up_swing,avg_down_swing,max_up_swing,max_down_swing,recommended_baseline
TSLA,Monday,0.0050,3:50 PM,95,71,0.7474,59,0.6211,35,0.3684,0,0.0000,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0050,3:51 PM,95,71,0.7474,59,0.6211,35,0.3684,0,0.0000,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0050,3:52 PM,95,71,0.7474,59,0.6211,35,0.3684,0,0.0000,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0050,3:53 PM,95,71,0.7474,59,0.6211,35,0.3684,0,0.0000,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0050,3:54 PM,95,70,0.7368,58,0.6105,33,0.3474,0,0.0000,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0050,3:55 PM,95,71,0.7474,61,0.6421,37,0.3895,0,0.0000,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0050,3:50–55 avg,95,71,0.7474,59,0.6211,35,0.3684,0,0.0000,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0075,3:50 PM,95,69,0.7263,57,0.6000,31,0.3263,0,0.0000,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0075,3:51 PM,95,70,0.7368,56,0.5895,31,0.3263,0,0.0000,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0075,3:52 PM,95,70,0.7368,56,0.5895,31,0.3263,0,0.0000,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0075,3:53 PM,95,69,0.7263,57,0.6000,31,0.3263,0,0.0000,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0075,3:54 PM,95,69,0.7263,56,0.5895,30,0.3158,0,0.0000,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0075,3:55 PM,95,69,0.7263,56,0.5895,30,0.3158,0,0.0000,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0075,3:50–55 avg,95,70,0.7368,56,0.5895,31,0.3263,0,0.0000,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0100,3:50 PM,95,66,0.6947,56,0.5895,27,0.2842,0,0.0000,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0100,3:51 PM,95,69,0.7263,55,0.5789,29,0.3053,0,0.0000,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0100,3:52 PM,95,69,0.7263,56,0.5895,30,0.3158,0,0.0000,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0100,3:53 PM,95,68,0.7158,56,0.5895,29,0.3053,0,0.0000,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0100,3:54 PM,95,68,0.7158,56,0.5895,29,0.3053,0,0.0000,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0100,3:55 PM,95,68,0.7158,55,0.5789,28,0.2947,0,0.0000,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0100,3:50–55 avg,95,67,0.7053,56,0.5895,28,0.2947,0,0.0000,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0125,3:50 PM,95,65,0.6842,53,0.5579,23,0.2421,0,0.0000,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0125,3:51 PM,95,65,0.6842,53,0.5579,23,0.2421,0,0.0000,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0125,3:52 PM,95,65,0.6842,54,0.5684,24,0.2526,0,0.0000,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0125,3:53 PM,95,66,0.6947,54,0.5684,25,0.2632,0,0.0000,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0125,3:54 PM,95,66,0.6947,53,0.5579,24,0.2526,0,0.0000,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0125,3:55 PM,95,64,0.6737,53,0.5579,23,0.2421,1,0.0105,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0125,3:50–55 avg,95,66,0.6947,54,0.5684,25,0.2632,0,0.0000,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0150,3:50 PM,95,63,0.6632,51,0.5368,20,0.2105,1,0.0105,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0150,3:51 PM,95,63,0.6632,51,0.5368,20,0.2105,1,0.0105,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0150,3:52 PM,95,64,0.6737,49,0.5158,19,0.2000,1,0.0105,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0150,3:53 PM,95,64,0.6737,51,0.5368,21,0.2211,1,0.0105,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0150,3:54 PM,95,61,0.6421,51,0.5368,19,0.2000,2,0.0211,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0150,3:55 PM,95,61,0.6421,50,0.5263,18,0.1895,2,0.0211,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0150,3:50–55 avg,95,64,0.6737,51,0.5368,21,0.2211,1,0.0105,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0200,3:50 PM,95,52,0.5474,41,0.4316,7,0.0737,9,0.0947,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0200,3:51 PM,95,52,0.5474,42,0.4421,8,0.0842,9,0.0947,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0200,3:52 PM,95,53,0.5579,44,0.4632,10,0.1053,8,0.0842,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0200,3:53 PM,95,53,0.5579,44,0.4632,9,0.0947,7,0.0737,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0200,3:54 PM,95,53,0.5579,46,0.4842,9,0.0947,5,0.0526,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0200,3:55 PM,95,53,0.5579,46,0.4842,10,0.1053,6,0.0632,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0200,3:50–55 avg,95,53,0.5579,44,0.4632,9,0.0947,7,0.0737,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0250,3:50 PM,95,47,0.4947,37,0.3895,4,0.0421,15,0.1579,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0250,3:51 PM,95,48,0.5053,36,0.3789,5,0.0526,16,0.1684,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0250,3:52 PM,95,47,0.4947,36,0.3789,4,0.0421,16,0.1684,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0250,3:53 PM,95,46,0.4842,38,0.4000,4,0.0421,15,0.1579,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0250,3:54 PM,95,46,0.4842,38,0.4000,5,0.0526,16,0.1684,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0250,3:55 PM,95,48,0.5053,40,0.4211,6,0.0632,13,0.1368,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0250,3:50–55 avg,95,47,0.4947,37,0.3895,4,0.0421,15,0.1579,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0300,3:50 PM,95,41,0.4316,35,0.3684,4,0.0421,23,0.2421,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0300,3:51 PM,95,42,0.4421,33,0.3474,4,0.0421,24,0.2526,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0300,3:52 PM,95,42,0.4421,33,0.3474,4,0.0421,24,0.2526,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0300,3:53 PM,95,41,0.4316,33,0.3474,4,0.0421,25,0.2632,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0300,3:54 PM,95,41,0.4316,35,0.3684,4,0.0421,23,0.2421,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0300,3:55 PM,95,38,0.4000,35,0.3684,4,0.0421,26,0.2737,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0300,3:50–55 avg,95,42,0.4421,34,0.3579,4,0.0421,23,0.2421,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0350,3:50 PM,95,35,0.3684,28,0.2947,4,0.0421,36,0.3789,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0350,3:51 PM,95,36,0.3789,28,0.2947,4,0.0421,35,0.3684,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0350,3:52 PM,95,36,0.3789,29,0.3053,4,0.0421,34,0.3579,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0350,3:53 PM,95,35,0.3684,29,0.3053,4,0.0421,35,0.3684,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0350,3:54 PM,95,34,0.3579,30,0.3158,3,0.0316,34,0.3579,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0350,3:55 PM,95,34,0.3579,29,0.3053,3,0.0316,35,0.3684,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0350,3:50–55 avg,95,36,0.3789,29,0.3053,4,0.0421,34,0.3579,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0400,3:50 PM,95,32,0.3368,21,0.2211,2,0.0211,44,0.4632,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0400,3:51 PM,95,33,0.3474,21,0.2211,3,0.0316,44,0.4632,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0400,3:52 PM,95,31,0.3263,20,0.2105,3,0.0316,47,0.4947,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0400,3:53 PM,95,31,0.3263,20,0.2105,3,0.0316,47,0.4947,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0400,3:54 PM,95,29,0.3053,22,0.2316,2,0.0211,46,0.4842,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
TSLA,Monday,0.0400,3:55 PM,95,30,0.3158,19,0.2000,3,0.0316,49,0.5158,0.026599,0.017005,0.125351,0.104524,9.4818,5.7203,31.035,25.02,
TSLA,Monday,0.0400,3:50–55 avg,95,31,0.3263,21,0.2211,3,0.0316,46,0.4842,0.027198,0.016433,0.122841,0.107324,9.6741,5.528,30.4817,25.7708,
TSLA,Monday,0.0500,3:50 PM,95,20,0.2105,6,0.0632,0,0.0000,69,0.7263,0.027569,0.016083,0.123083,0.109694,9.781,5.4212,30.535,26.41,
TSLA,Monday,0.0500,3:51 PM,95,20,0.2105,6,0.0632,0,0.0000,69,0.7263,0.027625,0.016029,0.123015,0.108435,9.8042,5.398,30.52,26.07,
TSLA,Monday,0.0500,3:52 PM,95,21,0.2211,6,0.0632,1,0.0105,69,0.7263,0.027658,0.015999,0.122924,0.105683,9.8112,5.391,30.5,25.33,
TSLA,Monday,0.0500,3:53 PM,95,20,0.2105,6,0.0632,1,0.0105,70,0.7368,0.027262,0.016373,0.123332,0.106763,9.6939,5.5083,30.59,25.62,YES
TSLA,Monday,0.0500,3:54 PM,95,18,0.1895,8,0.0842,0,0.0000,69,0.7263,0.026494,0.017094,0.119360,0.108824,9.4728,5.7294,29.71,26.175,
