# Friday price-level-touch — touch summary
# Lookback = 730 calendar days  |  data source: Alpaca Markets API
# Generated 2026-06-28 01:25:44

ticker,pct,thu_ref,fridays,up_hits,up_rate,down_hits,down_rate,both_hits,both_rate,neither_hits,neither_rate,avg_up_swing_pct,avg_down_swing_pct,max_up_swing_pct,max_down_swing_pct,avg_up_swing,avg_down_swing,max_up_swing,max_down_swing,recommended_baseline
TSLA,0.0200,3:50 PM,101,56,0.5545,41,0.4059,9,0.0891,13,0.1287,0.026512,0.018140,0.112281,0.113149,8.844,6.3598,28.955,30.11,
TSLA,0.0200,3:51 PM,101,55,0.5446,42,0.4158,9,0.0891,13,0.1287,0.026856,0.017808,0.113793,0.114679,8.9506,6.2532,29.305,30.57,
TSLA,0.0200,3:52 PM,101,57,0.5644,42,0.4158,9,0.0891,11,0.1089,0.026808,0.017851,0.111225,0.117394,8.9577,6.2461,28.71,31.39,YES
TSLA,0.0200,3:53 PM,100,54,0.5400,41,0.4100,7,0.0700,12,0.1200,0.027032,0.017587,0.109484,0.119041,9.037,6.1981,28.305,31.89,
TSLA,0.0200,3:54 PM,101,53,0.5248,42,0.4158,7,0.0693,13,0.1287,0.026806,0.017859,0.108070,0.119107,8.9515,6.2523,27.975,31.91,
TSLA,0.0200,3:55 PM,101,53,0.5248,41,0.4059,7,0.0693,14,0.1386,0.026354,0.018286,0.109227,0.120060,8.8185,6.3853,28.245,32.2,
TSLA,0.0200,3:50–55 avg,101,55,0.5446,41,0.4059,8,0.0792,13,0.1287,0.026681,0.017976,0.110677,0.117246,8.9115,6.2923,28.5825,31.345,
TSLA,0.0250,3:50 PM,101,48,0.4752,38,0.3762,4,0.0396,19,0.1881,0.026512,0.018140,0.112281,0.113149,8.844,6.3598,28.955,30.11,
TSLA,0.0250,3:51 PM,101,48,0.4752,38,0.3762,4,0.0396,19,0.1881,0.026856,0.017808,0.113793,0.114679,8.9506,6.2532,29.305,30.57,
TSLA,0.0250,3:52 PM,101,48,0.4752,37,0.3663,4,0.0396,20,0.1980,0.026808,0.017851,0.111225,0.117394,8.9577,6.2461,28.71,31.39,YES
TSLA,0.0250,3:53 PM,100,48,0.4800,36,0.3600,4,0.0400,20,0.2000,0.027032,0.017587,0.109484,0.119041,9.037,6.1981,28.305,31.89,
TSLA,0.0250,3:54 PM,101,48,0.4752,38,0.3762,4,0.0396,19,0.1881,0.026806,0.017859,0.108070,0.119107,8.9515,6.2523,27.975,31.91,
TSLA,0.0250,3:55 PM,101,48,0.4752,37,0.3663,3,0.0297,19,0.1881,0.026354,0.018286,0.109227,0.120060,8.8185,6.3853,28.245,32.2,
TSLA,0.0250,3:50–55 avg,101,49,0.4851,37,0.3663,5,0.0495,20,0.1980,0.026681,0.017976,0.110677,0.117246,8.9115,6.2923,28.5825,31.345,
TSLA,0.0300,3:50 PM,101,43,0.4257,31,0.3069,4,0.0396,31,0.3069,0.026512,0.018140,0.112281,0.113149,8.844,6.3598,28.955,30.11,
TSLA,0.0300,3:51 PM,101,45,0.4455,31,0.3069,4,0.0396,29,0.2871,0.026856,0.017808,0.113793,0.114679,8.9506,6.2532,29.305,30.57,
TSLA,0.0300,3:52 PM,101,40,0.3960,31,0.3069,2,0.0198,32,0.3168,0.026808,0.017851,0.111225,0.117394,8.9577,6.2461,28.71,31.39,YES
TSLA,0.0300,3:53 PM,100,41,0.4100,31,0.3100,3,0.0300,31,0.3100,0.027032,0.017587,0.109484,0.119041,9.037,6.1981,28.305,31.89,
TSLA,0.0300,3:54 PM,101,41,0.4059,33,0.3267,4,0.0396,31,0.3069,0.026806,0.017859,0.108070,0.119107,8.9515,6.2523,27.975,31.91,
TSLA,0.0300,3:55 PM,101,41,0.4059,30,0.2970,2,0.0198,32,0.3168,0.026354,0.018286,0.109227,0.120060,8.8185,6.3853,28.245,32.2,
