# Friday price-level-touch — touch summary
# Lookback = 730 calendar days  |  data source: Alpaca Markets API
# Generated 2026-06-28 00:51:48

ticker,threshold,thu_ref,fridays,up_hits,up_rate,down_hits,down_rate,both_hits,both_rate,neither_hits,neither_rate,avg_up_swing,avg_down_swing,max_up_swing,max_down_swing,recommended_baseline
TSLA,8.00,3:50 PM,101,50,0.4950,37,0.3663,7,0.0693,21,0.2079,8.844,6.3598,31.55,30.11,
TSLA,8.00,3:51 PM,101,51,0.5050,37,0.3663,8,0.0792,21,0.2079,8.9506,6.2532,32.06,30.57,
TSLA,8.00,3:52 PM,101,52,0.5149,37,0.3663,8,0.0792,20,0.1980,8.9577,6.2461,31.85,31.39,YES
TSLA,8.00,3:53 PM,100,51,0.5100,37,0.3700,7,0.0700,19,0.1900,9.037,6.1981,31.18,31.89,
TSLA,8.00,3:54 PM,101,50,0.4950,37,0.3663,5,0.0495,19,0.1881,8.9515,6.2523,32.12,31.91,
TSLA,8.00,3:55 PM,101,50,0.4950,38,0.3762,6,0.0594,19,0.1881,8.8185,6.3853,32.39,32.2,
TSLA,8.00,3:50–55 avg,101,51,0.5050,37,0.3663,7,0.0693,20,0.1980,8.9115,6.2923,31.825,31.345,
AAPL,6.00,3:50 PM,101,13,0.1287,11,0.1089,0,0.0000,77,0.7624,2.8656,2.3269,11.52,14.54,
AAPL,6.00,3:51 PM,101,14,0.1386,11,0.1089,1,0.0099,77,0.7624,2.8858,2.3067,12.27,14.99,
AAPL,6.00,3:52 PM,101,14,0.1386,10,0.0990,0,0.0000,77,0.7624,2.8957,2.2968,13.74,14.96,YES
AAPL,6.00,3:53 PM,101,14,0.1386,11,0.1089,0,0.0000,76,0.7525,2.8993,2.2932,13.65,15.055,
AAPL,6.00,3:54 PM,101,13,0.1287,13,0.1287,1,0.0099,76,0.7525,2.888,2.3046,14.825,15.54,
AAPL,6.00,3:55 PM,101,13,0.1287,12,0.1188,0,0.0000,76,0.7525,2.8863,2.3062,15.9,16.295,
AAPL,6.00,3:50–55 avg,101,13,0.1287,11,0.1089,1,0.0099,78,0.7723,2.8868,2.3057,13.6508,15.23,
NVDA,5.00,3:50 PM,101,14,0.1386,26,0.2574,0,0.0000,61,0.6040,2.2404,2.7039,15.35,14.92,
NVDA,5.00,3:51 PM,101,14,0.1386,25,0.2475,0,0.0000,62,0.6139,2.3046,2.6397,15.585,14.81,
NVDA,5.00,3:52 PM,101,14,0.1386,25,0.2475,0,0.0000,62,0.6139,2.2654,2.6789,15.735,14.77,YES
NVDA,5.00,3:53 PM,101,15,0.1485,25,0.2475,1,0.0099,62,0.6139,2.2699,2.6745,15.48,14.92,
NVDA,5.00,3:54 PM,101,15,0.1485,24,0.2376,1,0.0099,63,0.6238,2.2546,2.6898,15.21,14.95,
NVDA,5.00,3:55 PM,101,13,0.1287,24,0.2376,0,0.0000,64,0.6337,2.2568,2.6875,15.145,14.575,
NVDA,5.00,3:50–55 avg,101,14,0.1386,24,0.2376,0,0.0000,63,0.6238,2.2653,2.679,15.4175,14.8242,
MSFT,10.00,3:50 PM,101,9,0.0891,13,0.1287,0,0.0000,79,0.7822,4.0061,4.1001,24.715,14.43,
MSFT,10.00,3:51 PM,101,10,0.0990,13,0.1287,0,0.0000,78,0.7723,4.0966,4.0096,24.88,14.46,
MSFT,10.00,3:52 PM,101,9,0.0891,13,0.1287,0,0.0000,79,0.7822,4.0826,4.0237,25.145,14.755,YES
MSFT,10.00,3:53 PM,101,10,0.0990,13,0.1287,0,0.0000,78,0.7723,4.1054,4.0008,24.72,14.725,
MSFT,10.00,3:54 PM,101,10,0.0990,14,0.1386,0,0.0000,77,0.7624,4.1358,3.9704,24.43,14.865,
MSFT,10.00,3:55 PM,101,10,0.0990,13,0.1287,0,0.0000,78,0.7723,4.14,3.9663,24.06,14.87,
MSFT,10.00,3:50–55 avg,101,10,0.0990,13,0.1287,0,0.0000,78,0.7723,4.0944,4.0118,24.6217,14.5817,
ORCL,7.00,3:50 PM,101,13,0.1287,16,0.1584,0,0.0000,72,0.7129,2.7204,3.4395,21.85,27.435,
ORCL,7.00,3:51 PM,99,13,0.1313,16,0.1616,0,0.0000,70,0.7071,2.7136,3.4929,22.43,27.95,
ORCL,7.00,3:52 PM,100,13,0.1300,17,0.1700,0,0.0000,70,0.7000,2.7382,3.4587,22.5,27.98,YES
ORCL,7.00,3:53 PM,100,13,0.1300,17,0.1700,0,0.0000,70,0.7000,2.7604,3.4383,22.67,28.0,
ORCL,7.00,3:54 PM,101,13,0.1287,17,0.1683,0,0.0000,71,0.7030,2.7422,3.4177,22.87,27.78,
ORCL,7.00,3:55 PM,101,14,0.1386,17,0.1683,0,0.0000,70,0.6931,2.7645,3.3954,22.83,26.95,
ORCL,7.00,3:50–55 avg,101,13,0.1287,17,0.1683,0,0.0000,71,0.7030,2.7434,3.4165,22.525,27.6825,
