"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 16:59:30  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:20–3:25 PM  |  Optimal exit frame = 3:50–3:55 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,MSFT240712P00452500,452.5,REAL,3:20–3:25 PM,0.01,3:50–3:55 PM,0.282,0.272,101,101.0,2747.2,True,
2024-07-19,P,MSFT240719P00432500,432.5,REAL,3:20–3:25 PM,0.0133,3:50–3:55 PM,0.01,-0.0033,75,100.0,-25.0,False,
2024-07-26,P,MSFT240726P00420000,420.0,REAL,3:20–3:25 PM,0.012,3:50–3:55 PM,0.01,-0.002,84,100.8,-16.8,False,
2024-08-02,P,MSFT240802P00415000,415.0,REAL,3:20–3:25 PM,8.135,3:50–3:55 PM,8.254,0.119,1,813.5,11.9,True,
2024-08-09,P,MSFT240809P00405000,405.0,REAL,3:20–3:25 PM,0.176,3:50–3:55 PM,0.0175,-0.1585,6,105.6,-95.1,False,
2024-08-16,P,MSFT240816P00420000,420.0,REAL,3:20–3:25 PM,1.1075,3:50–3:55 PM,1.388,0.2805,1,110.75,28.05,True,
2024-08-23,P,MSFT240823P00417500,417.5,REAL,3:20–3:25 PM,1.636,3:50–3:55 PM,1.455,-0.181,1,163.6,-18.1,False,
2024-08-30,P,MSFT240830P00415000,415.0,REAL,3:20–3:25 PM,1.1233,3:50–3:55 PM,0.15,-0.9733,1,112.33,-97.33,False,
2024-09-06,P,MSFT240906P00410000,410.0,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2024-09-13,P,MSFT240913P00425000,425.0,REAL,3:20–3:25 PM,0.02,3:50–3:55 PM,0.01,-0.01,51,102.0,-51.0,False,
2024-09-20,P,MSFT240920P00440000,440.0,REAL,3:20–3:25 PM,3.7667,3:50–3:55 PM,4.12,0.3533,1,376.67,35.33,True,
2024-09-27,P,MSFT240927P00430000,430.0,REAL,3:20–3:25 PM,1.1733,3:50–3:55 PM,2.06,0.8867,1,117.33,88.67,True,
2024-10-04,P,MSFT241004P00417500,417.5,REAL,3:20–3:25 PM,0.416,3:50–3:55 PM,1.256,0.84,3,124.8,252.0,True,
2024-10-11,P,MSFT241011P00415000,415.0,REAL,3:20–3:25 PM,0.06,3:50–3:55 PM,0.015,-0.045,17,102.0,-76.5,False,
2024-10-18,P,MSFT241018P00415000,415.0,REAL,3:20–3:25 PM,0.0267,3:50–3:55 PM,0.0125,-0.0142,38,101.33,-53.83,False,
2024-10-25,P,MSFT241025P00427500,427.5,REAL,3:20–3:25 PM,0.2233,3:50–3:55 PM,0.1925,-0.0308,5,111.67,-15.42,False,
2024-11-01,P,MSFT241101P00410000,410.0,REAL,3:20–3:25 PM,0.0225,3:50–3:55 PM,0.166,0.1435,45,101.25,645.75,True,
2024-11-08,P,MSFT241108P00425000,425.0,REAL,3:20–3:25 PM,2.07,3:50–3:55 PM,2.76,0.69,1,207.0,69.0,True,
2024-11-15,P,MSFT241115P00422500,422.5,REAL,3:20–3:25 PM,7.26,3:50–3:55 PM,7.7,0.44,1,726.0,44.0,True,
2024-11-22,P,MSFT241122P00412500,412.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2024-11-29,P,MSFT241129P00420000,420.0,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,P,MSFT241206P00445000,445.0,REAL,3:20–3:25 PM,0.68,3:50–3:55 PM,0.92,0.24,2,136.0,48.0,True,
2024-12-13,P,MSFT241213P00450000,450.0,REAL,3:20–3:25 PM,2.87,3:50–3:55 PM,2.03,-0.84,1,287.0,-84.0,False,
2024-12-20,P,MSFT241220P00432500,432.5,REAL,3:20–3:25 PM,0.1167,3:50–3:55 PM,0.1133,-0.0033,9,105.0,-3.0,False,
2024-12-27,P,MSFT241227P00435000,435.0,REAL,3:20–3:25 PM,5.8,3:50–3:55 PM,4.4125,-1.3875,1,580.0,-138.75,False,
2025-01-03,P,MSFT250103P00420000,420.0,REAL,3:20–3:25 PM,0.03,3:50–3:55 PM,0.018,-0.012,34,102.0,-40.8,False,
2025-01-10,P,MSFT250110P00422500,422.5,REAL,3:20–3:25 PM,2.17,3:50–3:55 PM,2.5225,0.3525,1,217.0,35.25,True,
2025-01-17,P,MSFT250117P00432500,432.5,REAL,3:20–3:25 PM,2.175,3:50–3:55 PM,2.475,0.3,1,217.5,30.0,True,
2025-01-24,P,MSFT250124P00442500,442.5,REAL,3:20–3:25 PM,0.304,3:50–3:55 PM,0.036,-0.268,4,121.6,-107.2,False,
2025-01-31,P,MSFT250131P00417500,417.5,REAL,3:20–3:25 PM,1.6,3:50–3:55 PM,1.134,-0.466,1,160.0,-46.6,False,
2025-02-07,P,MSFT250207P00417500,417.5,REAL,3:20–3:25 PM,8.835,3:50–3:55 PM,7.6567,-1.1783,1,883.5,-117.83,False,
2025-02-14,P,MSFT250214P00407500,407.5,REAL,3:20–3:25 PM,0.766,3:50–3:55 PM,0.156,-0.61,2,153.2,-122.0,False,
2025-02-21,P,MSFT250221P00417500,417.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-02-28,P,MSFT250228P00392500,392.5,REAL,3:20–3:25 PM,0.926,3:50–3:55 PM,0.022,-0.904,2,185.2,-180.8,False,
2025-03-07,P,MSFT250307P00392500,392.5,REAL,3:20–3:25 PM,1.08,3:50–3:55 PM,0.88,-0.2,1,108.0,-20.0,False,
2025-03-14,P,MSFT250314P00380000,380.0,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-03-21,P,MSFT250321P00385000,385.0,REAL,3:20–3:25 PM,0.366,3:50–3:55 PM,0.034,-0.332,3,109.8,-99.6,False,
2025-03-28,P,MSFT250328P00387500,387.5,REAL,3:20–3:25 PM,9.625,3:50–3:55 PM,9.1967,-0.4283,1,962.5,-42.83,False,
2025-04-04,P,MSFT250404P00365000,365.0,REAL,3:20–3:25 PM,2.5825,3:50–3:55 PM,3.726,1.1435,1,258.25,114.35,True,
2025-04-11,P,MSFT250411P00382500,382.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-04-18,P,MSFT250417P00372500,372.5,REAL,3:20–3:25 PM,4.46,3:50–3:55 PM,5.02,0.56,1,446.0,56.0,True,Fri closed → Thu expiry
2025-04-25,P,MSFT250425P00387500,387.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-05-02,P,MSFT250502P00432500,432.5,REAL,3:20–3:25 PM,0.025,3:50–3:55 PM,0.01,-0.015,40,100.0,-60.0,False,
2025-05-09,P,MSFT250509P00440000,440.0,REAL,3:20–3:25 PM,1.01,3:50–3:55 PM,0.84,-0.17,1,101.0,-17.0,False,
2025-05-16,P,MSFT250516P00450000,450.0,REAL,3:20–3:25 PM,0.04,3:50–3:55 PM,0.018,-0.022,26,104.0,-57.2,False,
2025-05-23,P,MSFT250523P00450000,450.0,REAL,3:20–3:25 PM,0.15,3:50–3:55 PM,0.122,-0.028,7,105.0,-19.6,False,
2025-05-30,P,MSFT250530P00460000,460.0,REAL,3:20–3:25 PM,0.92,3:50–3:55 PM,1.086,0.166,2,184.0,33.2,True,
2025-06-06,P,MSFT250606P00470000,470.0,REAL,3:20–3:25 PM,0.224,3:50–3:55 PM,0.094,-0.13,5,112.0,-65.0,False,
2025-06-13,P,MSFT250613P00477500,477.5,REAL,3:20–3:25 PM,3.155,3:50–3:55 PM,3.21,0.055,1,315.5,5.5,True,
2025-06-20,P,MSFT250620P00482500,482.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-06-27,P,MSFT250627P00497500,497.5,REAL,3:20–3:25 PM,2.3525,3:50–3:55 PM,2.8,0.4475,1,235.25,44.75,True,
2025-07-04,P,MSFT250703P00495000,495.0,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-07-11,P,MSFT250711P00500000,500.0,REAL,3:20–3:25 PM,0.02,3:50–3:55 PM,0.01,-0.01,51,102.0,-51.0,False,
2025-07-18,P,MSFT250718P00510000,510.0,REAL,3:20–3:25 PM,0.04,3:50–3:55 PM,0.176,0.136,26,104.0,353.6,True,
2025-07-25,P,MSFT250725P00510000,510.0,REAL,3:20–3:25 PM,0.01,3:50–3:55 PM,0.01,0.0,101,101.0,0.0,False,
2025-08-01,P,MSFT250801P00535000,535.0,REAL,3:20–3:25 PM,10.6367,3:50–3:55 PM,10.45,-0.1867,1,1063.67,-18.67,False,
2025-08-08,P,MSFT250808P00525000,525.0,REAL,3:20–3:25 PM,2.628,3:50–3:55 PM,4.595,1.967,1,262.8,196.7,True,
2025-08-15,P,MSFT250815P00520000,520.0,REAL,3:20–3:25 PM,0.044,3:50–3:55 PM,0.312,0.268,23,101.2,616.4,True,
2025-08-22,P,MSFT250822P00505000,505.0,REAL,3:20–3:25 PM,0.05,3:50–3:55 PM,0.02,-0.03,20,100.0,-60.0,False,
2025-08-29,P,MSFT250829P00510000,510.0,REAL,3:20–3:25 PM,1.365,3:50–3:55 PM,2.6,1.235,1,136.5,123.5,True,
2025-09-05,P,MSFT250905P00510000,510.0,REAL,3:20–3:25 PM,15.725,3:50–3:55 PM,15.845,0.12,1,1572.5,12.0,True,
2025-09-12,P,MSFT250912P00505000,505.0,REAL,3:20–3:25 PM,0.01,3:50–3:55 PM,0.01,0.0,100,100.0,0.0,False,
2025-09-19,P,MSFT250919P00510000,510.0,REAL,3:20–3:25 PM,0.34,3:50–3:55 PM,0.076,-0.264,3,102.0,-79.2,False,
2025-09-26,P,MSFT250926P00510000,510.0,REAL,3:20–3:25 PM,0.1525,3:50–3:55 PM,0.118,-0.0345,7,106.75,-24.15,False,
2025-10-03,P,MSFT251003P00515000,515.0,REAL,3:20–3:25 PM,0.05,3:50–3:55 PM,0.015,-0.035,21,105.0,-73.5,False,
2025-10-10,P,MSFT251010P00520000,520.0,REAL,3:20–3:25 PM,6.11,3:50–3:55 PM,8.6967,2.5867,1,611.0,258.67,True,
2025-10-17,P,MSFT251017P00510000,510.0,REAL,3:20–3:25 PM,0.0333,3:50–3:55 PM,0.035,0.0017,31,103.33,5.17,True,
2025-10-24,P,MSFT251024P00520000,520.0,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-10-31,P,MSFT251031P00530000,530.0,REAL,3:20–3:25 PM,11.935,3:50–3:55 PM,11.6275,-0.3075,1,1193.5,-30.75,False,
2025-11-07,P,MSFT251107P00497500,497.5,REAL,3:20–3:25 PM,1.3125,3:50–3:55 PM,0.472,-0.8405,1,131.25,-84.05,False,
2025-11-14,P,MSFT251114P00497500,497.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-11-21,P,MSFT251121P00477500,477.5,REAL,3:20–3:25 PM,3.2,3:50–3:55 PM,4.7633,1.5633,1,320.0,156.33,True,
2025-11-28,P,MSFT251128P00487500,487.5,REAL,3:20–3:25 PM,,3:50–3:55 PM,,,,,,,no usable price in entry/exit frame
2025-12-05,P,MSFT251205P00482500,482.5,REAL,3:20–3:25 PM,0.73,3:50–3:55 PM,0.54,-0.19,2,146.0,-38.0,False,
