"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 16:57:43  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 2:58–3:03 PM  |  Optimal exit frame = 3:31–3:36 PM

DETAIL — one row per Friday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,C,NVDA240712C00130000,130.0,REAL,2:58–3:03 PM,1.828,3:31–3:36 PM,0.592,-1.236,1,182.8,-123.6,False,
2024-07-19,C,NVDA240719C00120000,120.0,REAL,2:58–3:03 PM,0.04,3:31–3:36 PM,0.022,-0.018,26,104.0,-46.8,False,
2024-07-26,C,NVDA240726C00115000,115.0,REAL,2:58–3:03 PM,0.024,3:31–3:36 PM,0.016,-0.008,42,100.8,-33.6,False,
2024-08-02,C,NVDA240802C00105000,105.0,REAL,2:58–3:03 PM,0.948,3:31–3:36 PM,1.342,0.394,2,189.6,78.8,True,
2024-08-09,C,NVDA240809C00105000,105.0,REAL,2:58–3:03 PM,0.206,3:31–3:36 PM,0.104,-0.102,5,103.0,-51.0,False,
2024-08-16,C,NVDA240816C00120000,120.0,REAL,2:58–3:03 PM,4.51,3:31–3:36 PM,4.392,-0.118,1,451.0,-11.8,False,
2024-08-23,C,NVDA240823C00125000,125.0,REAL,2:58–3:03 PM,3.178,3:31–3:36 PM,3.608,0.43,1,317.8,43.0,True,
2024-08-30,C,NVDA240830C00120000,120.0,REAL,2:58–3:03 PM,0.084,3:31–3:36 PM,0.026,-0.058,12,100.8,-69.6,False,
2024-09-06,C,NVDA240906C00110000,110.0,REAL,2:58–3:03 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,
2024-09-13,C,NVDA240913C00120000,120.0,REAL,2:58–3:03 PM,0.042,3:31–3:36 PM,0.016,-0.026,24,100.8,-62.4,False,
2024-09-20,C,NVDA240920C00115000,115.0,REAL,2:58–3:03 PM,1.14,3:31–3:36 PM,1.666,0.526,1,114.0,52.6,True,
2024-09-27,C,NVDA240927C00125000,125.0,REAL,2:58–3:03 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,
2024-10-04,C,NVDA241004C00125000,125.0,REAL,2:58–3:03 PM,0.11,3:31–3:36 PM,0.038,-0.072,10,110.0,-72.0,False,
2024-10-11,C,NVDA241011C00135000,135.0,REAL,2:58–3:03 PM,0.102,3:31–3:36 PM,0.032,-0.07,10,102.0,-70.0,False,
2024-10-18,C,NVDA241018C00140000,140.0,REAL,2:58–3:03 PM,0.02,3:31–3:36 PM,0.012,-0.008,50,100.0,-40.0,False,
2024-10-25,C,NVDA241025C00140000,140.0,REAL,2:58–3:03 PM,1.99,3:31–3:36 PM,2.04,0.05,1,199.0,5.0,True,
2024-11-01,C,NVDA241101C00135000,135.0,REAL,2:58–3:03 PM,0.616,3:31–3:36 PM,0.662,0.046,2,123.2,9.2,True,
2024-11-08,C,NVDA241108C00150000,150.0,REAL,2:58–3:03 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,
2024-11-15,C,NVDA241115C00145000,145.0,REAL,2:58–3:03 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,
2024-11-22,C,NVDA241122C00145000,145.0,REAL,2:58–3:03 PM,0.022,3:31–3:36 PM,0.01,-0.012,46,101.2,-55.2,False,
2024-11-29,C,NVDA241129C00135000,135.0,REAL,2:58–3:03 PM,,3:31–3:36 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,C,NVDA241206C00145000,145.0,REAL,2:58–3:03 PM,0.014,3:31–3:36 PM,0.01,-0.004,72,100.8,-28.8,False,
