"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 16:58:03  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:25–3:30 PM  |  Optimal exit frame = 3:51–3:56 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,NVDA240712P00130000,130.0,REAL,3:25–3:30 PM,0.028,3:51–3:56 PM,0.634,0.606,36,100.8,2181.6,True,
2024-07-19,P,NVDA240719P00120000,120.0,REAL,3:25–3:30 PM,1.286,3:51–3:56 PM,2.136,0.85,1,128.6,85.0,True,
2024-07-26,P,NVDA240726P00115000,115.0,REAL,3:25–3:30 PM,2.218,3:51–3:56 PM,2.496,0.278,1,221.8,27.8,True,
2024-08-02,P,NVDA240802P00105000,105.0,REAL,3:25–3:30 PM,0.142,3:51–3:56 PM,0.026,-0.116,8,113.6,-92.8,False,
2024-08-09,P,NVDA240809P00105000,105.0,REAL,3:25–3:30 PM,0.368,3:51–3:56 PM,0.486,0.118,3,110.4,35.4,True,
2024-08-16,P,NVDA240816P00120000,120.0,REAL,3:25–3:30 PM,0.01,3:51–3:56 PM,0.01,0.0,100,100.0,0.0,False,
2024-08-23,P,NVDA240823P00125000,125.0,REAL,3:25–3:30 PM,0.01,3:51–3:56 PM,0.01,0.0,100,100.0,0.0,False,
2024-08-30,P,NVDA240830P00120000,120.0,REAL,3:25–3:30 PM,1.08,3:51–3:56 PM,0.88,-0.2,1,108.0,-20.0,False,
2024-09-06,P,NVDA240906P00110000,110.0,REAL,3:25–3:30 PM,6.584,3:51–3:56 PM,7.1,0.516,1,658.4,51.6,True,
2024-09-13,P,NVDA240913P00120000,120.0,REAL,3:25–3:30 PM,1.004,3:51–3:56 PM,1.034,0.03,1,100.4,3.0,True,
2024-09-20,P,NVDA240920P00115000,115.0,REAL,3:25–3:30 PM,0.02,3:51–3:56 PM,0.024,0.004,50,100.0,20.0,True,
2024-09-27,P,NVDA240927P00125000,125.0,REAL,3:25–3:30 PM,4.745,3:51–3:56 PM,3.816,-0.929,1,474.5,-92.9,False,
2024-10-04,P,NVDA241004P00125000,125.0,REAL,3:25–3:30 PM,0.548,3:51–3:56 PM,0.216,-0.332,2,109.6,-66.4,False,
2024-10-11,P,NVDA241011P00135000,135.0,REAL,3:25–3:30 PM,0.212,3:51–3:56 PM,0.226,0.014,5,106.0,7.0,True,
2024-10-18,P,NVDA241018P00140000,140.0,REAL,3:25–3:30 PM,1.848,3:51–3:56 PM,2.002,0.154,1,184.8,15.4,True,
2024-10-25,P,NVDA241025P00140000,140.0,REAL,3:25–3:30 PM,0.014,3:51–3:56 PM,0.01,-0.004,72,100.8,-28.8,False,
2024-11-01,P,NVDA241101P00135000,135.0,REAL,3:25–3:30 PM,0.038,3:51–3:56 PM,0.04,0.002,27,102.6,5.4,True,
2024-11-08,P,NVDA241108P00150000,150.0,REAL,3:25–3:30 PM,2.674,3:51–3:56 PM,2.3833,-0.2907,1,267.4,-29.07,False,
2024-11-15,P,NVDA241115P00145000,145.0,REAL,3:25–3:30 PM,2.98,3:51–3:56 PM,2.976,-0.004,1,298.0,-0.4,False,
2024-11-22,P,NVDA241122P00145000,145.0,REAL,3:25–3:30 PM,3.104,3:51–3:56 PM,3.236,0.132,1,310.4,13.2,True,
2024-11-29,P,NVDA241129P00135000,135.0,REAL,3:25–3:30 PM,,3:51–3:56 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,P,NVDA241206P00145000,145.0,REAL,3:25–3:30 PM,2.904,3:51–3:56 PM,2.854,-0.05,1,290.4,-5.0,False,
2024-12-13,P,NVDA241213P00140000,140.0,REAL,3:25–3:30 PM,6.03,3:51–3:56 PM,6.008,-0.022,1,603.0,-2.2,False,
2024-12-20,P,NVDA241220P00130000,130.0,REAL,3:25–3:30 PM,0.012,3:51–3:56 PM,0.01,-0.002,84,100.8,-16.8,False,
2024-12-27,P,NVDA241227P00140000,140.0,REAL,3:25–3:30 PM,3.25,3:51–3:56 PM,3.096,-0.154,1,325.0,-15.4,False,
2025-01-03,P,NVDA250103P00140000,140.0,REAL,3:25–3:30 PM,0.01,3:51–3:56 PM,0.01,0.0,100,100.0,0.0,False,
2025-01-10,P,NVDA250110P00135000,135.0,REAL,3:25–3:30 PM,0.06,3:51–3:56 PM,0.024,-0.036,17,102.0,-61.2,False,
2025-01-17,P,NVDA250117P00135000,135.0,REAL,3:25–3:30 PM,0.012,3:51–3:56 PM,0.01,-0.002,84,100.8,-16.8,False,
2025-01-24,P,NVDA250124P00150000,150.0,REAL,3:25–3:30 PM,7.908,3:51–3:56 PM,7.605,-0.303,1,790.8,-30.3,False,
2025-01-31,P,NVDA250131P00125000,125.0,REAL,3:25–3:30 PM,4.924,3:51–3:56 PM,4.888,-0.036,1,492.4,-3.6,False,
2025-02-07,P,NVDA250207P00130000,130.0,REAL,3:25–3:30 PM,1.092,3:51–3:56 PM,0.354,-0.738,1,109.2,-73.8,False,
2025-02-14,P,NVDA250214P00135000,135.0,REAL,3:25–3:30 PM,0.012,3:51–3:56 PM,0.01,-0.002,84,100.8,-16.8,False,
2025-02-21,P,NVDA250221P00140000,140.0,REAL,3:25–3:30 PM,4.91,3:51–3:56 PM,5.382,0.472,1,491.0,47.2,True,
2025-02-28,P,NVDA250228P00120000,120.0,REAL,3:25–3:30 PM,0.072,3:51–3:56 PM,0.018,-0.054,14,100.8,-75.6,False,
2025-03-07,P,NVDA250307P00110000,110.0,REAL,3:25–3:30 PM,0.024,3:51–3:56 PM,0.012,-0.012,42,100.8,-50.4,False,
2025-03-14,P,NVDA250314P00120000,120.0,REAL,3:25–3:30 PM,0.07,3:51–3:56 PM,0.01,-0.06,15,105.0,-90.0,False,
2025-03-21,P,NVDA250321P00115000,115.0,REAL,3:25–3:30 PM,0.032,3:51–3:56 PM,0.01,-0.022,32,102.4,-70.4,False,
2025-03-28,P,NVDA250328P00110000,110.0,REAL,3:25–3:30 PM,0.166,3:51–3:56 PM,0.454,0.288,7,116.2,201.6,True,
2025-04-04,P,NVDA250404P00100000,100.0,REAL,3:25–3:30 PM,4.814,3:51–3:56 PM,5.47,0.656,1,481.4,65.6,True,
2025-04-11,P,NVDA250411P00110000,110.0,REAL,3:25–3:30 PM,0.232,3:51–3:56 PM,0.108,-0.124,5,116.0,-62.0,False,
2025-04-18,P,NVDA250417P00105000,105.0,REAL,3:25–3:30 PM,3.66,3:51–3:56 PM,3.884,0.224,1,366.0,22.4,True,Fri closed → Thu expiry
2025-04-25,P,NVDA250425P00105000,105.0,REAL,3:25–3:30 PM,,3:51–3:56 PM,,,,,,,no usable price in entry/exit frame
2025-05-02,P,NVDA250502P00115000,115.0,REAL,3:25–3:30 PM,0.588,3:51–3:56 PM,0.832,0.244,2,117.6,48.8,True,
2025-05-09,P,NVDA250509P00120000,120.0,REAL,3:25–3:30 PM,3.26,3:51–3:56 PM,3.325,0.065,1,326.0,6.5,True,
2025-05-16,P,NVDA250516P00135000,135.0,REAL,3:25–3:30 PM,0.102,3:51–3:56 PM,0.036,-0.066,10,102.0,-66.0,False,
2025-05-23,P,NVDA250523P00130000,130.0,REAL,3:25–3:30 PM,0.022,3:51–3:56 PM,0.018,-0.004,46,101.2,-18.4,False,
2025-05-30,P,NVDA250530P00140000,140.0,REAL,3:25–3:30 PM,4.71,3:51–3:56 PM,4.958,0.248,1,471.0,24.8,True,
2025-06-06,P,NVDA250606P00140000,140.0,REAL,3:25–3:30 PM,0.022,3:51–3:56 PM,0.012,-0.01,46,101.2,-46.0,False,
2025-06-13,P,NVDA250613P00145000,145.0,REAL,3:25–3:30 PM,3.49,3:51–3:56 PM,3.262,-0.228,1,349.0,-22.8,False,
2025-06-20,P,NVDA250620P00145000,145.0,REAL,3:25–3:30 PM,1.278,3:51–3:56 PM,1.472,0.194,1,127.8,19.4,True,
2025-06-27,P,NVDA250627P00155000,155.0,REAL,3:25–3:30 PM,0.034,3:51–3:56 PM,0.01,-0.024,30,102.0,-72.0,False,
2025-07-04,P,NVDA250703P00160000,160.0,REAL,3:25–3:30 PM,,3:51–3:56 PM,,,,,,,no usable price in entry/exit frame
2025-07-11,P,NVDA250711P00165000,165.0,REAL,3:25–3:30 PM,0.104,3:51–3:56 PM,0.024,-0.08,10,104.0,-80.0,False,
2025-07-18,P,NVDA250718P00175000,175.0,REAL,3:25–3:30 PM,2.952,3:51–3:56 PM,2.7975,-0.1545,1,295.2,-15.45,False,
2025-07-25,P,NVDA250725P00175000,175.0,REAL,3:25–3:30 PM,1.12,3:51–3:56 PM,1.49,0.37,1,112.0,37.0,True,
