"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 16:20:19  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 2:55–3:00 PM  |  Optimal exit frame = 3:26–3:31 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,ORCL240712P00145000,145.0,REAL,2:55–3:00 PM,0.375,3:26–3:31 PM,0.23,-0.145,3,112.5,-43.5,False,
2024-07-19,P,ORCL240719P00140000,140.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-07-26,P,ORCL240726P00140000,140.0,REAL,2:55–3:00 PM,1.1,3:26–3:31 PM,0.985,-0.115,1,110.0,-11.5,False,
2024-08-02,P,ORCL240802P00130000,130.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-08-09,P,ORCL240809P00130000,130.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-08-16,P,ORCL240816P00135000,135.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-08-23,P,ORCL240823P00140000,140.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-08-30,P,ORCL240830P00140000,140.0,REAL,2:55–3:00 PM,0.0967,3:26–3:31 PM,0.04,-0.0567,11,106.33,-62.33,False,
2024-09-06,P,ORCL240906P00145000,145.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-09-13,P,ORCL240913P00175000,175.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
2024-09-20,P,ORCL240920P00170000,170.0,REAL,2:55–3:00 PM,,3:26–3:31 PM,,,,,,,no usable price in entry/exit frame
