"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 18:49:33  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:45–3:50 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per Friday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,C,MSFT240712C00452500,452.5,REAL,3:45–3:50 PM,1.226,3:55–4:00 PM,0.955,-0.271,1,122.6,-27.1,False,
2024-07-19,C,MSFT240719C00432500,432.5,REAL,3:45–3:50 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-07-26,C,MSFT240726C00420000,420.0,REAL,3:45–3:50 PM,5.1675,3:55–4:00 PM,4.862,-0.3055,1,516.75,-30.55,False,
2024-08-02,C,MSFT240802C00415000,415.0,REAL,3:45–3:50 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-08-09,C,MSFT240809C00405000,405.0,REAL,3:45–3:50 PM,1.658,3:55–4:00 PM,1.14,-0.518,1,165.8,-51.8,False,
2024-08-16,C,MSFT240816C00420000,420.0,REAL,3:45–3:50 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-08-23,C,MSFT240823C00417500,417.5,REAL,3:45–3:50 PM,0.01,3:55–4:00 PM,0.018,0.008,101,101.0,80.8,True,
2024-08-30,C,MSFT240830C00415000,415.0,REAL,3:45–3:50 PM,0.122,3:55–4:00 PM,1.75,1.628,9,109.8,1465.2,True,
2024-09-06,C,MSFT240906C00410000,410.0,REAL,3:45–3:50 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,
2024-09-13,C,MSFT240913C00425000,425.0,REAL,3:45–3:50 PM,6.02,3:55–4:00 PM,6.06,0.04,1,602.0,4.0,True,
2024-09-20,C,MSFT240920C00440000,440.0,REAL,3:45–3:50 PM,0.128,3:55–4:00 PM,0.044,-0.084,8,102.4,-67.2,False,
2024-09-27,C,MSFT240927C00430000,430.0,REAL,3:45–3:50 PM,0.0133,3:55–4:00 PM,0.01,-0.0033,76,101.33,-25.33,False,
2024-10-04,C,MSFT241004C00417500,417.5,REAL,3:45–3:50 PM,0.116,3:55–4:00 PM,0.044,-0.072,9,104.4,-64.8,False,
2024-10-11,C,MSFT241011C00415000,415.0,REAL,3:45–3:50 PM,0.98,3:55–4:00 PM,1.338,0.358,2,196.0,71.6,True,
2024-10-18,C,MSFT241018C00415000,415.0,REAL,3:45–3:50 PM,2.616,3:55–4:00 PM,3.054,0.438,1,261.6,43.8,True,
2024-10-25,C,MSFT241025C00427500,427.5,REAL,3:45–3:50 PM,0.768,3:55–4:00 PM,0.548,-0.22,2,153.6,-44.0,False,
2024-11-01,C,MSFT241101C00410000,410.0,REAL,3:45–3:50 PM,1.358,3:55–4:00 PM,0.522,-0.836,1,135.8,-83.6,False,
2024-11-08,C,MSFT241108C00425000,425.0,REAL,3:45–3:50 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-11-15,C,MSFT241115C00422500,422.5,REAL,3:45–3:50 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-11-22,C,MSFT241122C00412500,412.5,REAL,3:45–3:50 PM,2.0875,3:55–4:00 PM,4.48,2.3925,1,208.75,239.25,True,
2024-11-29,C,MSFT241129C00420000,420.0,REAL,3:45–3:50 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,C,MSFT241206C00445000,445.0,REAL,3:45–3:50 PM,0.052,3:55–4:00 PM,0.01,-0.042,20,104.0,-84.0,False,
