"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 21:27:02  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:50–3:55 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per Friday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,C,AAPL240712C00230000,230.0,REAL,3:50–3:55 PM,0.446,3:55–4:00 PM,0.438,-0.008,3,133.8,-2.4,False,
2024-07-19,C,AAPL240719C00225000,225.0,REAL,3:50–3:55 PM,0.018,3:55–4:00 PM,0.012,-0.006,56,100.8,-33.6,False,
2024-07-26,C,AAPL240726C00217500,217.5,REAL,3:50–3:55 PM,0.184,3:55–4:00 PM,0.278,0.094,6,110.4,56.4,True,
2024-08-02,C,AAPL240802C00220000,220.0,REAL,3:50–3:55 PM,0.306,3:55–4:00 PM,0.106,-0.2,4,122.4,-80.0,False,
2024-08-09,C,AAPL240809C00212500,212.5,REAL,3:50–3:55 PM,3.696,3:55–4:00 PM,3.6,-0.096,1,369.6,-9.6,False,
2024-08-16,C,AAPL240816C00222500,222.5,REAL,3:50–3:55 PM,3.27,3:55–4:00 PM,3.5625,0.2925,1,327.0,29.25,True,
2024-08-23,C,AAPL240823C00225000,225.0,REAL,3:50–3:55 PM,1.91,3:55–4:00 PM,1.846,-0.064,1,191.0,-6.4,False,
2024-08-30,C,AAPL240830C00230000,230.0,REAL,3:50–3:55 PM,0.064,3:55–4:00 PM,0.01,-0.054,16,102.4,-86.4,False,
2024-09-06,C,AAPL240906C00225000,225.0,REAL,3:50–3:55 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-09-13,C,AAPL240913C00222500,222.5,REAL,3:50–3:55 PM,0.184,3:55–4:00 PM,0.066,-0.118,6,110.4,-70.8,False,
2024-09-20,C,AAPL240920C00230000,230.0,REAL,3:50–3:55 PM,2.462,3:55–4:00 PM,0.348,-2.114,1,246.2,-211.4,False,
2024-09-27,C,AAPL240927C00230000,230.0,REAL,3:50–3:55 PM,0.01,3:55–4:00 PM,0.01,0.0,101,101.0,0.0,False,
2024-10-04,C,AAPL241004C00227500,227.5,REAL,3:50–3:55 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,
