"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 21:27:23  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:00–10:05 AM  |  Optimal exit frame = 12:04–12:10 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,AAPL240712P00230000,230.0,REAL,10:00–10:05 AM,0.496,12:04–12:10 PM,0.3383,-0.1577,3,148.8,-47.3,False,
2024-07-19,P,AAPL240719P00225000,225.0,REAL,10:00–10:05 AM,0.722,12:04–12:10 PM,0.8317,0.1097,2,144.4,21.93,True,
2024-07-26,P,AAPL240726P00217500,217.5,REAL,10:00–10:05 AM,1.09,12:04–12:10 PM,0.2417,-0.8483,1,109.0,-84.83,False,
2024-08-02,P,AAPL240802P00220000,220.0,REAL,10:00–10:05 AM,0.612,12:04–12:10 PM,0.32,-0.292,2,122.4,-58.4,False,
2024-08-09,P,AAPL240809P00212500,212.5,REAL,10:00–10:05 AM,1.028,12:04–12:10 PM,0.1917,-0.8363,1,102.8,-83.63,False,
2024-08-16,P,AAPL240816P00222500,222.5,REAL,10:00–10:05 AM,0.182,12:04–12:10 PM,0.0333,-0.1487,6,109.2,-89.2,False,
2024-08-23,P,AAPL240823P00225000,225.0,REAL,10:00–10:05 AM,0.25,12:04–12:10 PM,0.46,0.21,4,100.0,84.0,True,
2024-08-30,P,AAPL240830P00230000,230.0,REAL,10:00–10:05 AM,1.354,12:04–12:10 PM,1.475,0.121,1,135.4,12.1,True,
2024-09-06,P,AAPL240906P00225000,225.0,REAL,10:00–10:05 AM,1.404,12:04–12:10 PM,4.2367,2.8327,1,140.4,283.27,True,
2024-09-13,P,AAPL240913P00222500,222.5,REAL,10:00–10:05 AM,0.818,12:04–12:10 PM,0.22,-0.598,2,163.6,-119.6,False,
2024-09-20,P,AAPL240920P00230000,230.0,REAL,10:00–10:05 AM,1.428,12:04–12:10 PM,0.5683,-0.8597,1,142.8,-85.97,False,
2024-09-27,P,AAPL240927P00230000,230.0,REAL,10:00–10:05 AM,1.252,12:04–12:10 PM,2.196,0.944,1,125.2,94.4,True,
2024-10-04,P,AAPL241004P00227500,227.5,REAL,10:00–10:05 AM,2.336,12:04–12:10 PM,2.3517,0.0157,1,233.6,1.57,True,
2024-10-11,P,AAPL241011P00227500,227.5,REAL,10:00–10:05 AM,0.598,12:04–12:10 PM,0.3083,-0.2897,2,119.6,-57.93,False,
2024-10-18,P,AAPL241018P00235000,235.0,REAL,10:00–10:05 AM,0.506,12:04–12:10 PM,0.455,-0.051,2,101.2,-10.2,False,
2024-10-25,P,AAPL241025P00230000,230.0,REAL,10:00–10:05 AM,0.15,12:04–12:10 PM,0.0583,-0.0917,7,105.0,-64.17,False,
2024-11-01,P,AAPL241101P00222500,222.5,REAL,10:00–10:05 AM,0.458,12:04–12:10 PM,0.985,0.527,3,137.4,158.1,True,
2024-11-08,P,AAPL241108P00227500,227.5,REAL,10:00–10:05 AM,0.512,12:04–12:10 PM,0.6517,0.1397,2,102.4,27.93,True,
2024-11-15,P,AAPL241115P00227500,227.5,REAL,10:00–10:05 AM,2.54,12:04–12:10 PM,2.72,0.18,1,254.0,18.0,True,
2024-11-22,P,AAPL241122P00227500,227.5,REAL,10:00–10:05 AM,0.15,12:04–12:10 PM,0.0533,-0.0967,7,105.0,-67.67,False,
2024-11-29,P,AAPL241129P00235000,235.0,REAL,10:00–10:05 AM,0.21,12:04–12:10 PM,0.0217,-0.1883,5,105.0,-94.17,False,
2024-12-06,P,AAPL241206P00242500,242.5,REAL,10:00–10:05 AM,0.154,12:04–12:10 PM,0.14,-0.014,7,107.8,-9.8,False,
2024-12-13,P,AAPL241213P00247500,247.5,REAL,10:00–10:05 AM,0.424,12:04–12:10 PM,1.17,0.746,3,127.2,223.8,True,
2024-12-20,P,AAPL241220P00247500,247.5,REAL,10:00–10:05 AM,1.14,12:04–12:10 PM,0.0433,-1.0967,1,114.0,-109.67,False,
2024-12-27,P,AAPL241227P00257500,257.5,REAL,10:00–10:05 AM,1.66,12:04–12:10 PM,4.158,2.498,1,166.0,249.8,True,
2025-01-03,P,AAPL250103P00242500,242.5,REAL,10:00–10:05 AM,0.554,12:04–12:10 PM,0.385,-0.169,2,110.8,-33.8,False,
2025-01-10,P,AAPL250110P00237500,237.5,REAL,10:00–10:05 AM,1.36,12:04–12:10 PM,2.295,0.935,1,136.0,93.5,True,
2025-01-17,P,AAPL250117P00232500,232.5,REAL,10:00–10:05 AM,2.006,12:04–12:10 PM,2.7333,0.7273,1,200.6,72.73,True,
2025-01-24,P,AAPL250124P00225000,225.0,REAL,10:00–10:05 AM,1.494,12:04–12:10 PM,2.264,0.77,1,149.4,77.0,True,
2025-01-31,P,AAPL250131P00247500,247.5,REAL,10:00–10:05 AM,4.976,12:04–12:10 PM,8.4667,3.4907,1,497.6,349.07,True,
2025-02-07,P,AAPL250207P00232500,232.5,REAL,10:00–10:05 AM,1.53,12:04–12:10 PM,3.495,1.965,1,153.0,196.5,True,
2025-02-14,P,AAPL250214P00242500,242.5,REAL,10:00–10:05 AM,0.402,12:04–12:10 PM,0.225,-0.177,3,120.6,-53.1,False,
2025-02-21,P,AAPL250221P00247500,247.5,REAL,10:00–10:05 AM,1.882,12:04–12:10 PM,0.6917,-1.1903,1,188.2,-119.03,False,
2025-02-28,P,AAPL250228P00235000,235.0,REAL,10:00–10:05 AM,0.47,12:04–12:10 PM,0.3083,-0.1617,3,141.0,-48.5,False,
2025-03-07,P,AAPL250307P00235000,235.0,REAL,10:00–10:05 AM,0.438,12:04–12:10 PM,0.33,-0.108,3,131.4,-32.4,False,
2025-03-14,P,AAPL250314P00212500,212.5,REAL,10:00–10:05 AM,1.71,12:04–12:10 PM,0.765,-0.945,1,171.0,-94.5,False,
2025-03-21,P,AAPL250321P00212500,212.5,REAL,10:00–10:05 AM,0.568,12:04–12:10 PM,0.4183,-0.1497,2,113.6,-29.93,False,
2025-03-28,P,AAPL250328P00222500,222.5,REAL,10:00–10:05 AM,0.628,12:04–12:10 PM,2.8667,2.2387,2,125.6,447.73,True,
2025-04-04,P,AAPL250404P00195000,195.0,REAL,10:00–10:05 AM,1.278,12:04–12:10 PM,1.8083,0.5303,1,127.8,53.03,True,
2025-04-11,P,AAPL250411P00190000,190.0,REAL,10:00–10:05 AM,2.288,12:04–12:10 PM,0.5167,-1.7713,1,228.8,-177.13,False,
2025-04-18,P,AAPL250417P00195000,195.0,REAL,10:00–10:05 AM,0.83,12:04–12:10 PM,0.345,-0.485,2,166.0,-97.0,False,Fri closed → Thu expiry
2025-04-25,P,AAPL250425P00207500,207.5,REAL,10:00–10:05 AM,0.846,12:04–12:10 PM,0.705,-0.141,2,169.2,-28.2,False,
2025-05-02,P,AAPL250502P00205000,205.0,REAL,10:00–10:05 AM,2.206,12:04–12:10 PM,0.6033,-1.6027,1,220.6,-160.27,False,
2025-05-09,P,AAPL250509P00200000,200.0,REAL,10:00–10:05 AM,0.994,12:04–12:10 PM,2.0417,1.0477,2,198.8,209.53,True,
2025-05-16,P,AAPL250516P00212500,212.5,REAL,10:00–10:05 AM,1.354,12:04–12:10 PM,1.95,0.596,1,135.4,59.6,True,
2025-05-23,P,AAPL250523P00195000,195.0,REAL,10:00–10:05 AM,0.81,12:04–12:10 PM,0.5967,-0.2133,2,162.0,-42.67,False,
2025-05-30,P,AAPL250530P00200000,200.0,REAL,10:00–10:05 AM,1.788,12:04–12:10 PM,1.3883,-0.3997,1,178.8,-39.97,False,
2025-06-06,P,AAPL250606P00205000,205.0,REAL,10:00–10:05 AM,1.122,12:04–12:10 PM,2.098,0.976,1,112.2,97.6,True,
2025-06-13,P,AAPL250613P00200000,200.0,REAL,10:00–10:05 AM,3.266,12:04–12:10 PM,2.2767,-0.9893,1,326.6,-98.93,False,
2025-06-20,P,AAPL250620P00200000,200.0,REAL,10:00–10:05 AM,1.008,12:04–12:10 PM,1.935,0.927,1,100.8,92.7,True,
2025-06-27,P,AAPL250627P00202500,202.5,REAL,10:00–10:05 AM,0.564,12:04–12:10 PM,1.02,0.456,2,112.8,91.2,True,
2025-07-04,P,AAPL250703P00212500,212.5,REAL,10:00–10:05 AM,0.292,12:04–12:10 PM,0.0317,-0.2603,4,116.8,-104.13,False,Fri closed → Thu expiry
2025-07-11,P,AAPL250711P00210000,210.0,REAL,10:00–10:05 AM,0.346,12:04–12:10 PM,0.2317,-0.1143,3,103.8,-34.3,False,
2025-07-18,P,AAPL250718P00210000,210.0,REAL,10:00–10:05 AM,0.506,12:04–12:10 PM,0.1783,-0.3277,2,101.2,-65.53,False,
2025-07-25,P,AAPL250725P00215000,215.0,REAL,10:00–10:05 AM,1.2,12:04–12:10 PM,0.965,-0.235,1,120.0,-23.5,False,
2025-08-01,P,AAPL250801P00210000,210.0,REAL,10:00–10:05 AM,4.256,12:04–12:10 PM,6.422,2.166,1,425.6,216.6,True,
2025-08-08,P,AAPL250808P00220000,220.0,REAL,10:00–10:05 AM,0.216,12:04–12:10 PM,0.0633,-0.1527,5,108.0,-76.33,False,
2025-08-15,P,AAPL250815P00232500,232.5,REAL,10:00–10:05 AM,1.158,12:04–12:10 PM,1.76,0.602,1,115.8,60.2,True,
2025-08-22,P,AAPL250822P00227500,227.5,REAL,10:00–10:05 AM,1.11,12:04–12:10 PM,0.9,-0.21,1,111.0,-21.0,False,
2025-08-29,P,AAPL250829P00232500,232.5,REAL,10:00–10:05 AM,1.108,12:04–12:10 PM,1.085,-0.023,1,110.8,-2.3,False,
2025-09-05,P,AAPL250905P00240000,240.0,REAL,10:00–10:05 AM,0.606,12:04–12:10 PM,1.3517,0.7457,2,121.2,149.13,True,
2025-09-12,P,AAPL250912P00230000,230.0,REAL,10:00–10:05 AM,0.352,12:04–12:10 PM,0.0367,-0.3153,3,105.6,-94.6,False,
2025-09-19,P,AAPL250919P00242500,242.5,REAL,10:00–10:05 AM,1.968,12:04–12:10 PM,0.3317,-1.6363,1,196.8,-163.63,False,
2025-09-26,P,AAPL250926P00255000,255.0,REAL,10:00–10:05 AM,0.424,12:04–12:10 PM,0.615,0.191,3,127.2,57.3,True,
2025-10-03,P,AAPL251003P00255000,255.0,REAL,10:00–10:05 AM,0.23,12:04–12:10 PM,0.055,-0.175,5,115.0,-87.5,False,
2025-10-10,P,AAPL251010P00255000,255.0,REAL,10:00–10:05 AM,0.596,12:04–12:10 PM,6.794,6.198,2,119.2,1239.6,True,
2025-10-17,P,AAPL251017P00247500,247.5,REAL,10:00–10:05 AM,0.706,12:04–12:10 PM,0.195,-0.511,2,141.2,-102.2,False,
2025-10-24,P,AAPL251024P00260000,260.0,REAL,10:00–10:05 AM,0.846,12:04–12:10 PM,0.0467,-0.7993,2,169.2,-159.87,False,
2025-10-31,P,AAPL251031P00277500,277.5,REAL,10:00–10:05 AM,,12:04–12:10 PM,,,,,,,no usable price in entry/exit frame
2025-11-07,P,AAPL251107P00267500,267.5,REAL,10:00–10:05 AM,0.286,12:04–12:10 PM,0.4117,0.1257,4,114.4,50.27,True,
2025-11-14,P,AAPL251114P00272500,272.5,REAL,10:00–10:05 AM,1.218,12:04–12:10 PM,0.1583,-1.0597,1,121.8,-105.97,False,
2025-11-21,P,AAPL251121P00267500,267.5,REAL,10:00–10:05 AM,0.972,12:04–12:10 PM,0.1967,-0.7753,2,194.4,-155.07,False,
2025-11-28,P,AAPL251128P00277500,277.5,REAL,10:00–10:05 AM,1.204,12:04–12:10 PM,0.9733,-0.2307,1,120.4,-23.07,False,
