"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 21:26:43  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:45–9:51 AM  |  Optimal exit frame = 10:59–11:05 AM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,AMZN240712P00195000,195.0,REAL,9:45–9:51 AM,1.205,10:59–11:05 AM,0.81,-0.395,1,120.5,-39.5,False,
2024-07-19,P,AMZN240719P00180000,180.0,REAL,9:45–9:51 AM,0.395,10:59–11:05 AM,0.0717,-0.3233,3,118.5,-97.0,False,
2024-07-26,P,AMZN240726P00180000,180.0,REAL,9:45–9:51 AM,0.6483,10:59–11:05 AM,0.2367,-0.4117,2,129.67,-82.33,False,
2024-08-02,P,AMZN240802P00165000,165.0,REAL,9:45–9:51 AM,2.64,10:59–11:05 AM,2.2,-0.44,1,264.0,-44.0,False,
2024-08-09,P,AMZN240809P00165000,165.0,REAL,9:45–9:51 AM,0.4967,10:59–11:05 AM,0.1817,-0.315,3,149.0,-94.5,False,
2024-08-16,P,AMZN240816P00175000,175.0,REAL,9:45–9:51 AM,0.1817,10:59–11:05 AM,0.06,-0.1217,6,109.0,-73.0,False,
2024-08-23,P,AMZN240823P00180000,180.0,REAL,9:45–9:51 AM,3.175,10:59–11:05 AM,3.3225,0.1475,1,317.5,14.75,True,
2024-08-30,P,AMZN240830P00175000,175.0,REAL,9:45–9:51 AM,0.9783,10:59–11:05 AM,1.1667,0.1883,2,195.67,37.67,True,
2024-09-06,P,AMZN240906P00180000,180.0,REAL,9:45–9:51 AM,2.8725,10:59–11:05 AM,5.9575,3.085,1,287.25,308.5,True,
2024-09-13,P,AMZN240913P00185000,185.0,REAL,9:45–9:51 AM,0.1,10:59–11:05 AM,0.1133,0.0133,11,110.0,14.67,True,
2024-09-20,P,AMZN240920P00190000,190.0,REAL,9:45–9:51 AM,0.8683,10:59–11:05 AM,1.9567,1.0883,2,173.67,217.67,True,
2024-09-27,P,AMZN240927P00190000,190.0,REAL,9:45–9:51 AM,0.7417,10:59–11:05 AM,1.0067,0.265,2,148.33,53.0,True,
2024-10-04,P,AMZN241004P00185000,185.0,REAL,9:45–9:51 AM,0.2617,10:59–11:05 AM,0.6217,0.36,4,104.67,144.0,True,
2024-10-11,P,AMZN241011P00185000,185.0,REAL,9:45–9:51 AM,0.0917,10:59–11:05 AM,0.026,-0.0657,11,100.83,-72.23,False,
2024-10-18,P,AMZN241018P00185000,185.0,REAL,9:45–9:51 AM,0.1217,10:59–11:05 AM,0.036,-0.0857,9,109.5,-77.1,False,
2024-10-25,P,AMZN241025P00190000,190.0,REAL,9:45–9:51 AM,1.2733,10:59–11:05 AM,0.7067,-0.5667,1,127.33,-56.67,False,
2024-11-01,P,AMZN241101P00200000,200.0,REAL,9:45–9:51 AM,1.8833,10:59–11:05 AM,1.0433,-0.84,1,188.33,-84.0,False,
2024-11-08,P,AMZN241108P00210000,210.0,REAL,9:45–9:51 AM,1.4067,10:59–11:05 AM,1.785,0.3783,1,140.67,37.83,True,
2024-11-15,P,AMZN241115P00207500,207.5,REAL,9:45–9:51 AM,2.3617,10:59–11:05 AM,2.9967,0.635,1,236.17,63.5,True,
2024-11-22,P,AMZN241122P00200000,200.0,REAL,9:45–9:51 AM,2.1817,10:59–11:05 AM,1.7383,-0.4433,1,218.17,-44.33,False,
2024-11-29,P,AMZN241129P00205000,205.0,REAL,9:45–9:51 AM,0.3233,10:59–11:05 AM,0.1117,-0.2117,4,129.33,-84.67,False,
2024-12-06,P,AMZN241206P00220000,220.0,REAL,9:45–9:51 AM,0.1367,10:59–11:05 AM,0.045,-0.0917,8,109.33,-73.33,False,
2024-12-13,P,AMZN241213P00230000,230.0,REAL,9:45–9:51 AM,1.2917,10:59–11:05 AM,3.6583,2.3667,1,129.17,236.67,True,
2024-12-20,P,AMZN241220P00220000,220.0,REAL,9:45–9:51 AM,1.4917,10:59–11:05 AM,0.255,-1.2367,1,149.17,-123.67,False,
2024-12-27,P,AMZN241227P00225000,225.0,REAL,9:45–9:51 AM,2.1867,10:59–11:05 AM,3.4625,1.2758,1,218.67,127.58,True,
2025-01-03,P,AMZN250103P00222500,222.5,REAL,9:45–9:51 AM,0.475,10:59–11:05 AM,0.722,0.247,3,142.5,74.1,True,
2025-01-10,P,AMZN250110P00220000,220.0,REAL,9:45–9:51 AM,2.2017,10:59–11:05 AM,2.3083,0.1067,1,220.17,10.67,True,
2025-01-17,P,AMZN250117P00225000,225.0,REAL,9:45–9:51 AM,1.3617,10:59–11:05 AM,1.48,0.1183,1,136.17,11.83,True,
2025-01-24,P,AMZN250124P00235000,235.0,REAL,9:45–9:51 AM,0.58,10:59–11:05 AM,1.1967,0.6167,2,116.0,123.33,True,
2025-01-31,P,AMZN250131P00237500,237.5,REAL,9:45–9:51 AM,0.48,10:59–11:05 AM,0.225,-0.255,3,144.0,-76.5,False,
2025-02-07,P,AMZN250207P00232500,232.5,REAL,9:45–9:51 AM,1.4583,10:59–11:05 AM,2.902,1.4437,1,145.83,144.37,True,
2025-02-14,P,AMZN250214P00230000,230.0,REAL,9:45–9:51 AM,1.85,10:59–11:05 AM,1.965,0.115,1,185.0,11.5,True,
2025-02-21,P,AMZN250221P00222500,222.5,REAL,9:45–9:51 AM,1.4567,10:59–11:05 AM,3.32,1.8633,1,145.67,186.33,True,
2025-02-28,P,AMZN250228P00207500,207.5,REAL,9:45–9:51 AM,1.2,10:59–11:05 AM,0.19,-1.01,1,120.0,-101.0,False,
2025-03-07,P,AMZN250307P00200000,200.0,REAL,9:45–9:51 AM,1.4067,10:59–11:05 AM,3.738,2.3313,1,140.67,233.13,True,
2025-03-14,P,AMZN250314P00195000,195.0,REAL,9:45–9:51 AM,0.4083,10:59–11:05 AM,0.21,-0.1983,3,122.5,-59.5,False,
2025-03-21,P,AMZN250321P00195000,195.0,REAL,9:45–9:51 AM,1.5833,10:59–11:05 AM,0.865,-0.7183,1,158.33,-71.83,False,
2025-03-28,P,AMZN250328P00200000,200.0,REAL,9:45–9:51 AM,2.1983,10:59–11:05 AM,5.686,3.4877,1,219.83,348.77,True,
2025-04-04,P,AMZN250404P00165000,165.0,REAL,9:45–9:51 AM,0.345,10:59–11:05 AM,0.1933,-0.1517,3,103.5,-45.5,False,
2025-04-11,P,AMZN250411P00180000,180.0,REAL,9:45–9:51 AM,1.475,10:59–11:05 AM,2.09,0.615,1,147.5,61.5,True,
2025-04-18,P,AMZN250417P00175000,175.0,REAL,9:45–9:51 AM,1.6483,10:59–11:05 AM,2.3567,0.7083,1,164.83,70.83,True,Fri closed → Thu expiry
2025-04-25,P,AMZN250425P00185000,185.0,REAL,9:45–9:51 AM,0.6783,10:59–11:05 AM,0.4,-0.2783,2,135.67,-55.67,False,
2025-05-02,P,AMZN250502P00190000,190.0,REAL,9:45–9:51 AM,3.2967,10:59–11:05 AM,1.6483,-1.6483,1,329.67,-164.83,False,
2025-05-09,P,AMZN250509P00195000,195.0,REAL,9:45–9:51 AM,1.94,10:59–11:05 AM,2.98,1.04,1,194.0,104.0,True,
2025-05-16,P,AMZN250516P00205000,205.0,REAL,9:45–9:51 AM,1.215,10:59–11:05 AM,0.7533,-0.4617,1,121.5,-46.17,False,
2025-05-23,P,AMZN250523P00200000,200.0,REAL,9:45–9:51 AM,1.245,10:59–11:05 AM,0.745,-0.5,1,124.5,-50.0,False,
2025-05-30,P,AMZN250530P00205000,205.0,REAL,9:45–9:51 AM,1.4967,10:59–11:05 AM,1.0667,-0.43,1,149.67,-43.0,False,
2025-06-06,P,AMZN250606P00212500,212.5,REAL,9:45–9:51 AM,0.7417,10:59–11:05 AM,1.024,0.2823,2,148.33,56.47,True,
2025-06-13,P,AMZN250613P00210000,210.0,REAL,9:45–9:51 AM,0.7283,10:59–11:05 AM,0.2367,-0.4917,2,145.67,-98.33,False,
2025-06-20,P,AMZN250620P00215000,215.0,REAL,9:45–9:51 AM,1.7483,10:59–11:05 AM,5.126,3.3777,1,174.83,337.77,True,
2025-06-27,P,AMZN250627P00220000,220.0,REAL,9:45–9:51 AM,0.58,10:59–11:05 AM,1.255,0.675,2,116.0,135.0,True,
2025-07-04,P,AMZN250703P00222500,222.5,REAL,9:45–9:51 AM,0.9533,10:59–11:05 AM,0.708,-0.2453,2,190.67,-49.07,False,Fri closed → Thu expiry
2025-07-11,P,AMZN250711P00225000,225.0,REAL,9:45–9:51 AM,2.0,10:59–11:05 AM,0.7583,-1.2417,1,200.0,-124.17,False,
2025-07-18,P,AMZN250718P00225000,225.0,REAL,9:45–9:51 AM,0.7517,10:59–11:05 AM,1.6717,0.92,2,150.33,184.0,True,
2025-07-25,P,AMZN250725P00232500,232.5,REAL,9:45–9:51 AM,1.2417,10:59–11:05 AM,0.965,-0.2767,1,124.17,-27.67,False,
