"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Pass 2 concentration cap: biggest single win <= 51% of net total P&L."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-09 21:28:42  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:40–9:55 AM  |  Optimal exit frame = 11:50 AM–12:25 PM

DETAIL — one row per Friday (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-12,P,GOOGL240712P00185000,185.0,REAL,9:40–9:55 AM,0.5907,11:50 AM–12:25 PM,0.33,-0.2607,2,118.13,-52.13,False,
2024-07-19,P,GOOGL240719P00180000,180.0,REAL,9:40–9:55 AM,1.3107,11:50 AM–12:25 PM,1.4406,0.13,1,131.07,13.0,True,
2024-07-26,P,GOOGL240726P00165000,165.0,REAL,9:40–9:55 AM,1.1467,11:50 AM–12:25 PM,0.1435,-1.0031,1,114.67,-100.31,False,
2024-08-02,P,GOOGL240802P00165000,165.0,REAL,9:40–9:55 AM,0.336,11:50 AM–12:25 PM,0.273,-0.063,3,100.8,-18.91,False,
2024-08-09,P,GOOGL240809P00160000,160.0,REAL,9:40–9:55 AM,0.8513,11:50 AM–12:25 PM,0.7768,-0.0745,2,170.27,-14.91,False,
2024-08-16,P,GOOGL240816P00160000,160.0,REAL,9:40–9:55 AM,0.1029,11:50 AM–12:25 PM,0.015,-0.0879,10,102.86,-87.86,False,
2024-08-23,P,GOOGL240823P00165000,165.0,REAL,9:40–9:55 AM,0.9367,11:50 AM–12:25 PM,0.7467,-0.19,2,187.33,-38.0,False,
2024-08-30,P,GOOGL240830P00165000,165.0,REAL,9:40–9:55 AM,2.4208,11:50 AM–12:25 PM,2.7011,0.2803,1,242.08,28.03,True,
2024-09-06,P,GOOGL240906P00160000,160.0,REAL,9:40–9:55 AM,4.467,11:50 AM–12:25 PM,7.985,3.518,1,446.7,351.8,True,
2024-09-13,P,GOOGL240913P00155000,155.0,REAL,9:40–9:55 AM,0.2727,11:50 AM–12:25 PM,0.0368,-0.2358,4,109.07,-94.34,False,
2024-09-20,P,GOOGL240920P00165000,165.0,REAL,9:40–9:55 AM,2.087,11:50 AM–12:25 PM,2.3675,0.2805,1,208.7,28.05,True,
2024-09-27,P,GOOGL240927P00165000,165.0,REAL,9:40–9:55 AM,1.5942,11:50 AM–12:25 PM,0.999,-0.5952,1,159.42,-59.52,False,
2024-10-04,P,GOOGL241004P00170000,170.0,REAL,9:40–9:55 AM,2.65,11:50 AM–12:25 PM,4.0,1.35,1,265.0,135.0,True,
2024-10-11,P,GOOGL241011P00160000,160.0,REAL,9:40–9:55 AM,0.1257,11:50 AM–12:25 PM,0.0117,-0.114,8,100.57,-91.24,False,
2024-10-18,P,GOOGL241018P00165000,165.0,REAL,9:40–9:55 AM,1.0371,11:50 AM–12:25 PM,1.6995,0.6624,1,103.71,66.24,True,
2024-10-25,P,GOOGL241025P00165000,165.0,REAL,9:40–9:55 AM,0.8879,11:50 AM–12:25 PM,0.2812,-0.6067,2,177.57,-121.33,False,
2024-11-01,P,GOOGL241101P00170000,170.0,REAL,9:40–9:55 AM,0.234,11:50 AM–12:25 PM,0.1144,-0.1196,5,117.0,-59.78,False,
2024-11-08,P,GOOGL241108P00180000,180.0,REAL,9:40–9:55 AM,0.8273,11:50 AM–12:25 PM,1.1538,0.3265,2,165.47,65.3,True,
2024-11-15,P,GOOGL241115P00175000,175.0,REAL,9:40–9:55 AM,1.7093,11:50 AM–12:25 PM,2.9947,1.2854,1,170.93,128.54,True,
2024-11-22,P,GOOGL241122P00160000,160.0,REAL,9:40–9:55 AM,0.046,11:50 AM–12:25 PM,0.0135,-0.0325,22,101.2,-71.44,False,
2024-11-29,P,GOOGL241129P00170000,170.0,REAL,9:40–9:55 AM,2.0362,11:50 AM–12:25 PM,1.0046,-1.0315,1,203.62,-103.15,False,
2024-12-06,P,GOOGL241206P00170000,170.0,REAL,9:40–9:55 AM,0.0454,11:50 AM–12:25 PM,0.0133,-0.0321,23,104.38,-73.72,False,
2024-12-13,P,GOOGL241213P00190000,190.0,REAL,9:40–9:55 AM,0.2373,11:50 AM–12:25 PM,0.1129,-0.1245,5,118.67,-62.24,False,
2024-12-20,P,GOOGL241220P00185000,185.0,REAL,9:40–9:55 AM,0.6886,11:50 AM–12:25 PM,0.035,-0.6536,2,137.71,-130.71,False,
2024-12-27,P,GOOGL241227P00195000,195.0,REAL,9:40–9:55 AM,2.0986,11:50 AM–12:25 PM,4.0282,1.9296,1,209.86,192.96,True,
2025-01-03,P,GOOGL250103P00190000,190.0,REAL,9:40–9:55 AM,0.254,11:50 AM–12:25 PM,0.0555,-0.1985,4,101.6,-79.39,False,
2025-01-10,P,GOOGL250110P00195000,195.0,REAL,9:40–9:55 AM,2.7208,11:50 AM–12:25 PM,2.8933,0.1726,1,272.08,17.26,True,
2025-01-17,P,GOOGL250117P00195000,195.0,REAL,9:40–9:55 AM,1.2107,11:50 AM–12:25 PM,0.2293,-0.9814,1,121.07,-98.14,False,
2025-01-24,P,GOOGL250124P00200000,200.0,REAL,9:40–9:55 AM,0.9833,11:50 AM–12:25 PM,0.9837,0.0003,2,196.67,0.07,True,
2025-01-31,P,GOOGL250131P00200000,200.0,REAL,9:40–9:55 AM,0.072,11:50 AM–12:25 PM,0.0227,-0.0493,14,100.8,-68.98,False,
2025-02-07,P,GOOGL250207P00190000,190.0,REAL,9:40–9:55 AM,0.888,11:50 AM–12:25 PM,5.8269,4.9389,2,177.6,987.78,True,
2025-02-14,P,GOOGL250214P00185000,185.0,REAL,9:40–9:55 AM,0.5787,11:50 AM–12:25 PM,0.4919,-0.0868,2,115.73,-17.36,False,
2025-02-21,P,GOOGL250221P00185000,185.0,REAL,9:40–9:55 AM,0.9233,11:50 AM–12:25 PM,3.8768,2.9535,2,184.67,590.7,True,
2025-02-28,P,GOOGL250228P00170000,170.0,REAL,9:40–9:55 AM,1.6653,11:50 AM–12:25 PM,1.5055,-0.1598,1,166.53,-15.98,False,
2025-03-07,P,GOOGL250307P00170000,170.0,REAL,9:40–9:55 AM,0.2986,11:50 AM–12:25 PM,0.5372,0.2386,4,119.43,95.45,True,
2025-03-14,P,GOOGL250314P00165000,165.0,REAL,9:40–9:55 AM,1.6473,11:50 AM–12:25 PM,0.8328,-0.8146,1,164.73,-81.46,False,
