"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:48  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:22–3:27 PM  |  Optimal exit frame = 3:55–4:00 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,C,AMD240719C00155000,155.0,REAL,3:22–3:27 PM,0.016,3:55–4:00 PM,0.0125,-0.0035,63,100.8,-22.05,False,0DTE (same-day expiry)
2024-07-26,C,AMD240726C00140000,140.0,REAL,3:22–3:27 PM,0.234,3:55–4:00 PM,0.082,-0.152,5,117.0,-76.0,False,0DTE (same-day expiry)
2024-08-02,C,AMD240802C00135000,135.0,REAL,3:22–3:27 PM,0.018,3:55–4:00 PM,0.02,0.002,56,100.8,11.2,True,0DTE (same-day expiry)
2024-08-09,C,AMD240809C00135000,135.0,REAL,3:22–3:27 PM,0.112,3:55–4:00 PM,0.01,-0.102,9,100.8,-91.8,False,0DTE (same-day expiry)
2024-08-16,C,AMD240816C00145000,145.0,REAL,3:22–3:27 PM,3.7,3:55–4:00 PM,3.658,-0.042,1,370.0,-4.2,False,0DTE (same-day expiry)
2024-08-23,C,AMD240823C00155000,155.0,REAL,3:22–3:27 PM,0.01,3:55–4:00 PM,0.104,0.094,101,101.0,949.4,True,0DTE (same-day expiry)
2024-08-30,C,AMD240830C00150000,150.0,REAL,3:22–3:27 PM,0.01,3:55–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-09-06,C,AMD240906C00140000,140.0,REAL,3:22–3:27 PM,,3:55–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-09-13,C,AMD240913C00155000,155.0,REAL,3:22–3:27 PM,0.012,3:55–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,0DTE (same-day expiry)
2024-09-20,C,AMD240920C00155000,155.0,REAL,3:22–3:27 PM,0.298,3:55–4:00 PM,0.796,0.498,4,119.2,199.2,True,0DTE (same-day expiry)
