"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:52  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 10:18–10:23 AM  |  Optimal exit frame = 3:35–3:40 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,P,AMD240719P00155000,155.0,REAL,10:18–10:23 AM,2.094,3:35–3:40 PM,3.146,1.052,1,209.4,105.2,True,0DTE (same-day expiry)
2024-07-26,P,AMD240726P00140000,140.0,REAL,10:18–10:23 AM,1.524,3:35–3:40 PM,0.51,-1.014,1,152.4,-101.4,False,0DTE (same-day expiry)
2024-08-02,P,AMD240802P00135000,135.0,REAL,10:18–10:23 AM,2.538,3:35–3:40 PM,2.582,0.044,1,253.8,4.4,True,0DTE (same-day expiry)
2024-08-09,P,AMD240809P00135000,135.0,REAL,10:18–10:23 AM,1.638,3:35–3:40 PM,0.194,-1.444,1,163.8,-144.4,False,0DTE (same-day expiry)
2024-08-16,P,AMD240816P00145000,145.0,REAL,10:18–10:23 AM,0.1,3:35–3:40 PM,0.01,-0.09,10,100.0,-90.0,False,0DTE (same-day expiry)
2024-08-23,P,AMD240823P00155000,155.0,REAL,10:18–10:23 AM,1.094,3:35–3:40 PM,1.382,0.288,1,109.4,28.8,True,0DTE (same-day expiry)
2024-08-30,P,AMD240830P00150000,150.0,REAL,10:18–10:23 AM,3.0625,3:35–3:40 PM,2.67,-0.3925,1,306.25,-39.25,False,0DTE (same-day expiry)
2024-09-06,P,AMD240906P00140000,140.0,REAL,10:18–10:23 AM,3.938,3:35–3:40 PM,5.775,1.837,1,393.8,183.7,True,0DTE (same-day expiry)
2024-09-13,P,AMD240913P00155000,155.0,REAL,10:18–10:23 AM,3.062,3:35–3:40 PM,2.53,-0.532,1,306.2,-53.2,False,0DTE (same-day expiry)
2024-09-20,P,AMD240920P00155000,155.0,REAL,10:18–10:23 AM,1.088,3:35–3:40 PM,0.21,-0.878,1,108.8,-87.8,False,0DTE (same-day expiry)
2024-09-27,P,AMD240927P00165000,165.0,REAL,10:18–10:23 AM,0.388,3:35–3:40 PM,0.7575,0.3695,3,116.4,110.85,True,0DTE (same-day expiry)
2024-10-04,P,AMD241004P00165000,165.0,REAL,10:18–10:23 AM,,3:35–3:40 PM,,,,,,,no usable price in entry/exit frame
2024-10-11,P,AMD241011P00165000,165.0,REAL,10:18–10:23 AM,1.282,3:35–3:40 PM,0.01,-1.272,1,128.2,-127.2,False,0DTE (same-day expiry)
2024-10-18,P,AMD241018P00155000,155.0,REAL,10:18–10:23 AM,0.342,3:35–3:40 PM,0.018,-0.324,3,102.6,-97.2,False,0DTE (same-day expiry)
2024-10-25,P,AMD241025P00155000,155.0,REAL,10:18–10:23 AM,0.108,3:35–3:40 PM,0.0175,-0.0905,10,108.0,-90.5,False,0DTE (same-day expiry)
2024-11-01,P,AMD241101P00145000,145.0,REAL,10:18–10:23 AM,2.184,3:35–3:40 PM,2.896,0.712,1,218.4,71.2,True,0DTE (same-day expiry)
2024-11-08,P,AMD241108P00150000,150.0,REAL,10:18–10:23 AM,0.956,3:35–3:40 PM,1.8267,0.8707,2,191.2,174.13,True,0DTE (same-day expiry)
2024-11-15,P,AMD241115P00135000,135.0,REAL,10:18–10:23 AM,0.432,3:35–3:40 PM,0.678,0.246,3,129.6,73.8,True,0DTE (same-day expiry)
2024-11-22,P,AMD241122P00140000,140.0,REAL,10:18–10:23 AM,2.47,3:35–3:40 PM,2.0075,-0.4625,1,247.0,-46.25,False,0DTE (same-day expiry)
2024-11-29,P,AMD241129P00135000,135.0,REAL,10:18–10:23 AM,,3:35–3:40 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,P,AMD241206P00140000,140.0,REAL,10:18–10:23 AM,0.058,3:35–3:40 PM,2.392,2.334,18,104.4,4201.2,True,0DTE (same-day expiry)
2024-12-13,P,AMD241213P00130000,130.0,REAL,10:18–10:23 AM,2.144,3:35–3:40 PM,3.63,1.486,1,214.4,148.6,True,0DTE (same-day expiry)
2024-12-20,P,AMD241220P00120000,120.0,REAL,10:18–10:23 AM,1.196,3:35–3:40 PM,0.752,-0.444,1,119.6,-44.4,False,0DTE (same-day expiry)
2024-12-27,P,AMD241227P00125000,125.0,REAL,10:18–10:23 AM,2.598,3:35–3:40 PM,0.1,-2.498,1,259.8,-249.8,False,0DTE (same-day expiry)
2025-01-03,P,AMD250103P00120000,120.0,REAL,10:18–10:23 AM,0.164,3:35–3:40 PM,0.01,-0.154,7,114.8,-107.8,False,0DTE (same-day expiry)
2025-01-10,P,AMD250110P00120000,120.0,REAL,10:18–10:23 AM,5.042,3:35–3:40 PM,4.306,-0.736,1,504.2,-73.6,False,0DTE (same-day expiry)
2025-01-17,P,AMD250117P00120000,120.0,REAL,10:18–10:23 AM,0.202,3:35–3:40 PM,0.01,-0.192,5,101.0,-96.0,False,0DTE (same-day expiry)
2025-01-24,P,AMD250124P00125000,125.0,REAL,10:18–10:23 AM,1.8133,3:35–3:40 PM,2.63,0.8167,1,181.33,81.67,True,0DTE (same-day expiry)
2025-01-31,P,AMD250131P00120000,120.0,REAL,10:18–10:23 AM,1.402,3:35–3:40 PM,4.5,3.098,1,140.2,309.8,True,0DTE (same-day expiry)
2025-02-07,P,AMD250207P00110000,110.0,REAL,10:18–10:23 AM,2.594,3:35–3:40 PM,2.714,0.12,1,259.4,12.0,True,0DTE (same-day expiry)
2025-02-14,P,AMD250214P00115000,115.0,REAL,10:18–10:23 AM,1.7475,3:35–3:40 PM,1.92,0.1725,1,174.75,17.25,True,0DTE (same-day expiry)
