"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:26  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:43–9:51 AM  |  Optimal exit frame = 10:57–11:08 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,P,AMZN240719P00180000,180.0,REAL,9:43–9:51 AM,0.3938,10:57–11:08 AM,0.0691,-0.3247,3,118.13,-97.4,False,0DTE (same-day expiry)
2024-07-26,P,AMZN240726P00180000,180.0,REAL,9:43–9:51 AM,0.6325,10:57–11:08 AM,0.2427,-0.3898,2,126.5,-77.95,False,0DTE (same-day expiry)
2024-08-02,P,AMZN240802P00165000,165.0,REAL,9:43–9:51 AM,2.4137,10:57–11:08 AM,2.1318,-0.2819,1,241.37,-28.19,False,0DTE (same-day expiry)
2024-08-09,P,AMZN240809P00165000,165.0,REAL,9:43–9:51 AM,0.5125,10:57–11:08 AM,0.1709,-0.3416,2,102.5,-68.32,False,0DTE (same-day expiry)
2024-08-16,P,AMZN240816P00175000,175.0,REAL,9:43–9:51 AM,0.1875,10:57–11:08 AM,0.06,-0.1275,6,112.5,-76.5,False,0DTE (same-day expiry)
2024-08-23,P,AMZN240823P00180000,180.0,REAL,9:43–9:51 AM,3.2367,10:57–11:08 AM,3.2771,0.0405,1,323.67,4.05,True,0DTE (same-day expiry)
2024-08-30,P,AMZN240830P00175000,175.0,REAL,9:43–9:51 AM,0.9888,10:57–11:08 AM,1.1436,0.1549,2,197.75,30.98,True,0DTE (same-day expiry)
2024-09-06,P,AMZN240906P00180000,180.0,REAL,9:43–9:51 AM,2.9233,10:57–11:08 AM,6.046,3.1227,1,292.33,312.27,True,0DTE (same-day expiry)
2024-09-13,P,AMZN240913P00185000,185.0,REAL,9:43–9:51 AM,0.1037,10:57–11:08 AM,0.1109,0.0072,10,103.75,7.16,True,0DTE (same-day expiry)
2024-09-20,P,AMZN240920P00190000,190.0,REAL,9:43–9:51 AM,0.8463,10:57–11:08 AM,1.9418,1.0956,2,169.25,219.11,True,0DTE (same-day expiry)
2024-09-27,P,AMZN240927P00190000,190.0,REAL,9:43–9:51 AM,0.7688,10:57–11:08 AM,1.0309,0.2622,2,153.75,52.43,True,0DTE (same-day expiry)
2024-10-04,P,AMZN241004P00185000,185.0,REAL,9:43–9:51 AM,0.2737,10:57–11:08 AM,0.6773,0.4035,4,109.5,161.41,True,0DTE (same-day expiry)
2024-10-11,P,AMZN241011P00185000,185.0,REAL,9:43–9:51 AM,0.0925,10:57–11:08 AM,0.0243,-0.0682,11,101.75,-75.04,False,0DTE (same-day expiry)
2024-10-18,P,AMZN241018P00185000,185.0,REAL,9:43–9:51 AM,0.1175,10:57–11:08 AM,0.036,-0.0815,9,105.75,-73.35,False,0DTE (same-day expiry)
2024-10-25,P,AMZN241025P00190000,190.0,REAL,9:43–9:51 AM,1.2988,10:57–11:08 AM,0.7182,-0.5806,1,129.88,-58.06,False,0DTE (same-day expiry)
2024-11-01,P,AMZN241101P00200000,200.0,REAL,9:43–9:51 AM,1.9488,10:57–11:08 AM,1.0736,-0.8751,1,194.88,-87.51,False,0DTE (same-day expiry)
2024-11-08,P,AMZN241108P00210000,210.0,REAL,9:43–9:51 AM,1.4275,10:57–11:08 AM,1.804,0.3765,1,142.75,37.65,True,0DTE (same-day expiry)
