"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:08  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:40–9:50 AM  |  Optimal exit frame = 11:01–11:06 AM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,P,MSFT240719P00432500,432.5,REAL,9:40–9:50 AM,0.675,11:01–11:06 AM,0.26,-0.415,2,135.0,-83.0,False,0DTE (same-day expiry)
2024-07-26,P,MSFT240726P00420000,420.0,REAL,9:40–9:50 AM,2.173,11:01–11:06 AM,0.568,-1.605,1,217.3,-160.5,False,0DTE (same-day expiry)
2024-08-02,P,MSFT240802P00415000,415.0,REAL,9:40–9:50 AM,6.21,11:01–11:06 AM,8.69,2.48,1,621.0,248.0,True,0DTE (same-day expiry)
2024-08-09,P,MSFT240809P00405000,405.0,REAL,9:40–9:50 AM,2.38,11:01–11:06 AM,1.252,-1.128,1,238.0,-112.8,False,0DTE (same-day expiry)
2024-08-16,P,MSFT240816P00420000,420.0,REAL,9:40–9:50 AM,2.113,11:01–11:06 AM,2.4975,0.3845,1,211.3,38.45,True,0DTE (same-day expiry)
2024-08-23,P,MSFT240823P00417500,417.5,REAL,9:40–9:50 AM,2.2556,11:01–11:06 AM,3.1125,0.8569,1,225.56,85.69,True,0DTE (same-day expiry)
2024-08-30,P,MSFT240830P00415000,415.0,REAL,9:40–9:50 AM,1.066,11:01–11:06 AM,1.194,0.128,1,106.6,12.8,True,0DTE (same-day expiry)
2024-09-06,P,MSFT240906P00410000,410.0,REAL,9:40–9:50 AM,2.255,11:01–11:06 AM,5.925,3.67,1,225.5,367.0,True,0DTE (same-day expiry)
2024-09-13,P,MSFT240913P00425000,425.0,REAL,9:40–9:50 AM,0.666,11:01–11:06 AM,0.216,-0.45,2,133.2,-90.0,False,0DTE (same-day expiry)
2024-09-20,P,MSFT240920P00440000,440.0,REAL,9:40–9:50 AM,2.842,11:01–11:06 AM,5.1025,2.2605,1,284.2,226.05,True,0DTE (same-day expiry)
2024-09-27,P,MSFT240927P00430000,430.0,REAL,9:40–9:50 AM,1.231,11:01–11:06 AM,0.584,-0.647,1,123.1,-64.7,False,0DTE (same-day expiry)
