"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:31  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:25–3:31 PM  |  Optimal exit frame = 3:31–3:36 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,C,NVDA240719C00120000,120.0,REAL,3:25–3:31 PM,0.0383,3:31–3:36 PM,0.022,-0.0163,27,103.5,-44.1,False,0DTE (same-day expiry)
2024-07-26,C,NVDA240726C00115000,115.0,REAL,3:25–3:31 PM,0.015,3:31–3:36 PM,0.016,0.001,67,100.5,6.7,True,0DTE (same-day expiry)
2024-08-02,C,NVDA240802C00105000,105.0,REAL,3:25–3:31 PM,1.0883,3:31–3:36 PM,1.342,0.2537,1,108.83,25.37,True,0DTE (same-day expiry)
2024-08-09,C,NVDA240809C00105000,105.0,REAL,3:25–3:31 PM,0.1067,3:31–3:36 PM,0.104,-0.0027,10,106.67,-2.67,False,0DTE (same-day expiry)
2024-08-16,C,NVDA240816C00120000,120.0,REAL,3:25–3:31 PM,4.335,3:31–3:36 PM,4.392,0.057,1,433.5,5.7,True,0DTE (same-day expiry)
2024-08-23,C,NVDA240823C00125000,125.0,REAL,3:25–3:31 PM,3.8033,3:31–3:36 PM,3.608,-0.1953,1,380.33,-19.53,False,0DTE (same-day expiry)
2024-08-30,C,NVDA240830C00120000,120.0,REAL,3:25–3:31 PM,0.0383,3:31–3:36 PM,0.026,-0.0123,27,103.5,-33.3,False,0DTE (same-day expiry)
2024-09-06,C,NVDA240906C00110000,110.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-09-13,C,NVDA240913C00120000,120.0,REAL,3:25–3:31 PM,0.0233,3:31–3:36 PM,0.016,-0.0073,43,100.33,-31.53,False,0DTE (same-day expiry)
2024-09-20,C,NVDA240920C00115000,115.0,REAL,3:25–3:31 PM,1.595,3:31–3:36 PM,1.666,0.071,1,159.5,7.1,True,0DTE (same-day expiry)
2024-09-27,C,NVDA240927C00125000,125.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-10-04,C,NVDA241004C00125000,125.0,REAL,3:25–3:31 PM,0.0383,3:31–3:36 PM,0.038,-0.0003,27,103.5,-0.9,False,0DTE (same-day expiry)
2024-10-11,C,NVDA241011C00135000,135.0,REAL,3:25–3:31 PM,0.045,3:31–3:36 PM,0.032,-0.013,23,103.5,-29.9,False,0DTE (same-day expiry)
2024-10-18,C,NVDA241018C00140000,140.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.012,0.002,100,100.0,20.0,True,0DTE (same-day expiry)
2024-10-25,C,NVDA241025C00140000,140.0,REAL,3:25–3:31 PM,1.9333,3:31–3:36 PM,2.04,0.1067,1,193.33,10.67,True,0DTE (same-day expiry)
2024-11-01,C,NVDA241101C00135000,135.0,REAL,3:25–3:31 PM,0.7567,3:31–3:36 PM,0.662,-0.0947,2,151.33,-18.93,False,0DTE (same-day expiry)
2024-11-08,C,NVDA241108C00150000,150.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-11-15,C,NVDA241115C00145000,145.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-11-22,C,NVDA241122C00145000,145.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-11-29,C,NVDA241129C00135000,135.0,REAL,3:25–3:31 PM,,3:31–3:36 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,C,NVDA241206C00145000,145.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2024-12-13,C,NVDA241213C00140000,140.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-12-20,C,NVDA241220C00130000,130.0,REAL,3:25–3:31 PM,3.925,3:31–3:36 PM,3.266,-0.659,1,392.5,-65.9,False,0DTE (same-day expiry)
2024-12-27,C,NVDA241227C00140000,140.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-01-03,C,NVDA250103C00140000,140.0,REAL,3:25–3:31 PM,4.235,3:31–3:36 PM,4.12,-0.115,1,423.5,-11.5,False,0DTE (same-day expiry)
2025-01-10,C,NVDA250110C00135000,135.0,REAL,3:25–3:31 PM,0.6933,3:31–3:36 PM,0.616,-0.0773,2,138.67,-15.47,False,0DTE (same-day expiry)
2025-01-17,C,NVDA250117C00135000,135.0,REAL,3:25–3:31 PM,2.705,3:31–3:36 PM,2.646,-0.059,1,270.5,-5.9,False,0DTE (same-day expiry)
2025-01-24,C,NVDA250124C00150000,150.0,REAL,3:25–3:31 PM,0.01,3:31–3:36 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-01-31,C,NVDA250131C00125000,125.0,REAL,3:25–3:31 PM,0.015,3:31–3:36 PM,0.014,-0.001,67,100.5,-6.7,False,0DTE (same-day expiry)
2025-02-07,C,NVDA250207C00130000,130.0,REAL,3:25–3:31 PM,0.025,3:31–3:36 PM,0.024,-0.001,41,102.5,-4.1,False,0DTE (same-day expiry)
2025-02-14,C,NVDA250214C00135000,135.0,REAL,3:25–3:31 PM,3.445,3:31–3:36 PM,3.642,0.197,1,344.5,19.7,True,0DTE (same-day expiry)
