"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (PUTs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:35  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 3:44–3:49 PM  |  Optimal exit frame = 3:54–4:00 PM

DETAIL — one row per session (ATM put at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,P,NVDA240719P00120000,120.0,REAL,3:44–3:49 PM,1.95,3:54–4:00 PM,2.06,0.11,1,195.0,11.0,True,0DTE (same-day expiry)
2024-07-26,P,NVDA240726P00115000,115.0,REAL,3:44–3:49 PM,2.256,3:54–4:00 PM,2.3367,0.0807,1,225.6,8.07,True,0DTE (same-day expiry)
2024-08-02,P,NVDA240802P00105000,105.0,REAL,3:44–3:49 PM,0.04,3:54–4:00 PM,0.0117,-0.0283,26,104.0,-73.67,False,0DTE (same-day expiry)
2024-08-09,P,NVDA240809P00105000,105.0,REAL,3:44–3:49 PM,0.18,3:54–4:00 PM,0.4567,0.2767,6,108.0,166.0,True,0DTE (same-day expiry)
2024-08-16,P,NVDA240816P00120000,120.0,REAL,3:44–3:49 PM,,3:54–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-08-23,P,NVDA240823P00125000,125.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-08-30,P,NVDA240830P00120000,120.0,REAL,3:44–3:49 PM,1.484,3:54–4:00 PM,0.76,-0.724,1,148.4,-72.4,False,0DTE (same-day expiry)
2024-09-06,P,NVDA240906P00110000,110.0,REAL,3:44–3:49 PM,6.818,3:54–4:00 PM,7.2367,0.4187,1,681.8,41.87,True,0DTE (same-day expiry)
2024-09-13,P,NVDA240913P00120000,120.0,REAL,3:44–3:49 PM,1.142,3:54–4:00 PM,0.9533,-0.1887,1,114.2,-18.87,False,0DTE (same-day expiry)
2024-09-20,P,NVDA240920P00115000,115.0,REAL,3:44–3:49 PM,0.02,3:54–4:00 PM,0.0117,-0.0083,50,100.0,-41.67,False,0DTE (same-day expiry)
2024-09-27,P,NVDA240927P00125000,125.0,REAL,3:44–3:49 PM,4.254,3:54–4:00 PM,3.595,-0.659,1,425.4,-65.9,False,0DTE (same-day expiry)
2024-10-04,P,NVDA241004P00125000,125.0,REAL,3:44–3:49 PM,0.398,3:54–4:00 PM,0.1233,-0.2747,3,119.4,-82.4,False,0DTE (same-day expiry)
2024-10-11,P,NVDA241011P00135000,135.0,REAL,3:44–3:49 PM,0.218,3:54–4:00 PM,0.18,-0.038,5,109.0,-19.0,False,0DTE (same-day expiry)
2024-10-18,P,NVDA241018P00140000,140.0,REAL,3:44–3:49 PM,1.968,3:54–4:00 PM,2.0,0.032,1,196.8,3.2,True,0DTE (same-day expiry)
2024-10-25,P,NVDA241025P00140000,140.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2024-11-01,P,NVDA241101P00135000,135.0,REAL,3:44–3:49 PM,0.014,3:54–4:00 PM,0.015,0.001,72,100.8,7.2,True,0DTE (same-day expiry)
2024-11-08,P,NVDA241108P00150000,150.0,REAL,3:44–3:49 PM,2.726,3:54–4:00 PM,2.3683,-0.3577,1,272.6,-35.77,False,0DTE (same-day expiry)
2024-11-15,P,NVDA241115P00145000,145.0,REAL,3:44–3:49 PM,3.166,3:54–4:00 PM,2.8783,-0.2877,1,316.6,-28.77,False,0DTE (same-day expiry)
2024-11-22,P,NVDA241122P00145000,145.0,REAL,3:44–3:49 PM,3.248,3:54–4:00 PM,3.065,-0.183,1,324.8,-18.3,False,0DTE (same-day expiry)
2024-11-29,P,NVDA241129P00135000,135.0,REAL,3:44–3:49 PM,,3:54–4:00 PM,,,,,,,no usable price in entry/exit frame
2024-12-06,P,NVDA241206P00145000,145.0,REAL,3:44–3:49 PM,3.0275,3:54–4:00 PM,2.672,-0.3555,1,302.75,-35.55,False,0DTE (same-day expiry)
2024-12-13,P,NVDA241213P00140000,140.0,REAL,3:44–3:49 PM,6.114,3:54–4:00 PM,5.935,-0.179,1,611.4,-17.9,False,0DTE (same-day expiry)
2024-12-20,P,NVDA241220P00130000,130.0,REAL,3:44–3:49 PM,0.012,3:54–4:00 PM,0.01,-0.002,84,100.8,-16.8,False,0DTE (same-day expiry)
2024-12-27,P,NVDA241227P00140000,140.0,REAL,3:44–3:49 PM,3.596,3:54–4:00 PM,3.075,-0.521,1,359.6,-52.1,False,0DTE (same-day expiry)
2025-01-03,P,NVDA250103P00140000,140.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2025-01-10,P,NVDA250110P00135000,135.0,REAL,3:44–3:49 PM,0.032,3:54–4:00 PM,0.02,-0.012,32,102.4,-38.4,False,0DTE (same-day expiry)
2025-01-17,P,NVDA250117P00135000,135.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2025-01-24,P,NVDA250124P00150000,150.0,REAL,3:44–3:49 PM,7.8,3:54–4:00 PM,7.412,-0.388,1,780.0,-38.8,False,0DTE (same-day expiry)
2025-01-31,P,NVDA250131P00125000,125.0,REAL,3:44–3:49 PM,5.29,3:54–4:00 PM,4.8917,-0.3983,1,529.0,-39.83,False,0DTE (same-day expiry)
2025-02-07,P,NVDA250207P00130000,130.0,REAL,3:44–3:49 PM,0.636,3:54–4:00 PM,0.2183,-0.4177,2,127.2,-83.53,False,0DTE (same-day expiry)
2025-02-14,P,NVDA250214P00135000,135.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-02-21,P,NVDA250221P00140000,140.0,REAL,3:44–3:49 PM,5.412,3:54–4:00 PM,5.3633,-0.0487,1,541.2,-4.87,False,0DTE (same-day expiry)
2025-02-28,P,NVDA250228P00120000,120.0,REAL,3:44–3:49 PM,0.022,3:54–4:00 PM,0.015,-0.007,46,101.2,-32.2,False,0DTE (same-day expiry)
2025-03-07,P,NVDA250307P00110000,110.0,REAL,3:44–3:49 PM,0.024,3:54–4:00 PM,0.01,-0.014,42,100.8,-58.8,False,0DTE (same-day expiry)
2025-03-14,P,NVDA250314P00120000,120.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
2025-03-21,P,NVDA250321P00115000,115.0,REAL,3:44–3:49 PM,0.018,3:54–4:00 PM,0.01,-0.008,56,100.8,-44.8,False,0DTE (same-day expiry)
2025-03-28,P,NVDA250328P00110000,110.0,REAL,3:44–3:49 PM,0.448,3:54–4:00 PM,0.3,-0.148,3,134.4,-44.4,False,0DTE (same-day expiry)
2025-04-04,P,NVDA250404P00100000,100.0,REAL,3:44–3:49 PM,4.314,3:54–4:00 PM,5.1417,0.8277,1,431.4,82.77,True,0DTE (same-day expiry)
2025-04-11,P,NVDA250411P00110000,110.0,REAL,3:44–3:49 PM,0.15,3:54–4:00 PM,0.04,-0.11,7,105.0,-77.0,False,0DTE (same-day expiry)
2025-04-18,P,,0.0,MISS,3:44–3:49 PM,,3:54–4:00 PM,,,,,,,missing data (entry-day market holiday)
2025-04-25,P,NVDA250425P00105000,105.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,100,100.0,0.0,False,0DTE (same-day expiry)
2025-05-02,P,NVDA250502P00115000,115.0,REAL,3:44–3:49 PM,0.89,3:54–4:00 PM,0.7117,-0.1783,2,178.0,-35.67,False,0DTE (same-day expiry)
2025-05-09,P,NVDA250509P00120000,120.0,REAL,3:44–3:49 PM,,3:54–4:00 PM,,,,,,,no usable price in entry/exit frame
2025-05-16,P,NVDA250516P00135000,135.0,REAL,3:44–3:49 PM,0.114,3:54–4:00 PM,0.02,-0.094,9,102.6,-84.6,False,0DTE (same-day expiry)
2025-05-23,P,NVDA250523P00130000,130.0,REAL,3:44–3:49 PM,0.024,3:54–4:00 PM,0.01,-0.014,42,100.8,-58.8,False,0DTE (same-day expiry)
2025-05-30,P,NVDA250530P00140000,140.0,REAL,3:44–3:49 PM,4.98,3:54–4:00 PM,4.85,-0.13,1,498.0,-13.0,False,0DTE (same-day expiry)
2025-06-06,P,NVDA250606P00140000,140.0,REAL,3:44–3:49 PM,0.02,3:54–4:00 PM,0.0133,-0.0067,50,100.0,-33.33,False,0DTE (same-day expiry)
2025-06-13,P,NVDA250613P00145000,145.0,REAL,3:44–3:49 PM,3.352,3:54–4:00 PM,3.2183,-0.1337,1,335.2,-13.37,False,0DTE (same-day expiry)
2025-06-20,P,NVDA250620P00145000,145.0,REAL,3:44–3:49 PM,1.412,3:54–4:00 PM,1.2533,-0.1587,1,141.2,-15.87,False,0DTE (same-day expiry)
2025-06-27,P,NVDA250627P00155000,155.0,REAL,3:44–3:49 PM,0.01,3:54–4:00 PM,0.01,0.0,101,101.0,0.0,False,0DTE (same-day expiry)
