"# Backtest method: Friday intraday — MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Friday entry → Friday expiry, lookback 730d, tickers AAPL, MSFT, GOOGL, AMZN, NVDA, TSLA, AMD, ORCL."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-07-14 14:44:39  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:40–9:45 AM  |  Optimal exit frame = 1:45–1:54 PM

DETAIL — one row per session (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-07-19,C,TSLA240719C00247500,247.5,REAL,9:40–9:45 AM,2.22,1:45–1:54 PM,0.0425,-2.1775,1,222.0,-217.75,False,0DTE (same-day expiry)
2024-07-26,C,TSLA240726C00222500,222.5,REAL,9:40–9:45 AM,0.868,1:45–1:54 PM,0.4522,-0.4158,2,173.6,-83.16,False,0DTE (same-day expiry)
2024-08-02,C,TSLA240802C00212500,212.5,REAL,9:40–9:45 AM,4.054,1:45–1:54 PM,0.09,-3.964,1,405.4,-396.4,False,0DTE (same-day expiry)
2024-08-09,C,TSLA240809C00195000,195.0,REAL,9:40–9:45 AM,3.856,1:45–1:54 PM,5.1163,1.2603,1,385.6,126.03,True,0DTE (same-day expiry)
2024-08-16,C,TSLA240816C00212500,212.5,REAL,9:40–9:45 AM,4.862,1:45–1:54 PM,4.88,0.018,1,486.2,1.8,True,0DTE (same-day expiry)
2024-08-23,C,TSLA240823C00215000,215.0,REAL,9:40–9:45 AM,3.23,1:45–1:54 PM,4.51,1.28,1,323.0,128.0,True,0DTE (same-day expiry)
2024-08-30,C,TSLA240830C00210000,210.0,REAL,9:40–9:45 AM,1.188,1:45–1:54 PM,1.7167,0.5287,1,118.8,52.87,True,0DTE (same-day expiry)
2024-09-06,C,TSLA240906C00232500,232.5,REAL,9:40–9:45 AM,0.648,1:45–1:54 PM,0.01,-0.638,2,129.6,-127.6,False,0DTE (same-day expiry)
2024-09-13,C,TSLA240913C00227500,227.5,REAL,9:40–9:45 AM,5.41,1:45–1:54 PM,2.31,-3.1,1,541.0,-310.0,False,0DTE (same-day expiry)
2024-09-20,C,TSLA240920C00240000,240.0,REAL,9:40–9:45 AM,2.504,1:45–1:54 PM,0.4378,-2.0662,1,250.4,-206.62,False,0DTE (same-day expiry)
